year,district,name,sex,party,vote_count,vote_percent
2014,3rd Essex,Brian S. Dempsey,m,Democratic,"8,901",97.8
2014,4th Essex,Bradford R. Hill,m,Republican,"15,936",99.5
2014,5th Essex,Ann-Margaret Ferrante,f,Democratic,"9,439",58.9
2014,6th Essex,Jerald A. Parisella,m,Democratic,"9,912",74.1
2014,7th Essex,Paul F. Tucker,m,Democratic,"10,187",83.9
2014,8th Essex,Lori A. Ehrlich,f,Democratic,"12,906",99.2
2014,9th Essex,Donald H. Wong,m,Republican,"9,721",60.5
2014,10th Essex,Robert F. Fennell,m,Democratic,"7,090",98.1
2014,11th Essex,Brendan P. Crighton,m,Democratic,"7,368",98.1
2014,12th Essex,Leah Cole,f,Republican,"7,265",51.5
2014,13th Essex,Theodore C. Speliotis,m,Democratic,"8,459",52.4
2014,14th Essex,Diana DiZoglio,f,Democratic,"6,732",54.8
2014,15th Essex,Linda Dean Campbell,f,Democratic,"7,716",57.3
2014,16th Essex,Marcos A. Devers,m,Democratic,"3,667",46.9
2014,17th Essex,Frank A. Moran,m,Democratic,"6,819",97.5
2014,18th Essex,"James J. Lyons, Jr.",m,Republican,"12,584",99.1
2014,1st Franklin,Stephen Kulik,m,Democratic,"11,987",69.9
2014,2nd Franklin,Susannah Whipps M. Lee,,Republican,"7,350",54.5
2014,1st Hampden,Todd M. Smola,m,Republican,"11,528",99.3
2014,2nd Hampden,Brian M. Ashe,m,Democratic,"12,104",98.3
2014,3rd Hampden,Nicholas A. Boldyga,m,Republican,"9,401",67.8
2014,4th Hampden,John C. Velis,m,Democratic,"2,697",53.4
2014,4th Hampden,John C. Velis,m,Democratic,"7,327",58.9
2014,5th Hampden,Aaron Vega,m,Democratic,"7,902",97.9
2014,6th Hampden,Michael J. Finn,m,Democratic,"6,113",56.8
2014,7th Hampden,Thomas M. Petrolati,m,Democratic,"9,462",97.9
2014,8th Hampden,Joseph F. Wagner,m,Democratic,"9,284",97.9
2014,9th Hampden,Jose F. Tosado,m,Democratic,"7,396",78.1
2014,10th Hampden,Carlos Gonzalez,m,Democratic,"5,313",97.8
2014,11th Hampden,Benjamin Swan,m,Democratic,"6,325",96.6
2014,12th Hampden,"Angelo J. Puppolo, Jr.",m,Democratic,"9,299",64.7
2014,1st Hampshire,Peter V. Kocot,m,Democratic,"13,937",99.5
2014,2nd Hampshire,John W. Scibak,m,Democratic,"12,249",99.1
2014,3rd Hampshire,Ellen S. Story,f,Democratic,"8,125",88
2014,1st Middlesex,Sheila C. Harrington,f,Republican,"9,958",64.3
2014,2nd Middlesex,James Arciero,m,Democratic,"9,263",52.8
2014,3rd Middlesex,Kate Hogan,f,Democratic,"9,847",60.2
2014,4th Middlesex,Danielle W. Gregoire,f,Democratic,"6,392",49.9
2014,5th Middlesex,David Paul Linsky,m,Democratic,"10,699",62.5
2014,6th Middlesex,Chris Walsh,m,Democratic,"9,763",83.4
2014,7th Middlesex,Tom Sannicandro,m,Democratic,"7,188",98.8
2014,8th Middlesex,Carolyn C. Dykema,f,Democratic,"9,621",56.7
2014,9th Middlesex,Thomas M. Stanley,m,Democratic,"9,293",71.4
2014,10th Middlesex,"John J. Lawn, Jr.",m,Democratic,"7,402",98.2
2014,11th Middlesex,Kay S. Khan,f,Democratic,"11,652",98.6
2014,12th Middlesex,Ruth B. Balser,f,Democratic,"11,552",98.5
2014,13th Middlesex,Carmine Lawrence Gentile,m,Democratic,"10,977",98.5
2014,14th Middlesex,Cory Atkins,m,Democratic,"12,080",75.1
2014,15th Middlesex,Jay R. Kaufman,m,Democratic,"12,625",99.1
2014,16th Middlesex,"Thomas A. Golden, Jr.",m,Democratic,"8,235",97.9
2014,17th Middlesex,David M. Nangle,m,Democratic,"7,226",96.5
2014,18th Middlesex,Rady Mom,m,Democratic,"3,867",61.5
2014,19th Middlesex,James R. Miceli,m,Democratic,"10,781",70.1
2014,20th Middlesex,"Bradley H. Jones, Jr",m,Republican,"14,592",99.6
2014,21st Middlesex,Kenneth I. Gordon,m,Democratic,"8,129",52.2
2014,22nd Middlesex,Marc T. Lombardo,m,Republican,"10,379",95.8
2014,23rd Middlesex,Sean Garballey,m,Democratic,"14,018",77.6
2014,24th Middlesex,David M. Rogers,m,Democratic,"12,748",99.1
2014,25th Middlesex,Marjorie C. Decker,f,Democratic,"10,082",98.8
2014,26th Middlesex,"Timothy J. Toomey, Jr.",m,Democratic,"8,789",87
2014,27th Middlesex,Denise Provost,f,Democratic,"10,771",87.7
2014,28th Middlesex,"Joseph W. Mcgonagle, Jr",m,Democratic,"7,329",98.3
2014,29th Middlesex,Jonathan Hecht,m,Democratic,"12,614",98.9
2014,30th Middlesex,James J. Dwyer,m,Democratic,"10,578",98.9
2014,31st Middlesex,Michael Seamus Day,m,Democratic,"9,270",51.4
2014,32nd Middlesex,Paul A. Brodeur,m,Democratic,"10,965",65.9
2014,33rd Middlesex,Steven Ultrino,m,Democratic,"5,801",66.4
2014,34th Middlesex,Christine P. Barber,f,Democratic,"7,043",64.1
2014,35th Middlesex,"Paul J. Donato, Sr.",m,Democratic,"9,697",98.3
2014,36th Middlesex,Colleen M. Garry,f,Democratic,"7,840",53.7
2014,37th Middlesex,Jennifer E. Benson,f,Democratic,"11,659",99.1
2014,1st Norfolk,Bruce J. Ayers,m,Democratic,"9,820",98.6
2014,2nd Norfolk,Tackey Chan,m,Democratic,"9,474",97.9
2014,3rd Norfolk,Ronald Mariano,m,Democratic,"8,702",65.9
2014,4th Norfolk,James Michael Murphy,m,Democratic,"8,740",58.4
2014,5th Norfolk,Mark J. Cusack,m,Democratic,"10,806",99.1
2014,6th Norfolk,William C. Galvin,m,Democratic,"10,613",99.6
2014,7th Norfolk,"Walter F. Timilty, Jr.",m,Democratic,"11,274",99.1
2014,8th Norfolk,Louis L. Kafka,f,Democratic,"11,614",98.7
2014,9th Norfolk,Shawn C. Dooley,m,Republican,"1,922",61.1
2014,9th Norfolk,Shawn C. Dooley,m,Republican,"12,734",99
2014,10th Norfolk,Jeffrey N. Roy,m,Democratic,"11,135",97.7
2014,11th Norfolk,Paul McMurtry,m,Democratic,"11,922",99.1
2014,12th Norfolk,John H. Rogers,m,Democratic,"8,894",58.1
2014,13th Norfolk,Denise C. Garlick,f,Democratic,"13,091",98.4
2014,14th Norfolk,Alice Hanlon Peisch,f,Democratic,"12,101",99.4
2014,15th Norfolk,Frank Israel Smizik,m,Democratic,"9,332",80.6
2014,1st Plymouth,Mathew J. Muratore,m,Republican,"9,227",59.9
2014,2nd Plymouth,Susan Williams Gifford,f,Republican,"10,847",98.8
2014,3rd Plymouth,Garrett J. Bradley,m,Democratic,"13,367",99.3
2014,4th Plymouth,James M. Cantwell,m,Democratic,"10,560",58.6
2014,5th Plymouth,David F. Decoste,m,Republican,"8,332",50.1
2014,6th Plymouth,Josh S. Cutler,m,Democratic,"9,035",53.8
2014,7th Plymouth,Geoff Diehl,m,Republican,"11,528",99.2
2014,8th Plymouth,Angelo L. D'Emilia,m,Republican,"6,838",53.6
2014,9th Plymouth,Michael D. Brady,m,Democratic,"6,190",99.7
2014,10th Plymouth,Michelle M. Dubois,f,Democratic,"5,684",50.7
2014,11th Plymouth,Claire D. Cronin,f,Democratic,"9,321",99
2014,12th Plymouth,"Thomas J. Calter, III",m,Republican,"12,944",99.1
2014,1st Suffolk,Carlo P. Basile,m,Democratic,"4,965",76.1
2014,2nd Suffolk,Daniel Joseph Ryan,m,Democratic,"1,661",98.3
2014,2nd Suffolk,Daniel Joseph Ryan,m,Democratic,"7,669",98.7
2014,3rd Suffolk,Aaron M. Michlewitz,m,Democratic,"8,398",98.5
2014,4th Suffolk,Nick Collins,m,Democratic,"9,850",98.4
2014,5th Suffolk,Evandro C. Carvalho,m,Democratic,739,91.2
2014,5th Suffolk,Evandro C. Carvalho,m,Democratic,"6,025",88
2014,6th Suffolk,Russell E. Holmes,m,Democratic,"7,663",99.1
2014,7th Suffolk,Gloria L. Fox,f,Democratic,"4,641",98
2014,8th Suffolk,Jay D. Livingstone,m,Democratic,"8,769",98.6
2014,9th Suffolk,Byron Rushing,m,Democratic,"6,583",98.7
2014,10th Suffolk,Edward F. Coppinger,m,Democratic,"11,923",98.8
2014,11th Suffolk,Elizabeth A. Malia,f,Democratic,"9,912",99.1
2014,12th Suffolk,Dan Cullinane,m,Democratic,"10,272",99
2014,13th Suffolk,Daniel J. Hunt,m,Democratic,"1,597",97
2014,13th Suffolk,Daniel J. Hunt,m,Democratic,"9,259",98.5
