,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L300US25060,25060,1st Barnstable District ,19457,612,1406,319,1025,239,944,221,725,157,1108,214,1059,214,787,170,1275,264,996,200,1548,277,2000,325,2384,363,1746,265,872,206,888,187,694,147
1,620L300US25061,25061,2nd Barnstable District ,18526,548,1182,242,921,217,840,183,871,200,1041,257,846,239,827,180,949,255,713,206,1524,255,2313,289,2371,356,1579,313,893,153,779,155,877,194
2,620L300US25062,25062,3rd Barnstable District ,17764,507,740,185,842,186,887,193,747,185,582,144,840,188,1062,234,1029,172,778,186,1457,228,1832,243,2714,273,1752,272,836,177,868,197,798,149
4,620L300US25064,25064,"Barnstable, Dukes & Nantucket District ",16370,583,928,220,792,150,723,219,795,203,785,168,510,160,448,128,586,146,492,145,1116,218,1433,239,2579,323,1657,220,1100,208,1239,245,1187,209
8,620L300US25068,25068,4th Berkshire District ,16087,404,898,167,750,159,978,193,806,184,793,178,824,158,574,134,757,149,676,177,1237,211,1688,227,2105,227,1432,206,827,146,799,138,943,133
9,620L300US25069,25069,1st Bristol District ,14320,390,290,123,402,142,382,128,682,229,292,99,386,140,496,176,549,194,439,146,1024,225,1375,228,1849,265,1974,279,1345,227,1609,262,1226,207
10,620L300US25070,25070,2nd Bristol District ,15083,354,518,158,949,246,672,187,605,164,303,92,495,143,655,173,688,204,760,178,1428,263,1774,291,1915,301,1941,267,870,182,957,194,553,147
11,620L300US25071,25071,3rd Bristol District ,16191,407,932,193,1147,204,590,154,770,182,793,205,981,185,740,187,754,183,689,153,1625,280,1514,213,2121,327,1548,249,800,161,716,151,471,117
12,620L300US25072,25072,4th Bristol District ,13684,393,431,167,301,90,499,145,420,131,497,164,445,142,447,164,532,177,487,152,834,175,1363,239,1982,258,1786,291,1633,253,1091,236,936,211
20,620L300US25080,25080,12th Bristol District ,13542,390,435,147,460,173,291,113,478,162,316,145,529,173,444,148,364,128,459,161,971,213,1474,263,2217,269,1874,318,1403,267,1094,248,733,176
22,620L300US25082,25082,14th Bristol District ,14311,405,291,90,477,160,357,106,535,167,595,178,439,142,519,139,459,117,433,135,1251,263,1257,201,2132,293,1687,255,1079,209,1692,269,1108,179
23,620L300US25083,25083,1st Essex District ,17601,419,750,177,685,169,629,159,582,149,462,140,500,162,680,201,580,172,613,134,1044,206,1661,237,2685,353,1746,237,1678,213,1639,243,1667,233
24,620L300US25084,25084,2nd Essex District ,15547,368,277,109,501,172,381,124,405,125,332,106,524,112,365,109,380,112,388,115,1117,219,1309,209,2143,244,2040,269,1557,268,1823,278,2005,263
