018 Fourth Middlesex,891,3.15,"1,315",4.64,"1,075",3.79,"1,229",4.34,"2,643",9.33,0,0,364,1.28,636,2.25,466,1.65,556,1.96,"1,328",4.69,0,0,"2,550",9,"3,505",12.37,"2,532",8.94,"2,674",9.44,"6,191",21.85,0,0,104,0.37,128,0.45,59,0.21,42,0.15,40,0.14,0,0,32,0.11,35,0.12,36,0.13,181,0.64,33,0.12,41,0.14,"5,366",18.94,187,0.66,958,3.38,51,0.18,74,0.26,35,0.12,0,0,124,0.44,1,0,1,0,1,0,27,0.1,10,0.04,14,0.05,"2,736",9.66,70,0.25,395,1.39,13,0.05,11,0.04,11,0.04,0,0,60,0.21,3,0.01,26,0.09,22,0.08,360,1.27,68,0.24,87,0.31,"13,532",47.77,391,1.38,"2,307",8.14,68,0.24,103,0.36,53,0.19,0,0,432,1.52,0,0,1,0,1,0,6,0.02,1,0,0,0,264,0.93,8,0.03,55,0.19,3,0.01,3,0.01,1,0,0,0,30,0.11,"3,029",10.69,"4,122",14.55,2,0.01,"1,949",6.88,"1,399",4.94,2,0.01,"8,564",30.23,"8,886",31.37,2,0.01,202,0.71,170,0.6,1,0,"28,328"
019 Fifth Middlesex,408,2.06,806,4.08,733,3.71,970,4.9,"2,470",12.49,0,0,232,1.17,384,1.94,302,1.53,468,2.37,"1,235",6.24,0,0,"1,214",6.14,"2,010",10.16,"1,567",7.92,"1,980",10.01,"4,764",24.09,0,0,45,0.23,73,0.37,40,0.2,37,0.19,41,0.21,0,0,5,0.03,18,0.09,10,0.05,51,0.26,21,0.11,19,0.1,"4,436",22.43,98,0.5,593,3,30,0.15,27,0.14,19,0.1,0,0,60,0.3,0,0,1,0.01,0,0,11,0.06,6,0.03,5,0.03,"2,285",11.55,25,0.13,227,1.15,11,0.06,5,0.03,4,0.02,0,0,41,0.21,4,0.02,11,0.06,10,0.05,125,0.63,45,0.23,76,0.38,"9,725",49.17,163,0.82,"1,111",5.62,30,0.15,36,0.18,23,0.12,0,0,176,0.89,0,0,0,0,0,0,0,0,1,0.01,0,0,191,0.97,6,0.03,27,0.14,0,0,5,0.03,0,0,0,0,6,0.03,"2,174",10.99,"3,213",16.24,0,0,"1,531",7.74,"1,090",5.51,0,0,"5,517",27.89,"6,013",30.4,5,0.03,117,0.59,119,0.6,0,0,"19,779"
023 Middlesex & Worcester,260,3.02,418,4.86,332,3.86,338,3.93,810,9.41,0,0,116,1.35,182,2.12,176,2.05,217,2.52,571,6.64,0,0,812,9.44,"1,005",11.68,657,7.64,800,9.3,"1,804",20.97,0,0,27,0.31,29,0.34,17,0.2,17,0.2,16,0.19,0,0,6,0.07,14,0.16,13,0.15,98,1.14,14,0.16,30,0.35,"1,394",16.2,61,0.71,375,4.36,31,0.36,30,0.35,18,0.21,0,0,74,0.86,0,0,1,0.01,1,0.01,11,0.13,2,0.02,8,0.09,965,11.22,19,0.22,216,2.51,4,0.05,5,0.06,5,0.06,0,0,25,0.29,7,0.08,18,0.21,18,0.21,221,2.57,38,0.44,80,0.93,"3,383",39.32,135,1.57,909,10.56,35,0.41,37,0.43,24,0.28,0,0,173,2.01,0,0,0,0,2,0.02,1,0.01,0,0,0,0,72,0.84,4,0.05,24,0.28,0,0,1,0.01,0,0,0,0,2,0.02,880,10.23,"1,268",14.74,10,0.12,735,8.54,526,6.11,1,0.01,"2,524",29.34,"2,520",29.29,34,0.4,55,0.64,51,0.59,0,0,"8,604"
"024 Norfolk, Bristol & Middlesex","2,918",2.59,"4,770",4.24,"3,833",3.4,"4,778",4.24,"11,174",9.93,0,0,"1,613",1.43,"2,503",2.22,"1,918",1.7,"2,841",2.52,"7,197",6.39,0,0,"8,957",7.96,"12,389",11.01,"9,326",8.28,"11,432",10.16,"25,697",22.83,0,0,336,0.3,371,0.33,205,0.18,159,0.14,158,0.14,0,0,76,0.07,121,0.11,116,0.1,414,0.37,149,0.13,233,0.21,"20,572",18.27,695,0.62,"3,909",3.47,223,0.2,229,0.2,132,0.12,1,0,603,0.54,5,0,8,0.01,12,0.01,97,0.09,32,0.03,67,0.06,"13,344",11.85,217,0.19,"1,813",1.61,52,0.05,49,0.04,33,0.03,0,0,343,0.3,47,0.04,86,0.08,80,0.07,"1,224",1.09,292,0.26,578,0.51,"53,620",47.63,"1,210",1.07,"8,411",7.47,254,0.23,312,0.28,216,0.19,0,0,"1,471",1.31,2,0,1,0,2,0,6,0.01,3,0,2,0,909,0.81,29,0.03,181,0.16,3,0,7,0.01,5,0,0,0,79,0.07,"10,732",9.53,"16,706",14.84,35,0.03,"9,134",8.11,"6,925",6.15,13,0.01,"32,665",29.02,"35,021",31.11,115,0.1,631,0.56,595,0.53,3,0,"112,575"
"025 Norfolk, Bristol & Plymouth",135,2.52,203,3.78,198,3.69,240,4.47,412,7.68,0,0,94,1.75,143,2.67,118,2.2,169,3.15,337,6.28,0,0,496,9.25,672,12.53,456,8.5,557,10.38,"1,066",19.87,0,0,24,0.45,14,0.26,12,0.22,9,0.17,9,0.17,0,0,12,0.22,15,0.28,26,0.48,9,0.17,3,0.06,6,0.11,852,15.88,33,0.62,180,3.36,9,0.17,19,0.35,8,0.15,0,0,16,0.3,0,0,1,0.02,0,0,1,0.02,2,0.04,2,0.04,724,13.5,6,0.11,104,1.94,5,0.09,2,0.04,1,0.02,0,0,13,0.24,5,0.09,14,0.26,8,0.15,15,0.28,14,0.26,12,0.22,"2,620",48.84,56,1.04,401,7.48,14,0.26,18,0.34,12,0.22,0,0,58,1.08,0,0,0,0,0,0,0,0,0,0,0,0,44,0.82,4,0.07,12,0.22,2,0.04,1,0.02,0,0,0,0,5,0.09,491,9.15,688,12.83,9,0.17,475,8.86,383,7.14,3,0.06,"1,546",28.82,"1,683",31.38,18,0.34,30,0.56,38,0.71,0,0,"5,364"
026 Norfolk & Plymouth,767,3.23,"1,032",4.35,875,3.69,"1,070",4.51,"2,106",8.87,0,0,325,1.37,505,2.13,359,1.51,489,2.06,938,3.95,0,0,"2,354",9.92,"2,805",11.82,"2,084",8.78,"2,653",11.18,"5,062",21.32,0,0,92,0.39,88,0.37,60,0.25,46,0.19,30,0.13,0,0,32,0.13,39,0.16,55,0.23,27,0.11,16,0.07,8,0.03,"4,695",19.78,149,0.63,625,2.63,46,0.19,55,0.23,36,0.15,0,0,67,0.28,1,0,2,0.01,0,0,15,0.06,4,0.02,4,0.02,"2,218",9.34,31,0.13,259,1.09,10,0.04,13,0.05,3,0.01,0,0,56,0.24,21,0.09,20,0.08,24,0.1,65,0.27,23,0.1,31,0.13,"12,727",53.61,228,0.96,"1,380",5.81,53,0.22,60,0.25,36,0.15,0,0,290,1.22,0,0,2,0.01,2,0.01,1,0,0,0,0,0,254,1.07,6,0.03,34,0.14,2,0.01,2,0.01,1,0,0,0,12,0.05,"2,432",10.24,"3,407",14.35,11,0.05,"1,474",6.21,"1,141",4.81,1,0,"7,087",29.85,"7,857",33.1,14,0.06,147,0.62,169,0.71,0,0,"23,740"
028 Plymouth & Barnstable,"2,999",2.55,"4,203",3.57,"3,644",3.1,"4,718",4.01,"11,300",9.61,0,0,"1,774",1.51,"2,656",2.26,"2,146",1.82,"3,219",2.74,"7,535",6.41,0,0,"9,598",8.16,"12,036",10.24,"9,348",7.95,"11,989",10.2,"28,798",24.49,0,0,442,0.38,488,0.41,255,0.22,214,0.18,233,0.2,0,0,24,0.02,82,0.07,72,0.06,78,0.07,42,0.04,49,0.04,"22,599",19.22,476,0.4,"2,596",2.21,64,0.05,128,0.11,84,0.07,1,0,569,0.48,1,0,13,0.01,13,0.01,24,0.02,11,0.01,19,0.02,"15,224",12.95,157,0.13,"1,421",1.21,29,0.02,30,0.03,27,0.02,0,0,361,0.31,17,0.01,87,0.07,43,0.04,192,0.16,51,0.04,94,0.08,"62,320",53,825,0.7,"6,205",5.28,116,0.1,192,0.16,118,0.1,0,0,"1,509",1.28,2,0,7,0.01,1,0,3,0,1,0,0,0,"1,297",1.1,27,0.02,189,0.16,4,0,1,0,3,0,0,0,97,0.08,"10,683",9.08,"16,154",13.74,27,0.02,"9,492",8.07,"7,827",6.66,11,0.01,"33,780",28.73,"37,925",32.25,64,0.05,749,0.64,880,0.75,3,0,"117,595"
029 First Plymouth & Bristol,"4,326",4.27,"4,666",4.6,"3,868",3.82,"4,225",4.17,"7,486",7.39,0,0,"1,841",1.82,"2,317",2.29,"1,592",1.57,"2,083",2.06,"4,168",4.11,0,0,"11,831",11.68,"12,174",12.01,"9,431",9.31,"10,382",10.25,"19,284",19.03,0,0,521,0.51,542,0.53,247,0.24,209,0.21,138,0.14,0,0,157,0.15,226,0.22,304,0.3,83,0.08,28,0.03,33,0.03,"16,881",16.66,"1,224",1.21,"3,910",3.86,358,0.35,534,0.53,361,0.36,0,0,472,0.47,5,0,14,0.01,14,0.01,25,0.02,11,0.01,9,0.01,"9,819",9.69,259,0.26,"1,395",1.38,71,0.07,71,0.07,39,0.04,0,0,269,0.27,85,0.08,179,0.18,151,0.15,182,0.18,77,0.08,85,0.08,"49,802",49.15,"1,719",1.7,"8,105",8,335,0.33,591,0.58,353,0.35,0,0,"1,438",1.42,3,0,8,0.01,11,0.01,1,0,1,0,2,0,"1,185",1.17,64,0.06,272,0.27,12,0.01,16,0.02,4,0,0,0,78,0.08,"10,211",10.08,"14,242",14.05,118,0.12,"6,887",6.8,"5,081",5.01,33,0.03,"29,783",29.39,"33,103",32.67,216,0.21,764,0.75,882,0.87,11,0.01,"101,331"
030 Second Plymouth & Bristol,685,2.62,892,3.41,814,3.11,990,3.79,"2,216",8.47,0,0,374,1.43,562,2.15,432,1.65,575,2.2,"1,595",6.1,0,0,"2,266",8.66,"2,923",11.18,"2,281",8.72,"2,831",10.83,"6,356",24.3,0,0,98,0.37,132,0.5,49,0.19,50,0.19,31,0.12,0,0,20,0.08,24,0.09,31,0.12,19,0.07,8,0.03,5,0.02,"4,703",17.98,84,0.32,544,2.08,20,0.08,34,0.13,18,0.07,0,0,87,0.33,2,0.01,1,0,2,0.01,10,0.04,1,0,4,0.02,"3,148",12.04,41,0.16,252,0.96,4,0.02,6,0.02,3,0.01,0,0,64,0.24,8,0.03,16,0.06,7,0.03,49,0.19,21,0.08,14,0.05,"14,683",56.14,174,0.67,"1,321",5.05,28,0.11,48,0.18,13,0.05,0,0,275,1.05,0,0,0,0,0,0,2,0.01,0,0,0,0,297,1.14,8,0.03,35,0.13,0,0,1,0,1,0,0,0,16,0.06,"2,294",8.77,"3,302",12.63,1,0,"2,019",7.72,"1,515",5.79,4,0.02,"7,867",30.08,"8,785",33.59,5,0.02,160,0.61,200,0.76,0,0,"26,152"
031 Plymouth & Norfolk,"3,155",2.58,"4,734",3.87,"4,100",3.35,"5,244",4.28,"13,577",11.09,0,0,"1,793",1.46,"2,600",2.12,"2,092",1.71,"3,187",2.6,"8,327",6.8,0,0,"8,912",7.28,"12,078",9.86,"9,227",7.53,"11,908",9.72,"30,023",24.51,0,0,426,0.35,484,0.4,194,0.16,231,0.19,187,0.15,0,0,118,0.1,126,0.1,166,0.14,170,0.14,88,0.07,88,0.07,"25,497",20.82,526,0.43,"3,031",2.47,139,0.11,167,0.14,117,0.1,0,0,577,0.47,4,0,9,0.01,4,0,55,0.04,25,0.02,18,0.01,"15,959",13.03,138,0.11,"1,345",1.1,33,0.03,36,0.03,16,0.01,0,0,357,0.29,70,0.06,72,0.06,80,0.07,389,0.32,172,0.14,197,0.16,"62,476",51.01,838,0.68,"5,962",4.87,159,0.13,173,0.14,119,0.1,0,0,"1,441",1.18,3,0,5,0,0,0,2,0,3,0,3,0,"1,220",1,21,0.02,175,0.14,0,0,4,0,2,0,0,0,84,0.07,"12,380",10.11,"18,379",15.01,51,0.04,"9,916",8.1,"8,062",6.58,21,0.02,"34,016",27.77,"38,040",31.06,92,0.08,715,0.58,800,0.65,7,0.01,"122,479"
