,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L300US25060,25060,1st Barnstable,19480,507,1391,288,1140,264,936,216,777,174,898,221,954,204,1025,197,1137,255,1061,217,1587,240,1927,311,2425,298,1579,217,944,212,972,202,727,158
1,620L300US25061,25061,2nd Barnstable,18524,533,1226,262,1045,232,855,188,982,241,966,222,779,246,760,200,823,204,657,193,1582,275,2348,357,2408,283,1472,244,1027,206,769,186,825,184
2,620L300US25062,25062,3rd Barnstable,18138,445,625,186,892,209,850,182,802,160,721,169,791,163,904,203,1142,246,675,181,1439,242,2006,280,2916,356,1864,279,847,160,847,178,817,156
3,620L300US25063,25063,4th Barnstable,18978,561,736,185,1081,260,879,187,1045,204,880,198,868,203,817,203,873,220,864,172,1545,262,2128,281,2586,276,1649,266,773,143,1232,231,1022,156
4,620L300US25064,25064,"Barnstable, Dukes & Nantucket",16518,557,846,189,744,162,759,205,707,175,745,190,722,192,455,140,555,149,636,158,1060,191,1343,219,2611,327,1689,249,1205,219,1266,220,1175,140
5,620L300US25065,25065,1st Berkshire,16037,384,1026,194,1285,226,1239,219,910,184,850,144,822,182,808,177,889,188,751,157,1138,154,1468,200,2061,254,1083,190,668,141,583,127,456,103
6,620L300US25066,25066,2nd Berkshire,18141,364,865,174,1246,216,891,199,919,190,804,149,1068,183,923,191,1054,218,951,161,1609,243,2145,256,2822,269,1036,163,822,147,583,149,403,116
7,620L300US25067,25067,3rd Berkshire,18472,415,1516,252,1743,257,1416,288,1198,225,1020,208,1302,300,703,174,976,209,512,137,1504,263,1906,263,1992,263,1062,186,663,165,513,126,446,106
8,620L300US25068,25068,4th Berkshire,16271,395,934,187,691,151,925,183,692,145,898,164,769,160,652,130,664,149,774,163,1477,237,1553,177,2096,218,1481,204,865,152,790,143,1010,171
9,620L300US25069,25069,1st Bristol,14244,350,297,125,394,132,347,119,661,179,319,122,486,151,466,136,439,144,520,173,881,255,1210,231,2035,288,2036,256,1237,236,1489,232,1427,214
