,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L400US25060,25060,1st Barnstable,19192,544,1096,255,1001,227,1006,230,1006,224,653,167,786,172,836,184,1268,289,877,168,1481,235,2160,306,2422,261,1484,252,1176,200,907,172,1033,199
1,620L400US25061,25061,2nd Barnstable,18321,526,987,185,1153,275,915,206,1147,258,737,204,796,226,751,192,770,172,703,168,1660,270,2367,324,2131,322,1385,233,1053,172,886,196,880,160
2,620L400US25062,25062,3rd Barnstable,17900,456,595,169,641,151,858,145,972,223,771,200,788,169,542,148,1003,199,667,165,1045,161,1942,258,2948,344,2003,251,1227,222,1069,209,829,164
4,620L400US25064,25064,"Barnstable, Dukes & Nantucket",16261,579,770,230,790,188,741,147,579,157,694,169,854,216,476,152,565,148,559,187,1180,249,1357,215,2094,259,1863,281,1381,223,1081,207,1277,178
8,620L400US25068,25068,4th Berkshire,16446,359,866,147,705,153,747,173,680,128,940,194,836,160,609,129,670,180,753,173,1428,192,1562,215,2035,222,1713,218,923,149,825,127,1154,180
9,620L400US25069,25069,1st Bristol,13738,403,306,108,303,103,381,145,391,141,324,112,466,145,472,141,315,116,407,129,984,221,1292,271,1892,283,1896,314,1271,233,1483,211,1555,209
10,620L400US25070,25070,2nd Bristol,15256,415,485,132,1121,254,796,209,595,177,350,150,603,167,727,230,407,150,668,226,1230,283,1497,290,2052,357,1920,291,1045,235,1172,246,588,157
11,620L400US25071,25071,3rd Bristol,16872,406,972,203,1255,227,752,183,944,240,754,198,746,185,864,196,1041,222,792,227,1299,273,1562,248,2159,281,1628,273,676,127,857,185,571,152
12,620L400US25072,25072,4th Bristol,14482,412,331,157,374,158,347,118,491,155,452,143,418,132,388,135,393,141,528,149,905,191,1354,230,2301,312,1747,344,1715,295,1573,285,1165,210
20,620L400US25080,25080,12th Bristol,13745,350,647,170,313,140,327,131,354,119,495,184,443,154,401,146,373,140,620,172,790,181,1409,241,2474,340,1613,287,1324,256,1243,210,919,223
