,District,Amount
0,17th Essex,75540.17
1,18th Essex,54654.94
2,23rd Middlesex,10624.72
3,24th Middlesex,34109.73
4,7th Middlesex,10171.92
5,2nd Bristol,1302.65
6,14th Bristol,1302.65
7,7th Worcester,3700.0
8,6th Norfolk,32322.93
9,2nd Barnstable,7220.0
10,5th Barnstable,11737.83
11,5th Worcester,10714.0
12,2nd Franklin,5924.49
13,7th Hampden,22926.63
14,2nd Berkshire,57600.67
15,6th Essex,12850.0
16,22nd Middlesex,1572.0
17,1st Suffolk,60131.5
18,2nd Suffolk,60131.5
19,3rd Suffolk,60131.5
20,4th Suffolk,60131.5
21,5th Suffolk,60131.5
22,6th Suffolk,60131.5
23,7th Suffolk,60131.5
24,8th Suffolk,82041.23
25,9th Suffolk,60131.5
26,10th Suffolk,70194.0
27,11th Suffolk,60131.5
28,12th Suffolk,101797.76
29,13th Suffolk,72878.88
30,14th Suffolk,60131.5
31,15th Suffolk,70194.0
32,17th Suffolk,60131.5
33,18th Suffolk,70194.0
34,37th Middlesex,22784.05
35,12th Worcester,11717.68
36,5th Norfolk,5559.12
37,1st Barnstable,1140.0
38,4th Barnstable,31635.44
39,8th Plymouth,1800.0
40,9th Plymouth,1096.55
41,10th Plymouth,1096.55
42,11th Plymouth,1096.55
43,15th Norfolk,10062.5
44,21st Middlesex,43264.6
45,25th Middlesex,21909.73
46,26th Middlesex,22684.02
47,29th Middlesex,50069.29
48,2nd Plymouth,7745.13
49,1st Middlesex,14328.83
50,14th Middlesex,41134.65
51,16th Middlesex,14042.93
52,17th Middlesex,14042.93
53,6th Hampden,12254.35
54,8th Hampden,647.5
55,9th Hampden,8745.96
56,3rd Plymouth,20392.7
57,13th Essex,6962.5
58,9th Bristol,35793.74
59,11th Norfolk,18718.76
60,13th Norfolk,20692.98
61,6th Plymouth,13422.09
62,12th Plymouth,14310.92
63,2nd Hampshire,12089.67
64,28th Middlesex,4669.0
65,10th Bristol,16936.09
66,6th Bristol,17931.55
67,7th Bristol,17931.55
68,8th Bristol,32143.43
69,3rd Barnstable,3729.45
70,"Barnstable, Dukes and Nantucket",8729.45
71,3rd Worcester,11100.0
72,6th Middlesex,9171.92
73,13th Middlesex,22801.72
74,10th Norfolk,15820.39
75,5th Essex,4325.0
76,9th Worcester,6500.5
77,3rd Hampshire,1854.66
78,4th Berkshire,7665.42
79,2nd Essex,641.82
80,3rd Essex,641.82
81,14th Essex,26184.8
82,15th Essex,20558.92
83,3rd Norfolk,22965.15
84,1st Worcester,28810.79
85,8th Middlesex,42985.01
86,5th Hampden,7207.61
87,12th Bristol,36915.71
88,16th Essex,3297.0
89,4th Worcester,3500.0
90,15th Middlesex,79155.33
91,2nd Hampden,77405.0
92,18th Middlesex,10113.02
93,32nd Middlesex,12883.33
94,33rd Middlesex,7883.33
95,35th Middlesex,18008.05
96,8th Essex,17077.36
97,4th Middlesex,16324.8
98,4th Plymouth,13750.0
99,34th Middlesex,10899.02
100,10th Worcester,12685.8
101,7th Norfolk,42570.94
102,11th Bristol,10911.89
103,13th Bristol,10911.89
104,1st Essex,2868.66
105,10th Middlesex,170042.32
106,11th Middlesex,133355.01
107,12th Middlesex,133355.01
108,9th Norfolk,20729.49
109,1st Berkshire,7363.81
110,20th Middlesex,5175.0
111,1st Hampshire,3348.11
112,5th Plymouth,5641.5
113,12th Norfolk,861.22
114,18th Worcester,6850.0
115,12th Essex,2462.5
116,3rd Berkshire,27149.7
117,1st Plymouth,888.83
118,1st Norfolk,13652.06
119,2nd Norfolk,12747.39
120,30th Middlesex,14830.33
121,16th Suffolk,30820.12
122,19th Suffolk,43834.94
123,7th Essex,23727.55
124,8th Norfolk,36322.93
125,5th Middlesex,5000.0
126,11th Worcester,7300.0
127,27th Middlesex,774.3
128,3rd Hampden,705.0
129,10th Hampden,8098.46
130,11th Hampden,8098.46
131,12th Hampden,8098.46
132,31st Middlesex,21190.8
133,1st Hampden,2500.0
134,3rd Bristol,18673.27
135,5th Bristol,18673.27
136,8th Worcester,17319.4
137,9th Essex,5000.0
138,9th Middlesex,8527.75
139,14th Norfolk,27574.66
140,14th Worcester,30574.26
141,4th Norfolk,9177.76
142,7th Plymouth,8450.98
143,19th Middlesex,39101.26
144,13th Worcester,25816.26
145,15th Worcester,25816.26
146,16th Worcester,25816.26
147,17th Worcester,25816.26
