,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L300US25060,25060,1st Barnstable,19457,612,1406,319,1025,239,944,221,725,157,1108,214,1059,214,787,170,1275,264,996,200,1548,277,2000,325,2384,363,1746,265,872,206,888,187,694,147
1,620L300US25061,25061,2nd Barnstable,18526,548,1182,242,921,217,840,183,871,200,1041,257,846,239,827,180,949,255,713,206,1524,255,2313,289,2371,356,1579,313,893,153,779,155,877,194
2,620L300US25062,25062,3rd Barnstable,17764,507,740,185,842,186,887,193,747,185,582,144,840,188,1062,234,1029,172,778,186,1457,228,1832,243,2714,273,1752,272,836,177,868,197,798,149
3,620L300US25063,25063,4th Barnstable,18984,479,739,185,937,238,921,181,1030,234,869,167,920,204,638,136,862,199,962,210,1536,283,2015,267,2584,305,1740,223,750,164,1312,239,1169,180
4,620L300US25064,25064,"Barnstable, Dukes & Nantucket",16370,583,928,220,792,150,723,219,795,203,785,168,510,160,448,128,586,146,492,145,1116,218,1433,239,2579,323,1657,220,1100,208,1239,245,1187,209
5,620L300US25065,25065,1st Berkshire,16464,467,1184,199,1371,199,1177,211,944,195,897,177,924,196,785,176,918,199,810,186,1045,152,1702,196,1943,233,1210,179,489,136,598,120,467,117
6,620L300US25066,25066,2nd Berkshire,17810,376,880,180,1181,178,854,159,882,175,863,136,982,179,1013,209,1071,189,914,160,1571,231,2220,249,2692,248,1093,165,769,145,459,124,366,106
7,620L300US25067,25067,3rd Berkshire,18649,523,1716,297,1806,283,1290,230,1107,250,1180,262,1110,227,810,160,824,191,553,143,1690,269,2136,272,1843,252,1114,203,594,137,454,138,422,117
8,620L300US25068,25068,4th Berkshire,16087,404,898,167,750,159,978,193,806,184,793,178,824,158,574,134,757,149,676,177,1237,211,1688,227,2105,227,1432,206,827,146,799,138,943,133
9,620L300US25069,25069,1st Bristol,14320,390,290,123,402,142,382,128,682,229,292,99,386,140,496,176,549,194,439,146,1024,225,1375,228,1849,265,1974,279,1345,227,1609,262,1226,207
10,620L300US25070,25070,2nd Bristol,15083,354,518,158,949,246,672,187,605,164,303,92,495,143,655,173,688,204,760,178,1428,263,1774,291,1915,301,1941,267,870,182,957,194,553,147
11,620L300US25071,25071,3rd Bristol,16191,407,932,193,1147,204,590,154,770,182,793,205,981,185,740,187,754,183,689,153,1625,280,1514,213,2121,327,1548,249,800,161,716,151,471,117
12,620L300US25072,25072,4th Bristol,13684,393,431,167,301,90,499,145,420,131,497,164,445,142,447,164,532,177,487,152,834,175,1363,239,1982,258,1786,291,1633,253,1091,236,936,211
13,620L300US25073,25073,5th Bristol,16006,368,864,190,915,234,830,206,628,146,534,162,645,159,527,163,739,169,714,175,1282,227,1607,288,2389,284,1886,293,1147,210,702,138,597,184
14,620L300US25074,25074,6th Bristol,17953,518,1904,302,1579,239,1158,227,1237,222,1098,242,914,222,824,173,616,137,826,191,1564,301,1750,245,2038,243,1095,173,547,135,477,115,326,112
15,620L300US25075,25075,7th Bristol,17181,500,2544,367,2499,313,1601,296,1203,244,1058,233,1009,257,1074,226,835,174,692,210,809,204,1285,252,1384,264,676,161,119,63,286,159,107,74
16,620L300US25076,25076,8th Bristol,14955,414,747,169,719,189,691,172,568,157,714,165,511,149,679,174,553,163,461,133,1205,226,1797,260,2357,313,1507,241,1056,210,791,159,599,114
17,620L300US25077,25077,9th Bristol,15058,483,925,205,1182,238,580,134,794,200,469,129,577,141,524,153,716,209,376,120,1121,219,1566,257,2108,295,1472,213,1120,199,936,185,592,158
18,620L300US25078,25078,10th Bristol,16077,412,1050,188,1071,173,848,173,784,162,662,148,617,127,659,162,657,179,640,147,972,153,1451,206,2172,298,1710,239,1031,187,1097,213,656,138
19,620L300US25079,25079,11th Bristol,15611,384,1415,219,1361,202,1256,241,856,169,781,161,946,200,721,202,683,138,694,181,1467,250,1431,225,1587,246,1130,225,590,144,449,123,244,106
20,620L300US25080,25080,12th Bristol,13542,390,435,147,460,173,291,113,478,162,316,145,529,173,444,148,364,128,459,161,971,213,1474,263,2217,269,1874,318,1403,267,1094,248,733,176
