022 Twelfth Bristol District,"1,042",3.66,"1,153",4.06,898,3.16,"1,090",3.83,"1,761",6.19,0,0,505,1.78,693,2.44,488,1.72,629,2.21,"1,428",5.02,0,0,"3,473",12.21,"3,431",12.07,"2,674",9.4,"3,070",10.8,"5,638",19.83,0,0,155,0.55,129,0.45,72,0.25,63,0.22,42,0.15,0,0,24,0.08,41,0.14,52,0.18,32,0.11,10,0.04,14,0.05,"4,342",15.27,282,0.99,837,2.94,51,0.18,104,0.37,65,0.23,0,0,90,0.32,0,0,2,0.01,1,0,13,0.05,3,0.01,8,0.03,"3,179",11.18,76,0.27,348,1.22,9,0.03,14,0.05,16,0.06,0,0,74,0.26,17,0.06,35,0.12,20,0.07,53,0.19,21,0.07,30,0.11,"14,976",52.67,447,1.57,"2,012",7.08,69,0.24,143,0.5,72,0.25,0,0,391,1.38,0,0,0,0,2,0.01,0,0,2,0.01,0,0,352,1.24,11,0.04,63,0.22,3,0.01,4,0.01,0,0,0,0,24,0.08,"2,462",8.66,"3,466",12.19,16,0.06,"2,209",7.77,"1,525",5.36,9,0.03,"8,757",30.8,"9,504",33.42,25,0.09,223,0.78,236,0.83,2,0.01,"28,434"
024 Fourteenth Bristol District,776,2.85,"1,105",4.06,939,3.45,972,3.57,"1,785",6.56,0,0,465,1.71,726,2.67,567,2.08,741,2.72,"1,728",6.35,0,0,"2,702",9.93,"3,445",12.66,"2,561",9.41,"2,795",10.27,"5,577",20.49,0,0,89,0.33,119,0.44,47,0.17,48,0.18,34,0.12,0,0,25,0.09,33,0.12,39,0.14,71,0.26,16,0.06,27,0.1,"4,190",15.39,164,0.6,694,2.55,71,0.26,53,0.19,41,0.15,0,0,153,0.56,4,0.01,5,0.02,5,0.02,23,0.08,9,0.03,4,0.01,"3,556",13.06,53,0.19,434,1.59,15,0.06,15,0.06,11,0.04,0,0,93,0.34,8,0.03,18,0.07,30,0.11,213,0.78,46,0.17,66,0.24,"13,863",50.93,325,1.19,"1,907",7.01,62,0.23,73,0.27,42,0.15,0,0,427,1.57,1,0,1,0,2,0.01,4,0.01,0,0,0,0,233,0.86,8,0.03,55,0.2,2,0.01,4,0.01,0,0,0,0,27,0.1,"2,267",8.33,"3,297",12.11,13,0.05,"2,450",9,"1,772",6.51,5,0.02,"8,108",29.79,"8,931",32.81,41,0.15,170,0.62,166,0.61,1,0,"27,221"
025 First Essex District,970,2.93,"1,603",4.84,"1,320",3.98,"1,488",4.49,"3,524",10.63,0,0,503,1.52,794,2.4,572,1.73,672,2.03,"1,719",5.19,0,0,"2,840",8.57,"3,745",11.3,"2,673",8.07,"3,075",9.28,"7,123",21.49,0,0,129,0.39,164,0.49,82,0.25,71,0.21,72,0.22,0,0,5,0.02,9,0.03,18,0.05,19,0.06,7,0.02,11,0.03,"7,587",22.89,112,0.34,844,2.55,37,0.11,26,0.08,25,0.08,0,0,205,0.62,0,0,2,0.01,1,0,4,0.01,4,0.01,6,0.02,"3,779",11.4,27,0.08,305,0.92,6,0.02,9,0.03,4,0.01,0,0,113,0.34,5,0.02,13,0.04,12,0.04,62,0.19,14,0.04,27,0.08,"16,910",51.03,178,0.54,"1,653",4.99,36,0.11,46,0.14,39,0.12,0,0,461,1.39,1,0,0,0,0,0,1,0,0,0,0,0,425,1.28,3,0.01,52,0.16,1,0,1,0,2,0.01,0,0,32,0.1,"3,374",10.18,"5,518",16.65,13,0.04,"2,411",7.28,"1,842",5.56,7,0.02,"9,223",27.83,"10,182",30.73,51,0.15,217,0.65,301,0.91,0,0,"33,139"
026 Second Essex District,614,1.84,"1,078",3.23,975,2.92,"1,214",3.64,"2,863",8.58,0,0,470,1.41,739,2.21,667,2,999,2.99,"2,553",7.65,0,0,"2,390",7.16,"3,521",10.55,"2,841",8.51,"3,755",11.25,"8,290",24.84,0,0,109,0.33,145,0.43,51,0.15,49,0.15,45,0.13,0,0,1,0,5,0.01,7,0.02,20,0.06,12,0.04,9,0.03,"5,795",17.37,86,0.26,598,1.79,38,0.11,32,0.1,20,0.06,0,0,121,0.36,0,0,0,0,2,0.01,2,0.01,4,0.01,14,0.04,"4,855",14.55,42,0.13,403,1.21,12,0.04,5,0.01,6,0.02,0,0,83,0.25,2,0.01,12,0.04,2,0.01,58,0.17,14,0.04,32,0.1,"18,327",54.92,184,0.55,"1,623",4.86,35,0.1,49,0.15,39,0.12,0,0,420,1.26,0,0,0,0,0,0,0,0,0,0,0,0,305,0.91,8,0.02,55,0.16,3,0.01,0,0,0,0,0,0,28,0.08,"2,672",8.01,"4,038",12.1,34,0.1,"3,024",9.06,"2,388",7.16,16,0.05,"9,993",29.95,"10,736",32.17,68,0.2,180,0.54,215,0.64,4,0.01,"33,368"
028 Fourth Essex District,651,1.94,"1,162",3.47,886,2.65,"1,247",3.72,"2,931",8.75,0,0,513,1.53,789,2.36,637,1.9,978,2.92,"2,648",7.91,0,0,"2,361",7.05,"3,317",9.9,"2,704",8.07,"3,444",10.28,"8,898",26.57,0,0,96,0.29,97,0.29,52,0.16,47,0.14,33,0.1,0,0,3,0.01,13,0.04,11,0.03,30,0.09,16,0.05,13,0.04,"5,829",17.4,92,0.27,667,1.99,21,0.06,22,0.07,11,0.03,0,0,149,0.44,0,0,5,0.01,2,0.01,13,0.04,10,0.03,11,0.03,"4,872",14.55,64,0.19,493,1.47,9,0.03,6,0.02,4,0.01,0,0,76,0.23,3,0.01,12,0.04,11,0.03,96,0.29,41,0.12,55,0.16,"18,001",53.75,221,0.66,"1,831",5.47,28,0.08,36,0.11,24,0.07,0,0,365,1.09,0,0,1,0,0,0,1,0,0,0,2,0.01,240,0.72,6,0.02,41,0.12,2,0.01,1,0,2,0.01,0,0,29,0.09,"2,650",7.91,"4,209",12.57,18,0.05,"3,061",9.14,"2,493",7.44,11,0.03,"9,891",29.53,"10,798",32.24,35,0.1,162,0.48,161,0.48,2,0.01,"33,491"
029 Fifth Essex District,867,2.91,"1,307",4.39,"1,121",3.76,"1,370",4.6,"3,306",11.1,0,0,305,1.02,497,1.67,383,1.29,541,1.82,"1,260",4.23,0,0,"2,410",8.09,"3,132",10.52,"2,540",8.53,"3,103",10.42,"7,260",24.38,0,0,99,0.33,121,0.41,52,0.17,57,0.19,50,0.17,0,0,9,0.03,21,0.07,15,0.05,10,0.03,7,0.02,6,0.02,"6,613",22.21,140,0.47,890,2.99,37,0.12,31,0.1,43,0.14,0,0,149,0.5,0,0,3,0.01,2,0.01,4,0.01,0,0,3,0.01,"2,613",8.77,37,0.12,251,0.84,10,0.03,6,0.02,6,0.02,0,0,51,0.17,4,0.01,12,0.04,9,0.03,35,0.12,24,0.08,21,0.07,"15,837",53.18,251,0.84,"1,770",5.94,55,0.18,50,0.17,37,0.12,0,0,340,1.14,0,0,1,0,0,0,0,0,2,0.01,0,0,284,0.95,8,0.03,61,0.2,3,0.01,1,0,0,0,0,0,19,0.06,"3,136",10.53,"4,784",16.06,51,0.17,"1,716",5.76,"1,260",4.23,10,0.03,"8,644",29.03,"9,698",32.56,103,0.35,200,0.67,176,0.59,3,0.01,"29,781"
033 Ninth Essex District,947,3.11,"1,437",4.72,"1,220",4.01,"1,562",5.13,"3,618",11.88,0,0,377,1.24,586,1.92,427,1.4,585,1.92,"1,309",4.3,0,0,"2,353",7.73,"3,262",10.71,"2,374",7.8,"2,943",9.66,"7,042",23.12,0,0,113,0.37,118,0.39,61,0.2,60,0.2,59,0.19,0,0,29,0.1,59,0.19,48,0.16,76,0.25,29,0.1,24,0.08,"6,774",22.24,247,0.81,"1,071",3.52,137,0.45,85,0.28,86,0.28,0,0,119,0.39,2,0.01,3,0.01,0,0,22,0.07,10,0.03,5,0.02,"2,701",8.87,51,0.17,368,1.21,29,0.1,21,0.07,12,0.04,0,0,60,0.2,21,0.07,29,0.1,29,0.1,201,0.66,53,0.17,82,0.27,"14,514",47.66,339,1.11,"2,050",6.73,128,0.42,91,0.3,68,0.22,0,0,369,1.21,0,0,1,0,2,0.01,1,0,1,0,0,0,310,1.02,14,0.05,55,0.18,2,0.01,6,0.02,1,0,0,0,18,0.06,"3,676",12.07,"5,092",16.72,16,0.05,"1,840",6.04,"1,442",4.74,2,0.01,"8,512",27.95,"9,419",30.93,43,0.14,194,0.64,216,0.71,1,0,"30,453"
037 Thirteenth Essex District,60,1.84,86,2.63,87,2.67,139,4.26,235,7.2,0,0,65,1.99,84,2.57,79,2.42,79,2.42,203,6.22,0,0,280,8.58,327,10.02,291,8.92,363,11.12,851,26.07,0,0,7,0.21,13,0.4,8,0.25,3,0.09,4,0.12,0,0,2,0.06,2,0.06,2,0.06,15,0.46,1,0.03,4,0.12,423,12.96,12,0.37,119,3.65,6,0.18,9,0.28,3,0.09,0,0,9,0.28,0,0,2,0.06,1,0.03,1,0.03,0,0,0,0,389,11.92,8,0.25,84,2.57,3,0.09,6,0.18,3,0.09,0,0,13,0.4,0,0,0,0,2,0.06,24,0.74,4,0.12,9,0.28,"1,624",49.75,37,1.13,346,10.6,3,0.09,12,0.37,5,0.15,1,0.03,45,1.38,0,0,0,0,0,0,0,0,0,0,0,0,22,0.67,2,0.06,10,0.31,1,0.03,0,0,0,0,0,0,0,0,236,7.23,371,11.37,0,0,267,8.18,243,7.44,0,0,974,29.84,"1,136",34.8,2,0.06,14,0.43,21,0.64,0,0,"3,264"
038 Fourteenth Essex District,70,3.84,110,6.03,67,3.68,61,3.35,145,7.95,0,0,27,1.48,50,2.74,32,1.76,52,2.85,112,6.14,0,0,173,9.49,223,12.23,138,7.57,162,8.89,382,20.95,0,0,4,0.22,6,0.33,4,0.22,2,0.11,3,0.16,0,0,4,0.22,0,0,2,0.11,7,0.38,6,0.33,6,0.33,249,13.66,17,0.93,99,5.43,20,1.1,12,0.66,11,0.6,0,0,20,1.1,0,0,0,0,0,0,0,0,1,0.05,2,0.11,200,10.97,3,0.16,57,3.13,1,0.05,1,0.05,0,0,0,0,8,0.44,1,0.05,3,0.16,3,0.16,39,2.14,4,0.22,10,0.55,695,38.12,21,1.15,221,12.12,17,0.93,12,0.66,4,0.22,0,0,48,2.63,0,0,0,0,0,0,0,0,0,0,0,0,8,0.44,1,0.05,8,0.44,1,0.05,0,0,0,0,0,0,1,0.05,190,10.42,257,14.1,6,0.33,154,8.45,119,6.53,0,0,511,28.03,556,30.5,11,0.6,9,0.49,9,0.49,1,0.05,"1,823"
042 Eighteenth Essex District,788,2.49,"1,224",3.87,"1,043",3.3,"1,301",4.11,"2,653",8.39,0,0,480,1.52,752,2.38,667,2.11,"1,002",3.17,"2,218",7.01,0,0,"2,525",7.98,"3,531",11.17,"2,790",8.82,"3,318",10.49,"7,074",22.37,0,0,69,0.22,84,0.27,42,0.13,32,0.1,31,0.1,0,0,7,0.02,23,0.07,25,0.08,281,0.89,49,0.15,98,0.31,"4,883",15.44,190,0.6,"1,039",3.29,93,0.29,82,0.26,60,0.19,0,0,179,0.57,1,0,1,0,4,0.01,80,0.25,16,0.05,46,0.15,"4,104",12.98,61,0.19,657,2.08,22,0.07,26,0.08,7,0.02,0,0,94,0.3,12,0.04,35,0.11,18,0.06,838,2.65,127,0.4,278,0.88,"14,035",44.38,384,1.21,"2,788",8.82,106,0.34,93,0.29,61,0.19,0,0,463,1.46,0,0,0,0,0,0,3,0.01,0,0,0,0,178,0.56,5,0.02,56,0.18,2,0.01,1,0,0,0,0,0,13,0.04,"2,786",8.81,"4,201",13.28,22,0.07,"2,889",9.14,"2,223",7.03,7,0.02,"9,460",29.91,"9,710",30.7,68,0.22,140,0.44,117,0.37,1,0,"31,624"
