year,district,name,sex,party,vote_count,vote_percent
2012,6th Hampden,Michael J. Finn,m,Democratic,"9,477",63.6
2012,7th Hampden,Thomas M. Petrolati,m,Democratic,"15,013",98.8
2012,8th Hampden,Joseph F. Wagner,m,Democratic,"13,860",98.4
2012,9th Hampden,Sean Curran,m,Democratic,"12,134",84.2
2012,10th Hampden,Cheryl Rivera,f,Democratic,"10,136",97.8
2012,11th Hampden,Benjamin Swan,m,Democratic,"10,084",76.6
2012,12th Hampden,"Angelo J. Puppolo, Jr.",m,Democratic,"13,271",70.1
2012,1st Hampshire,Peter V. Kocot,m,Democratic,"19,090",99.6
2012,2nd Hampshire,John W. Scibak,m,Democratic,"17,881",99.3
2012,3rd Hampshire,Ellen S. Story,f,Democratic,"15,365",99
2012,1st Middlesex,Sheila C. Harrington,f,Republican,"17,592",99.5
2012,2nd Middlesex,James Arciero,m,Democratic,"15,043",65.1
2012,3rd Middlesex,Kate Hogan,f,Democratic,"14,074",64.1
2012,4th Middlesex,Danielle W. Gregoire,f,Democratic,"9,135",50.5
2012,5th Middlesex,David Paul Linsky,m,Democratic,"14,818",64.6
2012,6th Middlesex,Chris Walsh,m,Democratic,"14,931",98.5
2012,7th Middlesex,Tom Sannicandro,m,Democratic,"10,054",71
2012,8th Middlesex,Carolyn C. Dykema,f,Democratic,"14,141",61.3
2012,9th Middlesex,Thomas M. Stanley,m,Democratic,"15,821",98.9
2012,10th Middlesex,"John J. Lawn, Jr.",m,Democratic,"10,479",75.8
2012,11th Middlesex,Kay S. Khan,f,Democratic,"14,329",74.3
2012,12th Middlesex,Ruth B. Balser,f,Democratic,"15,923",98.8
2012,13th Middlesex,Thomas P. Conroy,m,Democratic,"16,734",98.4
2012,14th Middlesex,Cory Atkins,m,Democratic,"14,869",65.4
2012,15th Middlesex,Jay R. Kaufman,m,Democratic,"18,138",99.4
2012,16th Middlesex,"Thomas A. Golden, Jr.",m,Democratic,"13,382",98.8
2012,17th Middlesex,David M. Nangle,m,Democratic,"10,246",76.5
2012,18th Middlesex,Kevin J. Murphy,m,Democratic,"8,595",98
2012,19th Middlesex,James R. Miceli,m,Democratic,"15,755",73.4
2012,20th Middlesex,"Bradley H. Jones, Jr.",m,Republican,"19,539",99.4
2012,21st Middlesex,Kenneth I. Gordon,m,Democratic,"11,802",55.2
2012,22nd Middlesex,Marc T. Lombardo,m,Republican,"11,368",60.6
2012,23rd Middlesex,Sean Garballey,m,Democratic,"19,077",81.2
2012,24th Middlesex,David M. Rogers,m,Democratic,"12,633",57.4
2012,25th Middlesex,Marjorie C. Decker,f,Democratic,"15,453",98.8
2012,26th Middlesex,"Timothy J. Toomey, Jr.",m,Democratic,"10,898",68.3
2012,27th Middlesex,Denise Provost,f,Democratic,"16,843",98.6
2012,28th Middlesex,Stephen Stat Smith,m,Democratic,"9,597",98
2012,29th Middlesex,Jonathan Hecht,m,Democratic,"17,742",98.8
2012,30th Middlesex,James J. Dwyer,m,Democratic,"15,567",99.4
2012,31st Middlesex,Jason M. Lewis,m,Democratic,"13,989",59.8
2012,32nd Middlesex,Paul A. Brodeur,m,Democratic,"16,427",98.6
2012,33rd Middlesex,Christopher G. Fallon,m,Democratic,"10,730",99
2012,34th Middlesex,"Carl M. Sciortino, Jr.",m,Democratic,"13,842",83.9
2012,35th Middlesex,"Paul J. Donato, Sr.",m,Democratic,"14,305",98.6
2012,36th Middlesex,Colleen M. Garry,f,Democratic,"12,076",58.6
2012,37th Middlesex,Jennifer E. Benson,f,Democratic,"16,701",99.2
2012,1st Norfolk,Bruce J. Ayers,m,Democratic,"14,722",98.7
2012,2nd Norfolk,Tackey Chan,m,Democratic,"13,980",98.1
2012,3rd Norfolk,Ronald Mariano,m,Democratic,"14,871",97.5
2012,4th Norfolk,James Michael Murphy,m,Democratic,"15,822",80.7
2012,5th Norfolk,Mark J. Cusack,m,Democratic,"15,442",98.3
2012,6th Norfolk,William C. Galvin,m,Democratic,"16,540",99.6
2012,7th Norfolk,"Walter F. Timilty, Jr.",m,Democratic,"16,844",99.2
2012,8th Norfolk,Louis L. Kafka,m,Democratic,"17,576",98.9
2012,9th Norfolk,Daniel B. Winslow,m,Republican,"18,091",99.1
2012,10th Norfolk,Jeffrey N. Roy,m,Democratic,"11,850",54.2
2012,11th Norfolk,Paul McMurtry,m,Democratic,"17,318",99.1
2012,12th Norfolk,John H. Rogers,m,Democratic,"12,579",60.6
2012,13th Norfolk,Denise C. Garlick,f,Democratic,"17,531",98.6
2012,14th Norfolk,Alice Hanlon Peisch,f,Democratic,"17,129",98.6
2012,15th Norfolk,Frank Israel Smizik,m,Democratic,"15,033",99.7
2012,1st Plymouth,Vinny M. deMacedo,m,Republican,"17,926",99.1
