,year,district,name,sex,party,vote_count,vote_percent
429,2012,31st Middlesex,Jason M. Lewis,m,Democratic,"13,989",59.8
430,2012,32nd Middlesex,Paul A. Brodeur,m,Democratic,"16,427",98.6
431,2012,33rd Middlesex,Christopher G. Fallon,m,Democratic,"10,730",99.0
432,2012,34th Middlesex,"Carl M. Sciortino, Jr.",m,Democratic,"13,842",83.9
433,2012,35th Middlesex,"Paul J. Donato, Sr.",m,Democratic,"14,305",98.6
434,2012,36th Middlesex,Colleen M. Garry,f,Democratic,"12,076",58.6
435,2012,37th Middlesex,Jennifer E. Benson,f,Democratic,"16,701",99.2
436,2012,1st Norfolk,Bruce J. Ayers,m,Democratic,"14,722",98.7
437,2012,2nd Norfolk,Tackey Chan,m,Democratic,"13,980",98.1
438,2012,3rd Norfolk,Ronald Mariano,m,Democratic,"14,871",97.5
439,2012,4th Norfolk,James Michael Murphy,m,Democratic,"15,822",80.7
440,2012,5th Norfolk,Mark J. Cusack,m,Democratic,"15,442",98.3
441,2012,6th Norfolk,William C. Galvin,m,Democratic,"16,540",99.6
442,2012,7th Norfolk,"Walter F. Timilty, Jr.",m,Democratic,"16,844",99.2
443,2012,8th Norfolk,Louis L. Kafka,m,Democratic,"17,576",98.9
444,2012,9th Norfolk,Daniel B. Winslow,m,Republican,"18,091",99.1
445,2012,10th Norfolk,Jeffrey N. Roy,m,Democratic,"11,850",54.2
446,2012,11th Norfolk,Paul McMurtry,m,Democratic,"17,318",99.1
447,2012,12th Norfolk,John H. Rogers,m,Democratic,"12,579",60.6
448,2012,13th Norfolk,Denise C. Garlick,f,Democratic,"17,531",98.6
449,2012,14th Norfolk,Alice Hanlon Peisch,f,Democratic,"17,129",98.6
450,2012,15th Norfolk,Frank Israel Smizik,m,Democratic,"15,033",99.7
451,2012,1st Plymouth,Vinny M. deMacedo,m,Republican,"17,926",99.1
452,2012,2nd Plymouth,Susan Williams Gifford,f,Republican,"15,996",98.6
453,2012,3rd Plymouth,Garrett J. Bradley,m,Democratic,"18,942",99.3
454,2012,4th Plymouth,James M. Cantwell,m,Democratic,"16,128",68.4
455,2012,5th Plymouth,Rhonda L. Nyman,f,Democratic,"12,965",57.8
456,2012,6th Plymouth,Josh S. Cutler,m,Democratic,"12,433",55.0
457,2012,7th Plymouth,Geoff Diehl,m,Republican,"10,942",54.2
458,2012,8th Plymouth,Angelo L. D'Emilia,m,Republican,"9,287",52.2
459,2012,9th Plymouth,Michael D. Brady,m,Democratic,"10,474",99.9
460,2012,10th Plymouth,Christine E. Canavan,f,Democratic,"13,687",99.7
461,2012,11th Plymouth,Claire D. Cronin,f,Democratic,"11,422",63.2
462,2012,12th Plymouth,"Thomas J. Calter, III",m,Democratic,"13,436",62.5
463,2012,1st Suffolk,Carlo P. Basile,m,Democratic,"8,137",97.7
464,2012,2nd Suffolk,Eugene L. O'Flaherty,m,Democratic,"10,282",81.8
465,2012,3rd Suffolk,Aaron M. Michlewitz,m,Democratic,"13,031",98.5
466,2012,4th Suffolk,Nick Collins,m,Democratic,"14,927",98.4
467,2012,5th Suffolk,Carlos Tony Henriquez,m,Democratic,"9,179",77.6
468,2012,6th Suffolk,Russell E. Holmes,m,Democratic,"12,357",98.7
469,2012,7th Suffolk,Gloria L. Fox,f,Democratic,"9,561",98.5
470,2012,8th Suffolk,Martha Walz,f,Democratic,"14,844",98.1
471,2012,9th Suffolk,Byron Rushing,m,Democratic,"11,517",98.3
472,2012,10th Suffolk,Edward F. Coppinger,m,Democratic,"15,926",98.7
473,2012,11th Suffolk,Elizabeth A. Malia,f,Democratic,"14,632",98.9
474,2012,12th Suffolk,Linda Dorcena Forry,f,Democratic,"15,443",98.8
475,2012,13th Suffolk,Martin J. Walsh,m,Democratic,"13,744",98.2
476,2012,14th Suffolk,Angelo M. Scaccia,m,Democratic,"14,183",98.5
477,2012,15th Suffolk,Jeffrey Sanchez,m,Democratic,"14,417",98.7
478,2012,16th Suffolk,Kathi-Anne Reinstein,f,Democratic,"11,761",98.5
479,2012,17th Suffolk,Kevin G. Honan,m,Democratic,"11,267",98.3
480,2012,18th Suffolk,Michael J. Moran,m,Democratic,"9,557",98.5
481,2012,19th Suffolk,Robert A. DeLeo,m,Democratic,"11,455",77.5
482,2012,1st Worcester,Kimberly N. Ferguson,f,Republican,"18,218",99.2
483,2012,2nd Worcester,Jonathan D. Zlotnik,m,Democratic,"8,528",50.9
484,2012,3rd Worcester,Stephen L. DiNatale,m,Democratic,"12,835",99.8
485,2012,4th Worcester,Dennis A. Rosa,m,Democratic,"10,346",57.1
486,2012,5th Worcester,Anne M. Gobi,f,Democratic,"14,063",69.7
487,2012,6th Worcester,Peter J. Durant,m,Republican,"9,676",55.4
488,2012,7th Worcester,Paul K. Frost,m,Republican,"15,489",99.4
489,2012,8th Worcester,Kevin J. Kuros,m,Republican,"10,487",49.8
490,2012,9th Worcester,"George N. Peterson, Jr.",m,Republican,"16,543",99.6
491,2012,10th Worcester,John V. Fernandes,m,Democratic,"16,234",98.8
492,2012,11th Worcester,Matthew A. Beaton,m,Republican,"16,572",99.0
493,2012,12th Worcester,"Harold P. Naughton, Jr.",m,Democratic,"15,859",94.5
494,2012,13th Worcester,"John J. Mahoney, Jr.",m,Democratic,"12,019",98.4
495,2012,14th Worcester,James J. O'Day,m,Democratic,"9,914",61.1
496,2012,15th Worcester,Mary S. Keefe,f,Democratic,"7,654",75.0
497,2012,16th Worcester,John P. Fresolo,m,Democratic,"9,287",97.9
498,2012,17th Worcester,"John J. Binienda, Sr.",m,Democratic,"10,595",76.3
499,2012,18th Worcester,Ryan C. Fattman,m,Republican,"13,411",70.0
