Tewksbury,Second Essex and Middlesex,
CHICOPEE - Wds. 2-4,Hampden,
SPRINGFIELD:,Hampden,
West Springfield,Hampden,
CHICOPEE:,First Hampden and Hampshire,
SPRINGFIELD:,First Hampden and Hampshire,
East Longmeadow,First Hampden and Hampshire,
Hampden,First Hampden and Hampshire,
Longmeadow,First Hampden and Hampshire,
Ludlow,First Hampden and Hampshire,
Wilbraham,First Hampden and Hampshire,
Belchertown,First Hampden and Hampshire,
Granby,First Hampden and Hampshire,
CHICOPEE:,Second Hampden and Hampshire,
HOLYOKE,Second Hampden and Hampshire,
WESTFIELD,Second Hampden and Hampshire,
Agawam,Second Hampden and Hampshire,
Granville,Second Hampden and Hampshire,
Montgomery,Second Hampden and Hampshire,
Russell,Second Hampden and Hampshire,
Southwick,Second Hampden and Hampshire,
Tolland,Second Hampden and Hampshire,
Easthampton,Second Hampden and Hampshire,
Southampton,Second Hampden and Hampshire,
NORTHAMPTON,"Hampshire, Franklin and Worcester",
Amherst,"Hampshire, Franklin and Worcester",
Hadley,"Hampshire, Franklin and Worcester",
Hatfield,"Hampshire, Franklin and Worcester",
Pelham,"Hampshire, Franklin and Worcester",
South Hadley,"Hampshire, Franklin and Worcester",
Bernardston,"Hampshire, Franklin and Worcester",
Colrain,"Hampshire, Franklin and Worcester",
Deerfield,"Hampshire, Franklin and Worcester",
Erving,"Hampshire, Franklin and Worcester",
Gill,"Hampshire, Franklin and Worcester",
Greenfield,"Hampshire, Franklin and Worcester",
Leverett,"Hampshire, Franklin and Worcester",
Leyden,"Hampshire, Franklin and Worcester",
Montague,"Hampshire, Franklin and Worcester",
New Salem,"Hampshire, Franklin and Worcester",
Northfield,"Hampshire, Franklin and Worcester",
Orange,"Hampshire, Franklin and Worcester",
Shutesbury,"Hampshire, Franklin and Worcester",
Sunderland,"Hampshire, Franklin and Worcester",
Warwick,"Hampshire, Franklin and Worcester",
Wendell,"Hampshire, Franklin and Worcester",
Whately,"Hampshire, Franklin and Worcester",
Royalston,"Hampshire, Franklin and Worcester",
Dunstable,First Middlesex,
Groton,First Middlesex,
LOWELL,First Middlesex,
Pepperell,First Middlesex,
Tyngsborough,First Middlesex,
Westford,First Middlesex,
"CAMBRIDGE - Wds. 9, 10, 11 ",Second Middlesex,
MEDFORD,Second Middlesex,
SOMERVILLE,Second Middlesex,
"Winchester - Pcts. 4, 5, 6, 7",Second Middlesex,
Bedford ,Third Middlesex,
Carlisle ,Third Middlesex,
Chelmsford,Third Middlesex,
Concord ,Third Middlesex,
"Lexington - Pcts. 3, 8, 9",Third Middlesex,
Lincoln,Third Middlesex,
"Sudbury - Pcts. 1, 4, 5",Third Middlesex,
WALTHAM,Third Middlesex,
Weston,Third Middlesex,
Arlington,Fourth Middlesex,
Billerica,Fourth Middlesex,
Burlington,Fourth Middlesex,
"Lexington - Pcts. 1, 2, 4, 5, 6, 7",Fourth Middlesex,
WOBURN,Fourth Middlesex,
MALDEN,Fifth Middlesex,
MELROSE,Fifth Middlesex,
Reading,Fifth Middlesex,
Stoneham,Fifth Middlesex,
Wakefield,Fifth Middlesex,
"Winchester - Pcts. 1, 2, 3, 8",Fifth Middlesex,
NEWTON,First Middlesex and Norfolk,
Brookline,First Middlesex and Norfolk,
"Wellesley - Pcts. A, C-E, H",First Middlesex and Norfolk,
Ashland,Second Middlesex and Norfolk,
Framingham,Second Middlesex and Norfolk,
Holliston,Second Middlesex and Norfolk,
Hopkinton,Second Middlesex and Norfolk,
"Natick - Pcts. 1, 2, 3, 4, 5, 8",Second Middlesex and Norfolk,
"Franklin - Pcts. 5, 6, 7, 8",Second Middlesex and Norfolk,
Medway,Second Middlesex and Norfolk,
CAMBRIDGE:,Middlesex and Suffolk,
EVERETT,Middlesex and Suffolk,
BOSTON:,Middlesex and Suffolk,
CHELSEA,Middlesex and Suffolk,
Acton,Middlesex and Worcester,
Ayer,Middlesex and Worcester,
Boxborough,Middlesex and Worcester,
Hudson,Middlesex and Worcester,
Littleton,Middlesex and Worcester,
MARLBOROUGH,Middlesex and Worcester,
Maynard,Middlesex and Worcester,
Shirley,Middlesex and Worcester,
Stow,Middlesex and Worcester,
"Sudbury - Pcts. 2, 3",Middlesex and Worcester,
Harvard,Middlesex and Worcester,
Northborough - Pct. 3,Middlesex and Worcester,
Southborough,Middlesex and Worcester,
Westborough,Middlesex and Worcester,
"Franklin - Pcts. 1, 2, 3, 4, 7","Norfolk, Bristol and Middlesex",
Millis,"Norfolk, Bristol and Middlesex",
"Needham - Pcts. A, C, I, J","Norfolk, Bristol and Middlesex",
Norfolk,"Norfolk, Bristol and Middlesex",
Plainville,"Norfolk, Bristol and Middlesex",
"Wellesley - Pcts. B, F, G","Norfolk, Bristol and Middlesex",
Wrentham,"Norfolk, Bristol and Middlesex",
ATTLEBORO:,"Norfolk, Bristol and Middlesex",
North Attleborough,"Norfolk, Bristol and Middlesex",
"Natick - Pcts. 6, 7, 9, 10","Norfolk, Bristol and Middlesex",
Sherborn,"Norfolk, Bristol and Middlesex",
Wayland,"Norfolk, Bristol and Middlesex",
Avon,"Norfolk, Bristol and Plymouth",
"Braintree - Pcts. 1A, 1B, 2A, 2B","Norfolk, Bristol and Plymouth",
Canton,"Norfolk, Bristol and Plymouth",
Milton,"Norfolk, Bristol and Plymouth",
Randolph,"Norfolk, Bristol and Plymouth",
"Sharon - Pcts. 2, 3","Norfolk, Bristol and Plymouth",
Stoughton,"Norfolk, Bristol and Plymouth",
"Easton - Pcts. 3, 4, 5, 6","Norfolk, Bristol and Plymouth",
East Bridgewater - Pct. 4,"Norfolk, Bristol and Plymouth",
West Bridgewater,"Norfolk, Bristol and Plymouth",
"Braintree - Pcts. 3A, 3B, 4A, 4B, 5A, 5B, 6A, 6B",Norfolk and Plymouth,
Holbrook,Norfolk and Plymouth,
QUINCY,Norfolk and Plymouth,
Abington,Norfolk and Plymouth,
Rockland,Norfolk and Plymouth,
Norfolk and Suffolk,,
Boston:,Norfolk and Suffolk,
Dover,Norfolk and Suffolk,
Dedham,Norfolk and Suffolk,
Needham - Pcts. D-H,Norfolk and Suffolk,
Norwood,Norfolk and Suffolk,
Westwood,Norfolk and Suffolk,
Kingston,Plymouth and Barnstable,
Pembroke,Plymouth and Barnstable,
Plymouth,Plymouth and Barnstable,
