city_town,Amount,senate_district
nantucket,2715.27,['Cape & Isl&s']
natick,1392.85,"['Second Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
needham,5945.0,"['Norfolk, Bristol & Middlesex', 'Norfolk & Suffolk']"
new bedford,17105.78,['Second Bristol & Plymouth']
new braintree,785.3,"['Worcester, Hampden, Hampshire & Middlesex']"
newbury,1200.0,['First Essex & Middlesex']
newburyport,20523.02,['First Essex']
newton,24439.65,['First Middlesex & Norfolk']
norfolk,1450.0,"['Norfolk, Bristol & Middlesex']"
north adams,3600.0,"['Berkshire, Hampshire, Franklin & Hampden']"
north andover,8371.64,"['First Essex', 'First Essex & Middlesex']"
north reading,2882.83,['First Essex & Middlesex']
northampton,6986.5,"['Hampshire, Franklin & Worcester']"
northborough,750.0,"['Middlesex & Worcester', 'First Worcester']"
northbridge,5800.0,"['Second Worcester', 'Worcester & Norfolk']"
norton,2345.7,['Bristol & Norfolk']
norwell,4363.6900000000005,['Plymouth & Norfolk']
norwood,3003.0,['Norfolk & Suffolk']
oak bluffs,964.0,['Cape & Isl&s']
orange,2092.88,"['Hampshire, Franklin & Worcester']"
orleans,1200.0,['Cape & Isl&s']
oxford,2057.0,['Worcester & Norfolk']
paxton,3450.0,"['Worcester, Hampden, Hampshire & Middlesex']"
peabody,7152.54,['Second Essex']
pembroke,12435.0,['Plymouth & Barnstable']
pepperell,2350.0,['First Middlesex']
petersham,1807.42,"['Worcester, Hampden, Hampshire & Middlesex']"
pittsfield,12414.87,"['Berkshire, Hampshire, Franklin & Hampden']"
plainville,950.0,"['Norfolk, Bristol & Middlesex']"
plymouth,7497.53,['Plymouth & Barnstable']
princeton,4500.0,['First Worcester']
provincetown,2500.0,['Cape & Isl&s']
quincy,26966.47,['Norfolk & Plymouth']
randolph,2042.0,"['Norfolk, Bristol & Plymouth']"
raynham,2100.0,['First Plymouth & Bristol']
reading,2550.0,['Fifth Middlesex']
rehoboth,1550.0,['Bristol & Norfolk']
revere,8075.0,['First Suffolk & Middlesex']
rochester,1500.0,['First Bristol & Plymouth']
rockland,2011.63,['Norfolk & Plymouth']
rockport,3922.71,['First Essex & Middlesex']
rowley,1564.31,['First Essex & Middlesex']
salem,11362.5,['Second Essex']
sandwich,2811.0,['Plymouth & Barnstable']
saugus,5475.0,['Third Essex']
scituate,2790.66,['Plymouth & Norfolk']
seekonk,3290.0,['Bristol & Norfolk']
sharon,900.0,"['Bristol & Norfolk', 'Norfolk, Bristol & Plymouth']"
shirley,1477.5700000000002,['Middlesex & Worcester']
shrewsbury,10096.769999999999,['Second Worcester']
shutesbury,600.0,"['Hampshire, Franklin & Worcester']"
somerset,8975.0,['First Bristol & Plymouth']
somerville,11214.83,['Second Middlesex']
south hadley,9736.89,"['Hampshire, Franklin & Worcester']"
southborough,7949.0,['Middlesex & Worcester']
southbridge,1350.0,['Worcester & Norfolk']
southwick,1700.0,['Second Hampden & Hampshire']
spencer,800.0,"['Worcester, Hampden, Hampshire & Middlesex']"
springfield,34973.39,"['Hampden', 'First Hampden & Hampshire']"
stoneham,2549.86,['Fifth Middlesex']
stoughton,15990.919999999998,"['Norfolk, Bristol & Plymouth']"
sturbridge,800.0,"['Worcester, Hampden, Hampshire & Middlesex']"
sudbury,3650.0,"['Third Middlesex', 'Middlesex & Worcester']"
sutton,11222.189999999999,['Worcester & Norfolk']
swampscott,7350.0,['Third Essex']
swansea,4025.0,['First Bristol & Plymouth']
taunton,11649.67,['First Plymouth & Bristol']
tewksbury,1625.0,['Second Essex & Middlesex']
topsfield,1980.48,['Second Essex']
townsend,750.0,['Worcester & Middlesex']
