year,district,name,party,vote_count,vote_percent
2012,1st Hampshire,Peter V. Kocot,Democratic,"19,090",99.6
2012,2nd Hampshire,John W. Scibak,Democratic,"17,881",99.3
2012,3rd Hampshire,Ellen S. Story,Democratic,"15,365",99.0
2012,1st Middlesex,Sheila C. Harrington,Republican,"17,592",99.5
2012,2nd Middlesex,James Arciero,Democratic,"15,043",65.1
2012,3rd Middlesex,Kate Hogan,Democratic,"14,074",64.1
2012,4th Middlesex,Danielle W. Gregoire,Democratic,"9,135",50.5
2012,5th Middlesex,David Paul Linsky,Democratic,"14,818",64.6
2012,6th Middlesex,Chris Walsh,Democratic,"14,931",98.5
2012,7th Middlesex,Tom Sannicandro,Democratic,"10,054",71.0
2012,8th Middlesex,Carolyn C. Dykema,Democratic,"14,141",61.3
2012,9th Middlesex,Thomas M. Stanley,Democratic,"15,821",98.9
2012,10th Middlesex,"John J. Lawn, Jr.",Democratic,"10,479",75.8
2012,11th Middlesex,Kay S. Khan,Democratic,"14,329",74.3
2012,12th Middlesex,Ruth B. Balser,Democratic,"15,923",98.8
2012,13th Middlesex,Thomas P. Conroy,Democratic,"16,734",98.4
2012,14th Middlesex,Cory Atkins,Democratic,"14,869",65.4
2012,15th Middlesex,Jay R. Kaufman,Democratic,"18,138",99.4
2012,16th Middlesex,"Thomas A. Golden, Jr.",Democratic,"13,382",98.8
2012,17th Middlesex,David M. Nangle,Democratic,"10,246",76.5
2012,18th Middlesex,Kevin J. Murphy,Democratic,"8,595",98.0
2012,19th Middlesex,James R. Miceli,Democratic,"15,755",73.4
2012,20th Middlesex,"Bradley H. Jones, Jr.",Republican,"19,539",99.4
2012,21st Middlesex,Kenneth I. Gordon,Democratic,"11,802",55.2
2012,22nd Middlesex,Marc T. Lombardo,Republican,"11,368",60.6
2012,23rd Middlesex,Sean Garballey,Democratic,"19,077",81.2
2012,24th Middlesex,David M. Rogers,Democratic,"12,633",57.4
2012,25th Middlesex,Marjorie C. Decker,Democratic,"15,453",98.8
2012,26th Middlesex,"Timothy J. Toomey, Jr.",Democratic,"10,898",68.3
2012,27th Middlesex,Denise Provost,Democratic,"16,843",98.6
2012,28th Middlesex,Stephen Stat Smith,Democratic,"9,597",98.0
2012,29th Middlesex,Jonathan Hecht,Democratic,"17,742",98.8
2012,30th Middlesex,James J. Dwyer,Democratic,"15,567",99.4
2012,31st Middlesex,Jason M. Lewis,Democratic,"13,989",59.8
2012,32nd Middlesex,Paul A. Brodeur,Democratic,"16,427",98.6
2012,33rd Middlesex,Christopher G. Fallon,Democratic,"10,730",99.0
2012,34th Middlesex,"Carl M. Sciortino, Jr.",Democratic,"13,842",83.9
2012,35th Middlesex,"Paul J. Donato, Sr.",Democratic,"14,305",98.6
2012,36th Middlesex,Colleen M. Garry,Democratic,"12,076",58.6
2012,37th Middlesex,Jennifer E. Benson,Democratic,"16,701",99.2
2012,1st Norfolk,Bruce J. Ayers,Democratic,"14,722",98.7
2012,2nd Norfolk,Tackey Chan,Democratic,"13,980",98.1
2012,3rd Norfolk,Ronald Mariano,Democratic,"14,871",97.5
2012,4th Norfolk,James Michael Murphy,Democratic,"15,822",80.7
2012,5th Norfolk,Mark J. Cusack,Democratic,"15,442",98.3
2012,6th Norfolk,William C. Galvin,Democratic,"16,540",99.6
2012,7th Norfolk,"Walter F. Timilty, Jr.",Democratic,"16,844",99.2
2012,8th Norfolk,Louis L. Kafka,Democratic,"17,576",98.9
2012,9th Norfolk,Daniel B. Winslow,Republican,"18,091",99.1
2012,10th Norfolk,Jeffrey N. Roy,Democratic,"11,850",54.2
2012,11th Norfolk,Paul McMurtry,Democratic,"17,318",99.1
2012,12th Norfolk,John H. Rogers,Democratic,"12,579",60.6
2012,13th Norfolk,Denise C. Garlick,Democratic,"17,531",98.6
2012,14th Norfolk,Alice Hanlon Peisch,Democratic,"17,129",98.6
2012,15th Norfolk,Frank Israel Smizik,Democratic,"15,033",99.7
2012,1st Plymouth,Vinny M. deMacedo,Republican,"17,926",99.1
2012,2nd Plymouth,Susan Williams Gifford,Republican,"15,996",98.6
2012,3rd Plymouth,Garrett J. Bradley,Democratic,"18,942",99.3
2012,4th Plymouth,James M. Cantwell,Democratic,"16,128",68.4
2012,5th Plymouth,Rhonda L. Nyman,Democratic,"12,965",57.8
2012,6th Plymouth,Josh S. Cutler,Democratic,"12,433",55.0
2012,7th Plymouth,Geoff Diehl,Republican,"10,942",54.2
2012,8th Plymouth,Angelo L. D'Emilia,Republican,"9,287",52.2
2012,9th Plymouth,Michael D. Brady,Democratic,"10,474",99.9
2012,10th Plymouth,Christine E. Canavan,Democratic,"13,687",99.7
2012,11th Plymouth,Claire D. Cronin,Democratic,"11,422",63.2
2012,12th Plymouth,"Thomas J. Calter, III",Democratic,"13,436",62.5
2012,1st Suffolk,Carlo P. Basile,Democratic,"8,137",97.7
2012,2nd Suffolk,Eugene L. O'Flaherty,Democratic,"10,282",81.8
2012,3rd Suffolk,Aaron M. Michlewitz,Democratic,"13,031",98.5
2012,4th Suffolk,Nick Collins,Democratic,"14,927",98.4
2012,5th Suffolk,Carlos Tony Henriquez,Democratic,"9,179",77.6
2012,6th Suffolk,Russell E. Holmes,Democratic,"12,357",98.7
2012,7th Suffolk,Gloria L. Fox,Democratic,"9,561",98.5
2012,8th Suffolk,Martha Walz,Democratic,"14,844",98.1
2012,9th Suffolk,Byron Rushing,Democratic,"11,517",98.3
2012,10th Suffolk,Edward F. Coppinger,Democratic,"15,926",98.7
2012,11th Suffolk,Elizabeth A. Malia,Democratic,"14,632",98.9
2012,12th Suffolk,Linda Dorcena Forry,Democratic,"15,443",98.8
2012,13th Suffolk,Martin J. Walsh,Democratic,"13,744",98.2
2012,14th Suffolk,Angelo M. Scaccia,Democratic,"14,183",98.5
2012,15th Suffolk,Jeffrey Sanchez,Democratic,"14,417",98.7
2012,16th Suffolk,Kathi-Anne Reinstein,Democratic,"11,761",98.5
2012,17th Suffolk,Kevin G. Honan,Democratic,"11,267",98.3
2012,18th Suffolk,Michael J. Moran,Democratic,"9,557",98.5
2012,19th Suffolk,Robert A. DeLeo,Democratic,"11,455",77.5
2012,1st Worcester,Kimberly N. Ferguson,Republican,"18,218",99.2
2012,2nd Worcester,Jonathan D. Zlotnik,Democratic,"8,528",50.9
2012,3rd Worcester,Stephen L. DiNatale,Democratic,"12,835",99.8
2012,4th Worcester,Dennis A. Rosa,Democratic,"10,346",57.1
2012,5th Worcester,Anne M. Gobi,Democratic,"14,063",69.7
2012,6th Worcester,Peter J. Durant,Republican,"9,676",55.4
2012,7th Worcester,Paul K. Frost,Republican,"15,489",99.4
2012,8th Worcester,Kevin J. Kuros,Republican,"10,487",49.8
2012,9th Worcester,"George N. Peterson, Jr.",Republican,"16,543",99.6
2012,10th Worcester,John V. Fernandes,Democratic,"16,234",98.8
2012,11th Worcester,Matthew A. Beaton,Republican,"16,572",99.0
2012,12th Worcester,"Harold P. Naughton, Jr.",Democratic,"15,859",94.5
2012,13th Worcester,"John J. Mahoney, Jr.",Democratic,"12,019",98.4
2012,14th Worcester,James J. O'Day,Democratic,"9,914",61.1
2012,15th Worcester,Mary S. Keefe,Democratic,"7,654",75.0
2012,16th Worcester,John P. Fresolo,Democratic,"9,287",97.9
2012,17th Worcester,"John J. Binienda, Sr.",Democratic,"10,595",76.3
2012,18th Worcester,Ryan C. Fattman,Republican,"13,411",70.0
2011,3rd Berkshire,Tricia Farley-Bouvier,Democratic,"1,940",32.8
2011,12th Bristol,Keiko M. Orrall,Republican,"2,137",54.7
2011,10th Middlesex,"John J. Lawn, Jr.",Democratic,"1,815",67.4
2011,6th Worcester,Peter J. Durant,Republican,"3,324",41.9
2010,1st Barnstable,Cleon H. Turner,Democratic,"11,146",56.8
2010,2nd Barnstable,Demetrius J. Atsalis,Democratic,"8,551",59.0
2010,3rd Barnstable,David T. Vieira,Republican,"10,036",53.9
2010,4th Barnstable,Sarah K. Peake,Democratic,"13,763",62.9
2010,5th Barnstable,Randy Hunt,Republican,"9,966",53.0
2010,"Barnstable, Dukes and Nantucket",Timothy R. Madden,Democratic,"15,398",98.8
2010,1st Berkshire,Gailanne M. Cariddi,Democratic,"8,874",99.4
2010,2nd Berkshire,Paul W. Mark,Democratic,"8,180",54.4
2010,3rd Berkshire,Christopher N. Speranzo,Democratic,"5,446",55.0
2010,4th Berkshire,"William ""Smitty"" Pignatelli",Democratic,"11,279",81.8
2010,1st Bristol,Fred Jay Barrows,Republican,"11,882",99.6
2010,2nd Bristol,George T. Ross,Republican,"5,630",48.6
2010,3rd Bristol,Shaunna L. O'Connell,Republican,"5,725",50.1
2010,4th Bristol,Steven S. Howitt,Republican,"8,441",54.4
2010,5th Bristol,Patricia A. Haddad,Democratic,"11,105",98.8
2010,6th Bristol,David B. Sullivan,Democratic,"7,047",63.6
2010,7th Bristol,Kevin Aguiar,Democratic,"5,402",75.2
2010,8th Bristol,"Paul Schmid, III",Democratic,"7,253",67.6
2010,9th Bristol,Christopher M. Markey,Democratic,"8,236",53.7
2010,10th Bristol,William M. Straus,Democratic,"9,579",57.2
2010,11th Bristol,Robert M. Koczera,Democratic,"7,041",66.6
2010,12th Bristol,Stephen R. Canessa,Democratic,"8,744",98.4
2010,13th Bristol,Antonio F.D. Cabral,Democratic,"8,031",98.4
2010,14th Bristol,Elizabeth A. Poirier,Republican,"12,828",99.4
2010,1st Essex,Michael A. Costello,Democratic,"11,289",65.1
2010,2nd Essex,Harriett L. Stanley,Democratic,"9,800",51.8
2010,3rd Essex,Brian S. Dempsey,Democratic,"8,727",100.0
2010,4th Essex,Bradford R. Hill,Republican,"15,186",99.6
2010,5th Essex,Ann-Margaret Ferrante,Democratic,"10,602",65.1
2010,6th Essex,Jerald A. Parisella,Democratic,"9,111",60.3
2010,7th Essex,John D. Keenan,Democratic,"10,533",99.0
2010,8th Essex,Lori A. Ehrlich,Democratic,"11,151",61.9
2010,9th Essex,Donald H. Wong,Republican,"8,943",51.0
2010,10th Essex,Robert F. Fennell,Democratic,"7,126",95.5
2010,11th Essex,Steven M. Walsh,Democratic,"7,299",98.5
2010,12th Essex,Joyce A. Spiliotis,Democratic,"9,584",59.5
2010,13th Essex,Theodore C. Speliotis,Democratic,"8,747",51.4
2010,14th Essex,David M. Torrisi,Democratic,"6,171",52.5
2010,15th Essex,Linda Dean Campbell,Democratic,"7,038",52.1
2010,16th Essex,Marcos A. Devers,Democratic,"1,374",88.5
2010,16th Essex,Marcos A. Devers,Democratic,"4,775",82.1
2010,17th Essex,Paul Adams,Republican,"7,928",54.2
2010,18th Essex,"James J. Lyons, Jr.",Republican,"8,770",53.2
2010,1st Franklin,Stephen Kulik,Democratic,"14,882",99.7
2010,2nd Franklin,Denise Andrews,Democratic,"6,890",52.5
2010,1st Hampden,Todd M. Smola,Republican,"12,470",99.2
2010,2nd Hampden,Brian Michael Ashe,Democratic,"8,699",51.3
2010,3rd Hampden,Nicholas A. Boldyga,Republican,"6,085",39.7
2010,4th Hampden,"Donald F. Humason, Jr.",Republican,"10,286",99.3
2010,5th Hampden,Michael F. Kane,Democratic,"8,074",99.4
2010,6th Hampden,Michael J. Finn,Democratic,"6,583",54.6
2010,7th Hampden,Thomas M. Petrolati,Democratic,"8,941",97.4
2010,8th Hampden,Joseph F. Wagner,Democratic,"8,931",97.8
2010,9th Hampden,Sean Curran,Democratic,"7,298",80.1
2010,10th Hampden,Cheryl Rivera,Democratic,"4,155",97.2
2010,11th Hampden,Benjamin Swan,Democratic,"5,559",96.1
2010,12th Hampden,"Angelo J. Puppolo, Jr.",Democratic,"10,006",64.8
2010,1st Hampshire,Peter V. Kocot,Democratic,"14,284",99.4
2010,2nd Hampshire,John W. Scibak,Democratic,"11,756",99.0
2010,3rd Hampshire,Ellen S. Story,Democratic,"8,087",77.4
2010,1st Middlesex,Sheila C. Harrington,Republican,"10,378",62.5
2010,2nd Middlesex,James Arciero,Democratic,"13,300",98.8
2010,3rd Middlesex,Kate Hogan,Democratic,"10,114",60.0
2010,4th Middlesex,Steven L. Levy,Republican,"7,443",50.3
2010,5th Middlesex,David Paul Linsky,Democratic,"11,960",98.9
2010,6th Middlesex,Chris Walsh,Democratic,"9,062",69.8
2010,7th Middlesex,Tom Sannicandro,Democratic,"7,706",63.7
2010,8th Middlesex,Carolyn C. Dykema,Democratic,"11,925",71.2
2010,9th Middlesex,Thomas M. Stanley,Democratic,"11,525",98.4
2010,10th Middlesex,Peter J. Koutoujian,Democratic,"7,547",73.7
2010,11th Middlesex,Kay S. Khan,Democratic,"12,228",98.4
2010,12th Middlesex,Ruth B. Balser,Democratic,"11,764",98.4
2010,13th Middlesex,Thomas P. Conroy,Democratic,"11,896",97.7
2010,14th Middlesex,Cory Atkins,Democratic,"10,800",58.8
2010,15th Middlesex,Jay R. Kaufman,Democratic,"12,332",99.1
2010,16th Middlesex,"Thomas A. Golden, Jr.",Democratic,"8,987",98.9
2010,17th Middlesex,David M. Nangle,Democratic,"7,589",99.3
2010,18th Middlesex,Kevin J. Murphy,Democratic,"4,782",99.6
2010,19th Middlesex,James R. Miceli,Democratic,"9,857",63.5
2010,20th Middlesex,"Bradley H. Jones, Jr.",Republican,"15,878",99.3
2010,21st Middlesex,Charles A. Murphy,Democratic,"11,491",97.2
2010,22nd Middlesex,Marc T. Lombardo,Republican,"7,405",50.5
2010,23rd Middlesex,Sean Garballey,Democratic,"15,082",98.3
2010,24th Middlesex,William N. Brownsberger,Democratic,"12,732",77.5
2010,25th Middlesex,Alice K. Wolf,Democratic,"10,743",99.2
2010,26th Middlesex,"Timothy J. Toomey, Jr.",Democratic,"9,637",98.6
2010,27th Middlesex,Denise Provost,Democratic,"10,955",98.0
2010,28th Middlesex,Stephen Stat Smith,Democratic,"5,855",63.9
2010,29th Middlesex,Jonathan Hecht,Democratic,"11,886",98.6
2010,30th Middlesex,James J. Dwyer,Democratic,"9,046",63.4
2010,31st Middlesex,Jason M. Lewis,Democratic,"8,970",52.3
2010,32nd Middlesex,Paul A. Brodeur,Democratic,"9,252",51.4
2010,33rd Middlesex,Christopher G. Fallon,Democratic,"8,009",98.3
2010,34th Middlesex,"Carl M. Sciortino, Jr.",Democratic,"7,599",73.4
2010,35th Middlesex,"Paul J. Donato, Sr.",Democratic,"9,306",76.2
2010,36th Middlesex,Colleen M. Garry,Democratic,"8,196",53.8
