year,district,name,party,vote_count,vote_percent
2016,28th Middlesex,"Joseph W. Mcgonagle, Jr",Democratic,"10,811",98.5
2016,29th Middlesex,Jonathan Hecht,Democratic,"18,821",98.6
2016,30th Middlesex,James J. Dwyer,Democratic,"15,943",99.6
2016,31st Middlesex,Michael Seamus Day,Democratic,"14,528",58.8
2016,32nd Middlesex,Paul A. Brodeur,Democratic,"18,386",98.7
2016,33rd Middlesex,Steven Ultrino,Democratic,"11,435",98.5
2016,34th Middlesex,Christine P. Barber,Democratic,"16,334",98.6
2016,35th Middlesex,"Paul J. Donato, Sr.",Democratic,"15,306",98.5
2016,36th Middlesex,Colleen M. Garry,Democratic,"18,003",99.8
2016,37th Middlesex,Jennifer E. Benson,Democratic,"17,814",99.0
2016,1st Norfolk,Bruce J. Ayers,Democratic,"15,497",99.8
2016,2nd Norfolk,Tackey Chan,Democratic,"15,005",100.0
2016,3rd Norfolk,Ronald Mariano,Democratic,"15,810",99.2
2016,4th Norfolk,James Michael Murphy,Democratic,"17,771",98.7
2016,5th Norfolk,Mark J. Cusack,Democratic,"16,652",98.5
2016,6th Norfolk,William C. Galvin,Democratic,"17,215",99.6
2016,7th Norfolk,"William J. Driscoll, Jr",Democratic,"16,318",99.2
2016,8th Norfolk,Louis L. Kafka,Democratic,"18,169",99.2
2016,9th Norfolk,Shawn C. Dooley,Republican,"14,427",60.9
2016,10th Norfolk,Jeffrey N. Roy,Democratic,"18,581",98.2
2016,11th Norfolk,Paul McMurtry,Democratic,"18,918",99.2
2016,12th Norfolk,John H. Rogers,Democratic,"14,534",65.9
2016,13th Norfolk,Denise C. Garlick,Democratic,"20,144",98.7
2016,14th Norfolk,Alice Hanlon Peisch,Democratic,"17,759",99.4
2016,15th Norfolk,Frank Israel Smizik,Democratic,"16,079",99.5
2016,1st Plymouth,Mathew J. Muratore,Republican,"11,873",50.8
2016,2nd Plymouth,Susan Williams Gifford,Republican,"11,894",57.7
2016,3rd Plymouth,Joan Meschino,Democratic,"13,257",54.0
2016,4th Plymouth,James M. Cantwell,Democratic,"17,388",69.6
2016,5th Plymouth,David F. Decoste,Republican,"12,293",51.0
2016,6th Plymouth,Josh S. Cutler,Democratic,"15,290",64.0
2016,7th Plymouth,Geoff Diehl,Republican,"17,088",99.2
2016,8th Plymouth,Angelo L. D'Emilia,Republican,"14,963",98.4
2016,9th Plymouth,Gerard J. Cassidy,Democratic,"4,536",99.0
2016,9th Plymouth,Gerard J. Cassidy,Democratic,"10,346",85.6
2016,10th Plymouth,Michelle M. Dubois,Democratic,"13,945",99.2
2016,11th Plymouth,Claire D. Cronin,Democratic,"15,361",99.8
2016,12th Plymouth,"Thomas J. Calter, III",Democratic,"13,908",59.9
2016,1st Suffolk,Adrian C. Madaro,Democratic,"9,946",98.0
2016,2nd Suffolk,Daniel Joseph Ryan,Democratic,"12,755",99.1
2016,3rd Suffolk,Aaron M. Michlewitz,Democratic,"15,542",98.7
2016,4th Suffolk,Nick Collins,Democratic,"18,781",98.6
2016,5th Suffolk,Evandro C. Carvalho,Democratic,"10,855",83.9
2016,6th Suffolk,Russell E. Holmes,Democratic,"13,044",98.8
2016,7th Suffolk,Chynah Tyler,Democratic,"9,150",98.6
2016,8th Suffolk,Jay D. Livingstone,Democratic,"16,201",98.7
2016,9th Suffolk,Byron Rushing,Democratic,"12,617",98.5
2016,10th Suffolk,Edward F. Coppinger,Democratic,"17,070",98.8
2016,11th Suffolk,Elizabeth A. Malia,Democratic,"15,628",88.9
2016,12th Suffolk,Dan Cullinane,Democratic,"15,286",98.6
2016,13th Suffolk,Daniel J. Hunt,Democratic,"14,507",98.4
2016,14th Suffolk,Angelo M. Scaccia,Democratic,"15,784",98.4
2016,15th Suffolk,Jeffrey Sanchez,Democratic,"15,675",98.9
2016,16th Suffolk,Roselee Vincent,Democratic,"11,220",98.6
2016,17th Suffolk,Kevin G. Honan,Democratic,"13,367",98.6
2016,18th Suffolk,Michael J. Moran,Democratic,"10,714",98.6
2016,19th Suffolk,Robert A. DeLeo,Democratic,"13,000",98.2
2016,1st Worcester,Kimberly N. Ferguson,Republican,"20,065",99.3
2016,2nd Worcester,Jonathan D. Zlotnik,Democratic,"14,470",99.0
2016,3rd Worcester,Stephan Hay,Democratic,"4,613",50.5
2016,3rd Worcester,Stephan Hay,Democratic,"13,498",99.5
2016,4th Worcester,Natalie Higgins,Democratic,"10,382",55.1
2016,5th Worcester,"Donald R. Berthiaume, Jr",Republican,"17,133",99.5
2016,6th Worcester,Peter J. Durant,Republican,"15,106",98.5
2016,7th Worcester,Paul K. Frost,Republican,"13,691",66.3
2016,8th Worcester,Kevin J. Kuros,Republican,"17,436",98.8
2016,9th Worcester,"David K. Muradian, Jr",Republican,"18,513",99.6
2016,10th Worcester,Brian W. Murray,Democratic,"11,869",54.9
2016,11th Worcester,Hannah E. Kane,Republican,"17,835",98.1
2016,12th Worcester,"Harold P. Naughton, Jr.",Democratic,"15,976",79.8
2016,13th Worcester,"John J. Mahoney, Jr.",Democratic,"12,943",98.0
2016,14th Worcester,James J. O'Day,Democratic,"13,360",98.1
2016,15th Worcester,Mary S. Keefe,Democratic,"8,039",78.2
2016,16th Worcester,Daniel M. Donahue,Democratic,"7,783",67.0
2016,17th Worcester,Kate D. Campanale,Republican,"8,011",54.4
2016,18th Worcester,Joseph D. Mckenna,Republican,"16,504",99.0
2015,1st Suffolk,Adrian C. Madaro,Democratic,"1,749",89.8
2015,11th Worcester,Hannah E. Kane,Republican,"4,028",51.8
2014,1st Barnstable,Timothy R. Whelan,Republican,"10,170",52.0
2014,2nd Barnstable,Brian R. Mannal,Democratic,"7,801",50.6
2014,3rd Barnstable,David T. Vieira,Republican,"12,681",99.1
2014,4th Barnstable,Sarah K. Peake,Democratic,"16,292",99.1
2014,5th Barnstable,Randy Hunt,Republican,"10,309",62.7
2014,"Barnstable, Dukes and Nantucket",Timothy R. Madden,Democratic,"13,452",99.3
2014,1st Berkshire,Gailanne M. Cariddi,Democratic,"9,251",99.7
2014,2nd Berkshire,Paul W. Mark,Democratic,"10,816",99.7
2014,3rd Berkshire,Tricia Farley-Bouvier,Democratic,"8,079",99.4
2014,4th Berkshire,"William ""Smitty"" Pignatelli",Democratic,"12,408",99.0
2014,1st Bristol,Fred Jay Barrows,Republican,"10,843",99.8
2014,2nd Bristol,Paul R. Heroux,Democratic,"6,621",60.9
2014,3rd Bristol,Shaunna L. O'Connell,Republican,"6,824",61.3
2014,4th Bristol,Steven S. Howitt,Republican,"9,424",98.9
2014,5th Bristol,Patricia A. Haddad,Democratic,"9,447",98.9
2014,6th Bristol,Carole A. Fiola,Democratic,"5,369",59.4
2014,7th Bristol,Alan Silvia,Democratic,"5,151",99.4
2014,8th Bristol,"Paul Schmid, A. Lll",Democratic,"8,334",99.3
2014,9th Bristol,Christopher M. Markey,Democratic,"6,977",66.7
2014,10th Bristol,William M. Straus,Democratic,"8,668",65.5
