,city_town,senate_district
130,heath,"['Berkshire, Hampshire, Franklin & Hampden']"
131,hingham,['Plymouth and Norfolk']
132,hinsdale,"['Berkshire, Hampshire, Franklin & Hampden']"
133,holbrook,['Norfolk and Plymouth']
134,holden,['First Worcester']
135,holland,"['Worcester, Hampden, Hampshire and Middlesex']"
136,holliston,['Second Middlesex and Norfolk']
137,holyoke,['Second Hampden and Hampshire']
138,hopedale,['Worcester and Norfolk']
139,hopkinton,['Second Middlesex and Norfolk']
140,hubbardston,"['Worcester, Hampden, Hampshire and Middlesex']"
141,hudson,['Middlesex and Worcester']
142,hull,['Plymouth and Norfolk']
143,huntington,"['Berkshire, Hampshire, Franklin & Hampden']"
144,ipswich,['First Essex and Middlesex']
145,kingston,['Plymouth and Barnstable']
146,lakeville,['First Bristol and Plymouth']
147,lancaster,['Worcester and Middlesex']
148,lanesborough,"['Berkshire, Hampshire, Franklin & Hampden']"
149,lawrence,['Second Essex and Middlesex']
150,lee,"['Berkshire, Hampshire, Franklin & Hampden']"
151,leicester,['Second Worcester']
152,lenox,"['Berkshire, Hampshire, Franklin & Hampden']"
153,leominster,['Worcester and Middlesex']
154,leverett,"['Hampshire, Franklin and Worcester']"
155,lexington,"['Third Middlesex', 'Fourth Middlesex']"
156,leyden,"['Hampshire, Franklin and Worcester']"
157,lincoln,['Third Middlesex']
158,littleton,['Middlesex and Worcester']
159,longmeadow,['First Hampden and Hampshire']
160,lowell,['First Middlesex']
161,ludlow,['First Hampden and Hampshire']
162,lunenburg,['Worcester and Middlesex']
163,lynn,['Third Essex']
164,lynnfield,['Third Essex']
165,malden,['Fifth Middlesex']
166,manchester-by-the-sea,['First Essex and Middlesex']
167,mansfield,['Bristol and Norfolk']
168,marblehead,['Third Essex']
169,marion,['First Plymouth and Bristol']
170,marlborough,['Middlesex and Worcester']
171,marshfield,['Plymouth and Norfolk']
172,mashpee,['Cape and Islands']
173,mattapoisett,['Second Bristol and Plymouth']
174,maynard,['Middlesex and Worcester']
175,medfield,['Bristol and Norfolk']
176,medford,['Second Middlesex']
177,medway,['Second Middlesex and Norfolk']
178,melrose,['Fifth Middlesex']
179,mendon,['Worcester and Norfolk']
180,merrimac,['First Essex']
181,methuen,['First Essex']
182,middleborough,['First Plymouth and Bristol']
183,middlefield,"['Berkshire, Hampshire, Franklin & Hampden']"
184,middleton,['First Essex and Middlesex']
185,milford,['Worcester and Norfolk']
186,millbury,['Second Worcester']
187,millis,"['Norfolk, Bristol and Middlesex']"
188,millville,['Worcester and Norfolk']
189,milton,"['Norfolk, Bristol and Plymouth']"
190,monroe,"['Berkshire, Hampshire, Franklin & Hampden']"
191,monson,"['Worcester, Hampden, Hampshire and Middlesex']"
192,montague,"['Hampshire, Franklin and Worcester']"
193,monterey,"['Berkshire, Hampshire, Franklin & Hampden']"
194,montgomery,['Second Hampden and Hampshire']
195,mount washington,"['Berkshire, Hampshire, Franklin & Hampden']"
196,nahant,['Third Essex']
197,nan,['First Essex and Middlesex']
198,nantucket,['Cape and Islands']
199,natick,"['Second Middlesex and Norfolk', 'Norfolk, Bristol and Middlesex']"
200,needham,"['Norfolk, Bristol and Middlesex', 'Norfolk and Suffolk']"
201,new ashford,"['Berkshire, Hampshire, Franklin & Hampden']"
202,new bedford,['Second Bristol and Plymouth']
203,new braintree,"['Worcester, Hampden, Hampshire and Middlesex']"
204,new marlborough,"['Berkshire, Hampshire, Franklin & Hampden']"
205,new salem,"['Hampshire, Franklin and Worcester']"
206,newbury,['First Essex and Middlesex']
207,newburyport,['First Essex']
208,newton,['First Middlesex and Norfolk']
209,norfolk,"['Norfolk, Bristol and Middlesex']"
210,norfolk and suffolk,[nan]
211,north adams,"['Berkshire, Hampshire, Franklin & Hampden']"
212,north andover,"['First Essex', 'First Essex and Middlesex']"
213,north attleborough,"['Norfolk, Bristol and Middlesex']"
214,north brookfield,"['Worcester, Hampden, Hampshire and Middlesex']"
