GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
610U200US25048,25048,"First Plymouth & Bristol District (2010), Massachusetts",62215,760,2841,397,2864,452,2282,333,2690,341,2163,365,2662,331,2177,341,2783,388,2965,411,5087,572,5942,475,9486,536,7798,645,4517,484,4024,365,1934,259
610U200US25049,25049,"Second Plymouth & Bristol District (2010), Massachusetts",54986,815,3294,366,3073,413,2473,358,2298,286,2271,313,2516,351,2116,266,2003,279,2265,347,3938,397,5665,546,9111,662,5093,421,3361,392,3411,386,2098,278
610U200US25050,25050,"Plymouth & Norfolk District (2010), Massachusetts",62970,679,2183,351,1884,289,1826,270,2057,307,2051,334,2077,292,2352,334,2079,283,1950,288,4122,435,5853,444,7726,600,7131,630,5286,414,6027,484,8366,529
610U200US25051,25051,"First Suffolk District (2010), Massachusetts",61926,843,7312,560,3897,385,3600,399,2841,293,2510,324,3055,398,2523,379,2682,382,2508,330,4339,504,5261,479,7605,611,4851,476,3260,421,3408,412,2274,356
610U200US25052,25052,"Second Suffolk District (2010), Massachusetts",76243,960,12969,816,5904,613,4050,468,3009,366,2796,378,2988,390,2747,378,3193,342,2177,320,4273,428,5721,570,7355,568,4858,514,3336,340,3928,433,6939,498
610U200US25053,25053,"First Suffolk & Middlesex District (2010), Massachusetts",70846,921,6363,601,4091,462,3394,338,3152,441,3066,403,3025,386,2959,399,2972,447,2354,326,5735,538,6389,462,8804,616,6140,546,4078,420,3665,385,4659,397
610U200US25054,25054,"Suffolk & Norfolk District (2010), Massachusetts",60078,663,3046,349,2899,436,2369,429,2060,354,1925,301,2258,284,1941,319,2136,311,1974,288,4489,345,5940,493,8013,467,6573,468,4719,391,5252,483,4484,368
610U200US25055,25055,"First Worcester District (2010), Massachusetts",63083,817,5258,474,3531,478,3145,410,2928,343,2460,326,2697,416,2784,339,2606,333,2284,316,4254,397,6247,574,7727,515,5956,482,4142,386,3852,320,3212,282
610U200US25056,25056,"Second Worcester District (2010), Massachusetts",65078,742,3610,478,3209,374,2598,363,3034,458,2521,372,2593,339,2508,365,2924,418,2432,377,5166,493,6403,653,9305,575,6380,553,4479,499,4700,468,3216,324
610U200US25057,25057,"Worcester, Hampden, Hampshire & Franklin District (2010); Massachusetts",62921,665,3058,355,3128,359,2815,338,2634,359,2284,289,2935,403,2718,315,2301,335,2627,369,5247,459,6553,535,9579,654,7248,560,4132,350,3626,379,2036,276
610U200US25058,25058,"Worcester & Middlesex District (2010), Massachusetts",59260,740,3797,470,3001,340,2868,407,2650,389,2537,336,2594,360,2561,377,2156,315,1993,278,4279,472,6649,511,8593,524,5986,483,3970,401,3497,435,2129,257
610U200US25059,25059,"Worcester & Norfolk District (2010), Massachusetts",65052,667,2582,297,2854,344,2877,358,2238,334,2660,371,2954,360,2021,283,2731,411,2476,342,4432,429,6708,483,9936,617,7758,523,4635,441,4990,473,3200,364
