,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,610U200US25020,25020,"Berkshire, Hampshire & Franklin",63042,627,4622,384,4161,405,3522,357,3513,399,3031,318,3619,394,2894,343,3334,373,2503,273,5129,423,7187,475,8251,435,4703,343,2349,326,2285,223,1939,244
1,610U200US25021,25021,First Bristol & Plymouth,65690,799,5645,527,5154,562,3928,394,3982,389,3063,414,3297,462,3305,373,2646,393,2365,291,5367,518,6133,453,8383,532,5566,489,3057,296,2282,284,1517,222
2,610U200US25022,25022,Second Bristol & Plymouth,63593,1069,6374,555,5314,391,4494,366,3791,381,2781,279,2936,360,2691,321,2641,339,2801,318,4841,504,6472,537,7898,451,4431,384,2432,284,2384,347,1312,219
3,610U200US25023,25023,Cape & Islands,72921,1019,3898,507,3141,432,3084,411,3416,407,3477,403,3915,453,3419,434,4284,466,2867,342,6132,494,7938,484,10340,769,6305,535,3528,449,3498,379,3679,328
4,610U200US25024,25024,First Essex,65965,781,3334,363,3326,436,2678,324,2734,381,2351,302,2893,348,2511,330,2560,315,2403,352,4960,434,6686,563,9018,559,7488,584,4660,384,4690,490,3673,377
5,610U200US25025,25025,Second Essex,65607,962,3804,395,3505,417,2562,359,2672,375,2551,328,2852,348,2142,302,2204,327,2452,373,5166,479,7193,550,8891,530,6748,533,4570,386,4691,404,3604,384
6,610U200US25026,25026,Third Essex & Middlesex,59283,844,5692,502,3580,400,2449,358,2490,381,2649,344,2697,334,2550,331,2176,354,2466,363,4235,419,5179,447,7331,478,5376,445,3399,384,3248,286,3766,375
7,610U200US25027,25027,First Essex & Middlesex,61876,709,2006,334,2106,293,2141,338,1928,270,1806,275,2477,385,1627,297,1977,259,1780,277,3922,410,5287,408,8856,584,7530,501,5165,426,6341,472,6927,495
8,610U200US25028,25028,Second Essex & Middlesex,59803,861,5625,543,3482,402,3199,389,2697,432,2886,370,2082,323,1671,282,2521,324,2030,335,4308,439,6071,547,6677,518,5560,468,3520,384,3810,376,3664,332
9,610U200US25029,25029,Hampden,59860,856,8279,698,5339,529,4513,439,3561,397,3375,397,3082,373,2606,385,2680,354,2112,336,4498,437,5381,517,7178,561,3544,361,1758,237,1201,202,753,160
