,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L200US25060,25060,First Barnstable District ,17710,435,1054,267,695,185,827,197,804,182,1099,200,819,199,815,206,923,202,749,193,1630,266,1919,319,2272,255,1866,287,788,201,874,174,576,134
1,620L200US25061,25061,Second Barnstable District ,17827,710,1426,374,1015,295,852,202,843,178,991,252,970,247,1033,253,1057,243,796,232,1419,254,2003,322,2133,315,1485,259,675,159,622,171,507,141
2,620L200US25062,25062,Third Barnstable District ,17343,579,676,154,576,176,796,192,720,173,495,114,712,210,878,261,928,220,862,173,1432,250,2020,302,2716,339,1638,275,991,210,958,212,945,166
4,620L200US25064,25064,"Barnstable, Dukes & Nantucket District ",15715,589,853,227,806,169,647,214,674,155,643,150,600,167,459,149,509,156,446,139,1046,225,1326,258,2692,388,1368,246,1166,246,1155,199,1325,194
8,620L200US25068,25068,Fourth Berkshire District ,15325,400,852,168,660,162,948,195,685,146,761,174,736,175,715,158,768,168,655,159,1379,227,1539,248,2093,267,1316,169,733,167,757,167,728,148
9,620L200US25069,25069,First Bristol District ,14014,430,324,102,326,121,366,121,592,194,291,110,547,192,389,117,517,180,534,167,784,165,1367,265,1733,293,1824,309,1186,217,1699,254,1535,221
10,620L200US25070,25070,Second Bristol District ,15010,373,473,157,693,201,689,197,657,185,431,117,509,140,567,184,789,230,801,228,1482,294,1697,297,2018,268,1723,286,1067,228,967,193,447,120
11,620L200US25071,25071,Third Bristol District ,14809,394,786,196,947,244,712,186,840,207,684,172,839,215,599,178,680,218,739,215,1349,295,1500,245,1973,311,1367,238,773,178,717,171,304,115
12,620L200US25072,25072,Fourth Bristol District ,14990,333,335,111,521,140,458,139,479,140,598,194,492,134,588,188,584,150,456,125,1063,225,1648,269,2054,259,1761,238,1894,268,1035,193,1024,216
20,620L200US25080,25080,Twelfth Bristol District ,15255,430,1163,222,1032,211,764,183,776,204,804,193,883,211,622,164,469,154,845,195,1473,300,1427,243,1646,272,1556,220,735,178,717,157,343,112
22,620L200US25082,25082,Fourteenth Bristol District ,16196,464,418,158,655,169,455,156,579,196,695,209,522,150,500,152,537,141,760,237,1362,271,1272,262,2498,363,2069,268,1343,239,1675,277,856,181
23,620L200US25083,25083,First Essex District ,17476,345,791,169,716,162,613,149,614,151,558,159,530,149,692,184,493,151,643,174,1140,189,1764,252,2426,273,1821,246,1657,258,1649,248,1369,190
24,620L200US25084,25084,Second Essex District ,15640,391,383,121,558,174,479,144,500,140,272,116,520,149,550,150,393,135,311,136,1059,222,1532,210,2240,341,1970,247,1664,235,1650,238,1559,285
26,620L200US25086,25086,Fourth Essex District ,14340,440,464,127,538,180,412,126,321,94,312,93,430,119,410,129,386,131,262,92,821,183,1044,167,1707,288,1815,259,1245,219,1849,281,2324,282
