,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L200US25060,25060,First Barnstable District ,17949,434,979,255,581,150,782,198,791,175,1186,225,959,203,731,193,1288,240,770,173,1776,248,2020,286,2182,308,1769,289,830,236,744,166,561,119
1,620L200US25061,25061,Second Barnstable District ,18054,486,1410,307,896,196,836,191,807,194,1028,225,1258,329,1090,254,970,253,689,200,1479,259,1996,299,2439,370,1399,315,619,151,575,189,563,164
2,620L200US25062,25062,Third Barnstable District ,17442,534,654,177,618,159,622,179,806,194,425,124,892,226,764,225,957,228,718,160,1436,222,2358,287,2705,304,1724,238,932,213,872,188,959,179
4,620L200US25064,25064,"Barnstable, Dukes & Nantucket District ",15660,560,886,218,649,160,689,184,783,186,600,151,581,166,568,170,547,153,549,157,1013,193,1605,326,2264,279,1294,186,1215,251,1036,216,1381,191
8,620L200US25068,25068,Fourth Berkshire District ,15877,450,757,145,828,205,998,217,758,189,782,192,693,191,736,159,939,190,574,160,1526,244,1599,214,2396,274,1286,201,628,141,787,155,590,139
9,620L200US25069,25069,First Bristol District ,14015,384,284,123,295,107,403,146,544,191,331,127,516,183,469,142,322,110,460,163,989,209,1141,213,1917,265,1820,266,1473,228,1708,223,1343,200
10,620L200US25070,25070,Second Bristol District ,14973,383,546,129,700,196,516,167,541,132,477,139,698,154,598,172,641,195,767,184,1501,269,1647,268,2135,280,1785,270,1048,217,928,193,445,137
11,620L200US25071,25071,Third Bristol District ,14930,414,890,195,816,193,909,209,771,204,625,178,793,217,528,126,828,244,808,183,1234,243,1761,280,1864,254,1417,252,741,192,699,177,246,84
12,620L200US25072,25072,Fourth Bristol District ,14922,359,400,98,485,146,483,141,451,142,460,156,647,153,446,156,545,152,466,131,1350,240,1484,203,2259,314,1974,275,1558,241,941,203,973,213
20,620L200US25080,25080,Twelfth Bristol District ,15078,469,1326,233,1005,190,857,213,880,238,685,141,695,181,702,179,467,140,859,192,1380,280,1413,241,1925,303,1347,248,673,184,567,160,297,104
22,620L200US25082,25082,Fourteenth Bristol District ,16450,418,463,156,721,194,472,165,537,186,608,180,590,183,600,185,576,141,810,232,1277,249,1625,308,2595,293,2155,299,1227,234,1453,229,741,185
23,620L200US25083,25083,First Essex District ,17523,313,856,179,834,202,638,143,585,144,574,165,633,167,712,191,601,158,635,169,1217,179,1830,265,2348,280,1889,271,1436,229,1471,248,1264,197
24,620L200US25084,25084,Second Essex District ,15101,328,331,119,512,149,490,164,306,109,328,105,512,130,474,126,491,159,463,163,1027,208,1484,273,2085,286,2131,291,1546,243,1425,237,1496,237
26,620L200US25086,25086,Fourth Essex District ,14472,437,571,157,484,129,478,121,405,131,379,120,638,193,459,162,318,100,272,114,839,169,1086,207,1599,254,2025,279,1070,167,1681,243,2168,239
27,620L200US25087,25087,Fifth Essex District ,16588,388,832,213,820,191,771,199,755,166,626,173,1075,255,548,160,593,122,608,175,1235,208,1687,255,2296,269,1696,240,1059,209,985,195,1002,182
31,620L200US25091,25091,Ninth Essex District ,15509,393,695,161,583,163,456,154,480,144,646,156,506,179,555,183,469,149,660,173,846,178,1708,270,2185,324,1858,293,1464,265,1497,249,901,191
35,620L200US25095,25095,Thirteenth Essex District ,14787,359,425,144,419,136,519,178,477,157,498,153,428,131,325,118,360,114,462,142,1067,250,1556,240,2210,295,1997,272,1009,179,1515,233,1520,283
36,620L200US25096,25096,Fourteenth Essex District ,15292,465,1438,342,820,197,785,196,715,197,767,208,658,194,545,147,513,168,732,201,1354,280,1738,254,1774,320,970,200,653,135,843,176,987,174
42,620L200US25102,25102,First Hampden District ,17009,355,983,231,766,181,808,218,868,192,615,156,774,161,868,203,901,191,574,164,1365,248,1764,277,2541,326,1978,265,873,183,776,152,555,129
44,620L200US25104,25104,Third Hampden District ,16494,347,738,187,903,232,617,159,655,170,625,173,686,154,600,189,750,201,663,178,1382,270,1975,283,2909,330,1719,229,1045,191,745,171,482,160
45,620L200US25105,25105,Fourth Hampden District ,15270,517,1354,277,969,191,896,227,819,205,729,235,705,196,607,140,662,126,614,153,1297,258,1392,226,2039,244,1254,188,710,128,704,156,519,116
46,620L200US25106,25106,Fifth Hampden District ,16108,502,3166,394,1760,308,1088,280,1086,264,735,188,597,178,702,183,904,199,663,186,1189,212,1154,236,1482,264,819,190,372,125,262,79,129,82
49,620L200US25109,25109,Eighth Hampden District ,15924,452,1406,290,1198,246,1243,271,1043,229,829,215,855,233,1013,228,795,182,816,169,1218,251,1749,288,1724,243,1257,196,437,114,209,86,132,70
54,620L200US25114,25114,Eighteenth Essex District ,14803,417,183,74,349,117,391,127,369,94,448,133,487,125,343,108,491,146,540,163,928,189,1394,234,1810,236,1591,201,1232,172,1759,274,2488,235
55,620L200US25115,25115,First Hampshire District ,16439,418,1216,216,859,216,700,141,620,136,689,186,871,219,689,155,914,191,671,145,1153,224,1831,244,2109,227,1639,265,862,165,758,150,858,157
56,620L200US25116,25116,Second Hampshire District ,16193,407,805,206,956,229,593,128,602,149,657,194,739,173,877,196,779,190,662,161,1473,206,1592,232,3204,361,1569,253,680,138,597,168,408,105
58,620L200US25118,25118,First Middlesex District ,14757,468,388,135,647,196,430,135,280,93,281,93,420,117,422,149,531,162,443,159,1149,223,1449,222,2242,293,1605,204,1545,249,1498,243,1427,212
62,620L200US25122,25122,Fifth Middlesex District ,15243,316,463,151,572,159,385,122,330,118,390,123,392,106,510,167,603,171,364,121,1057,206,1273,252,2086,293,1928,278,1490,233,1460,227,1940,247
70,620L200US25130,25130,Thirteenth Middlesex District ,12580,217,264,100,179,74,102,58,146,59,168,87,221,82,258,87,186,80,230,87,574,153,859,178,1120,206,1203,187,1357,228,1818,195,3895,303
76,620L200US25136,25136,Nineteenth Middlesex District ,13720,383,271,114,385,122,426,133,485,168,343,107,382,116,263,90,778,167,424,143,813,175,1222,202,2317,273,1868,271,1394,224,1692,185,657,163
77,620L200US25137,25137,Twentieth Middlesex District ,14792,369,264,108,322,132,332,133,379,101,404,128,313,122,326,109,379,131,305,110,895,188,1133,198,2389,326,1752,255,1575,252,1733,220,2291,222
