,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
78,620L200US25138,25138,Twenty-First Middlesex District ,15284,352,226,88,379,131,383,136,398,119,358,119,413,122,442,141,512,144,515,142,1160,224,1170,204,1957,272,2195,270,1521,226,1950,240,1705,268
79,620L200US25139,25139,Twenty-Second Middlesex District ,13567,322,246,93,254,112,331,132,246,105,299,121,395,131,342,138,540,150,472,111,834,179,1639,298,2615,302,2333,290,1288,199,1253,181,480,135
95,620L200US25155,25155,Eighteenth Worcester District ,16249,395,415,138,453,142,533,168,399,141,547,148,717,188,429,160,723,178,559,130,1074,234,1836,336,2780,352,2300,322,1303,234,1496,244,685,175
99,620L200US25159,25159,Third Norfolk District ,18158,450,1297,216,1123,218,907,249,995,231,775,192,755,230,667,183,740,202,582,175,1361,285,1980,369,2241,295,1865,272,1215,223,1154,247,501,166
100,620L200US25160,25160,Fourth Norfolk District ,16671,397,867,200,649,171,599,169,542,143,568,158,861,206,675,205,863,200,664,195,1463,245,1969,336,2639,320,1762,254,1114,190,861,184,575,165
105,620L200US25165,25165,Ninth Norfolk District ,13470,409,342,116,196,75,434,138,312,110,228,90,393,125,329,130,434,134,363,107,766,158,1230,264,1740,241,1788,275,1558,239,1559,232,1798,231
106,620L200US25166,25166,Tenth Norfolk District ,14224,285,604,179,286,108,263,104,356,126,486,152,441,152,293,105,362,125,378,126,853,187,1265,264,2198,211,1973,239,1277,199,1999,272,1190,221
109,620L200US25169,25169,Thirteenth Norfolk District ,14237,302,329,111,429,156,247,93,388,124,274,85,310,103,208,77,319,123,207,77,562,141,1145,193,1321,218,1671,241,995,174,1738,259,4094,324
110,620L200US25170,25170,Fourteenth Norfolk District ,13429,422,419,144,309,99,207,83,250,96,266,108,363,110,202,83,220,93,229,78,356,100,781,165,1092,187,1144,182,1163,189,1437,225,4991,316
112,620L200US25172,25172,First Plymouth District ,16641,404,689,201,605,213,583,191,429,124,528,136,704,179,451,158,555,162,468,128,1223,227,1874,281,2707,331,2247,295,1534,227,1188,212,856,196
113,620L200US25173,25173,Second Plymouth District ,17190,460,1158,286,749,210,778,190,658,174,691,184,702,186,828,198,931,192,659,206,1492,302,1732,281,2677,311,1819,268,1132,211,820,188,364,119
114,620L200US25174,25174,Third Plymouth District ,16447,417,620,206,389,139,464,133,523,152,447,136,526,138,677,183,485,144,395,106,813,180,1599,275,1776,273,1916,275,1419,200,1499,218,2899,268
115,620L200US25175,25175,Fourth Plymouth District ,15185,388,431,129,476,165,416,128,560,168,338,127,297,115,461,177,541,145,544,170,1196,264,1568,256,1925,310,1825,227,1356,229,1587,250,1664,227
116,620L200US25176,25176,Fifth Plymouth District ,15153,311,455,143,537,138,331,105,385,118,590,171,520,133,703,188,376,124,498,170,1095,252,1495,299,2136,310,2111,298,1270,235,1336,239,1315,195
117,620L200US25177,25177,Sixth Plymouth District ,14327,328,321,125,311,101,431,138,376,132,305,106,393,129,306,106,369,143,360,109,822,167,1683,251,2513,326,1979,277,1169,180,1546,218,1443,201
118,620L200US25178,25178,Seventh Plymouth District ,15802,295,658,200,547,133,536,177,496,144,410,162,479,148,369,108,703,175,627,200,1187,208,1739,209,2634,322,2340,310,1270,202,1289,212,518,135
119,620L200US25179,25179,Eighth Plymouth District ,13571,544,285,111,261,105,366,129,402,142,321,118,430,154,299,142,943,238,363,134,1041,260,1300,207,2406,284,2075,272,1002,157,1418,234,659,160
123,620L200US25183,25183,Twelfth Plymouth District ,16424,445,664,168,620,185,440,144,497,117,562,176,637,177,639,181,605,183,535,157,1229,202,1737,249,2451,294,1948,267,1225,233,1448,226,1187,194
143,620L200US25203,25203,First Worcester District ,16005,340,426,116,400,136,241,84,532,158,403,130,402,147,471,102,477,138,636,168,1103,192,1709,278,2470,270,2327,259,1872,237,1464,216,1072,184
147,620L200US25207,25207,Fifth Worcester District ,15802,452,779,180,917,199,699,182,636,153,631,141,656,146,395,122,596,110,772,237,1389,224,2022,242,2637,273,1679,199,801,166,691,148,502,142
148,620L200US25208,25208,Sixth Worcester District ,15627,381,768,170,748,164,798,162,741,187,525,153,775,197,597,141,612,153,668,179,1259,232,1864,228,2580,313,1588,218,976,182,738,145,390,108
149,620L200US25209,25209,Seventh Worcester District ,15328,370,473,150,723,147,359,124,851,209,497,137,703,183,736,201,490,139,483,154,1038,241,1634,270,2829,318,1991,227,1006,171,946,160,569,131
150,620L200US25210,25210,Eighth Worcester District ,16877,474,1023,249,1044,245,712,163,692,197,884,202,577,162,440,141,720,200,757,202,1512,274,2004,287,2599,262,1654,273,1121,232,755,184,383,123
151,620L200US25211,25211,Ninth Worcester District ,16704,353,341,117,677,149,584,149,510,154,366,112,462,150,464,147,616,183,656,162,1238,232,1280,206,2193,282,2013,283,1656,240,1852,234,1796,239
152,620L200US25212,25212,Tenth Worcester District ,14437,385,451,156,675,146,306,112,438,139,832,214,540,164,553,149,548,146,524,173,963,219,1226,230,2197,345,1816,261,1090,189,1197,221,1081,202
153,620L200US25213,25213,Eleventh Worcester District ,15477,357,306,100,340,108,493,161,487,164,302,123,487,142,540,179,514,123,598,146,930,200,1442,256,2510,303,1884,332,1433,277,1803,227,1408,211
159,620L200US25219,25219,Seventeenth Worcester District ,14285,417,1422,244,853,176,792,154,885,231,619,143,722,178,384,123,776,196,583,141,1131,227,1793,312,1667,216,1155,230,791,221,484,147,228,94
