,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
27,610U300US25028,25028,Second Suffolk & Middlesex,67005,795,8484,602,4063,381,2988,387,2429,287,2209,361,2007,280,1807,272,2137,309,1912,287,4208,390,5946,487,7782,525,5654,550,4158,466,5016,399,6205,377
28,610U300US25029,25029,First Middlesex & Norfolk,62734,676,3717,389,2043,371,1436,234,1618,277,1544,268,1322,246,1208,256,1258,236,1565,261,3081,340,3509,327,5904,484,6025,411,4803,404,6957,504,16744,561
29,610U300US25030,25030,Norfolk & Suffolk,61001,686,2750,292,2481,309,2335,341,1939,307,1653,273,2098,340,1628,280,2259,323,1939,273,3572,370,4944,451,7796,526,6532,511,4568,397,6537,457,7970,426
30,610U300US25031,25031,Bristol & Norfolk,56001,761,1495,251,1712,305,1809,268,1967,270,1478,251,1623,274,1639,334,1884,314,1790,240,3708,443,5015,498,7607,536,6906,480,5026,421,5706,508,6636,490
31,610U300US25032,25032,"Norfolk, Bristol & Plymouth",57293,771,1880,316,2174,309,2113,292,1973,322,1727,299,1778,292,1821,312,1762,287,1736,303,4138,459,4847,427,7534,440,6932,484,4656,430,6169,479,6053,381
32,610U300US25033,25033,Norfolk & Plymouth,65533,824,3548,444,2918,370,2578,355,2536,347,2805,374,3094,407,2484,295,2548,301,2554,379,5121,479,7068,569,9116,693,6844,553,4539,424,4760,447,3020,344
33,610U300US25034,25034,Plymouth & Norfolk,63574,648,2112,296,1990,279,1755,254,1878,282,1895,363,2728,371,2366,289,1837,227,1894,278,3995,386,5717,456,7633,618,7487,560,5338,436,6146,502,8803,589
34,610U300US25035,25035,Second Plymouth & Bristol,56018,700,3429,381,3234,409,2372,331,2492,335,2242,328,2509,348,2055,358,2404,320,2021,333,4232,416,5575,574,8525,587,5540,461,3349,308,3917,430,2122,279
35,610U300US25036,25036,First Plymouth & Bristol,62022,745,3200,378,3136,445,2344,337,2572,307,2239,348,2411,353,2354,372,2490,327,2894,427,4409,416,6249,563,9101,669,6976,517,4657,433,4130,355,2860,381
36,610U300US25037,25037,First Bristol & Plymouth,65718,783,5782,527,5441,526,4155,449,3483,386,3381,419,3356,381,2886,391,2567,314,2368,280,4364,391,6443,474,7686,598,5544,408,3369,338,2966,296,1927,253
37,610U300US25038,25038,Second Bristol & Plymouth,63450,854,5537,455,5604,627,4220,388,3696,344,3456,325,2947,385,2950,395,2579,386,2509,357,5161,526,5952,532,7246,478,4532,424,3115,376,2598,298,1348,246
38,610U300US25039,25039,Plymouth & Barnstable,62103,871,2197,289,2271,327,2429,358,2445,317,2201,352,2549,336,2265,360,2343,392,2301,349,4538,463,6101,472,9232,732,6861,515,4926,398,5419,532,4025,373
39,610U300US25040,25040,Cape & Islands,75697,1293,4117,436,4068,500,3247,403,3380,375,3532,427,3413,431,3304,404,3742,413,3321,355,5956,479,8272,676,10520,649,6972,607,4063,408,4200,462,3590,352
