city_town,Amount,house_district
medford,57200.299999999996,"['23rd Middlesex', '34th Middlesex', '35th Middlesex']"
medway,2700.0,"['10th Norfolk', '10th Worcester']"
melrose,16700.0,['32nd Middlesex']
mendon,4000.0,['10th Worcester']
merrimac,1200.0,['2nd Essex']
methuen,10243.89,"['14th Essex', '15th Essex', '17th Essex']"
middleborough,2000.0,"['12th Bristol', '2nd Plymouth', '12th Plymouth']"
middleton,12550.0,"['13th Essex', '20th Middlesex']"
milford,10950.0,['10th Worcester']
millbury,6125.0,['7th Worcester']
millis,1000.0,"['5th Middlesex', '9th Norfolk']"
milton,350179.44000000006,"['7th Norfolk', '12th Suffolk']"
monson,4000.0,['2nd Hampden']
nahant,6000.0,['11th Essex']
nantucket,6000.0,"['Barnstable, Dukes and Nantucket']"
natick,49521.020000000004,['5th Middlesex']
needham,65800.0,['13th Norfolk']
new bedford,80325.97,"['8th Bristol', '9th Bristol', '10th Bristol', '11th Bristol', '13th Bristol']"
newbury,3600.0,['2nd Essex']
newburyport,15115.799999999997,['1st Essex']
newton,582594.96,"['10th Middlesex', '11th Middlesex', '12th Middlesex']"
norfolk,9250.0,['9th Norfolk']
north adams,1400.0,['1st Berkshire']
north andover,15729.64,"['14th Essex', '18th Essex']"
north reading,17500.0,['20th Middlesex']
northampton,8050.0,['1st Hampshire']
northborough,10000.0,"['4th Middlesex', '12th Worcester']"
northbridge,24000.0,['9th Worcester']
norton,2000.0,"['1st Bristol', '4th Bristol']"
norwell,53800.0,['5th Plymouth']
norwood,435475.02999999997,['12th Norfolk']
orleans,5000.0,['4th Barnstable']
oxford,3000.0,"['7th Worcester', '18th Worcester']"
paxton,11850.0,['1st Worcester']
peabody,56000.0,"['12th Essex', '13th Essex']"
pembroke,19500.0,['6th Plymouth']
pepperell,11750.0,['1st Middlesex']
petersham,1807.42,['2nd Franklin']
pittsfield,32745.620000000003,"['2nd Berkshire', '3rd Berkshire']"
plymouth,84303.54000000001,"['5th Barnstable', '1st Plymouth', '12th Plymouth']"
plympton,1000.0,['12th Plymouth']
princeton,8250.0,['1st Worcester']
provincetown,9000.0,['4th Barnstable']
quincy,201302.09,"['1st Norfolk', '2nd Norfolk', '3rd Norfolk', '13th Suffolk']"
