,District,Amount
0,7th Plymouth,35825.0
1,14th Middlesex,229503.31
2,37th Middlesex,62786.73
3,11th Bristol,13624.02
4,3rd Hampden,8850.0
5,1st Essex,27647.03
6,3rd Hampshire,10850.0
7,17th Essex,78185.02
8,18th Essex,93791.12
9,23rd Middlesex,47544.09
10,24th Middlesex,261546.6
11,2nd Worcester,16992.11
12,1st Middlesex,146378.78
13,7th Middlesex,25966.67
14,2nd Franklin,17770.0
15,2nd Bristol,2878.07
16,14th Bristol,14544.73
17,7th Worcester,52530.0
18,6th Norfolk,157462.82
19,2nd Barnstable,67808.7
20,5th Barnstable,32666.67
21,5th Worcester,14500.0
22,21st Middlesex,115869.13
23,7th Hampden,47074.72
24,8th Worcester,12764.0
25,12th Bristol,24672.07
26,12th Worcester,31009.0
27,2nd Berkshire,17750.0
28,6th Essex,52025.0
29,22nd Middlesex,12572.0
30,3rd Middlesex,27997.0
31,1st Suffolk,240190.16
32,2nd Suffolk,244690.16
33,3rd Suffolk,240190.16
34,4th Suffolk,240190.16
35,5th Suffolk,240190.16
36,6th Suffolk,240190.16
37,7th Suffolk,240190.16
38,8th Suffolk,367519.76
39,9th Suffolk,240190.16
40,10th Suffolk,318677.66
41,11th Suffolk,240190.16
42,12th Suffolk,348190.16
43,13th Suffolk,284027.22
44,14th Suffolk,240190.16
45,15th Suffolk,318677.66
46,17th Suffolk,240190.16
47,18th Suffolk,318677.66
48,3rd Barnstable,33765.8
49,2nd Essex,45123.61
50,5th Norfolk,208560.89
51,1st Barnstable,82071.2
52,4th Barnstable,25728.5
53,8th Plymouth,30000.0
54,1st Hampden,23250.0
55,9th Plymouth,10618.33
56,10th Plymouth,21618.33
57,11th Plymouth,13368.33
58,15th Norfolk,78487.5
59,25th Middlesex,127329.6
60,26th Middlesex,160255.27
61,29th Middlesex,179975.3
62,2nd Plymouth,10410.39
63,16th Middlesex,101223.16
64,17th Middlesex,101223.16
65,16th Suffolk,34113.47
66,1st Franklin,5500.0
67,6th Hampden,81585.71
68,8th Hampden,3482.5
69,9th Hampden,26909.08
70,"Barnstable, Dukes and Nantucket",42304.2
71,3rd Plymouth,200000.0
72,13th Essex,59290.0
73,9th Bristol,93347.31
74,11th Norfolk,191371.25
75,18th Worcester,52000.0
76,13th Norfolk,215312.08
77,36th Middlesex,15975.0
78,6th Worcester,6250.0
79,6th Plymouth,58535.98
80,12th Plymouth,86460.24
81,2nd Hampden,74533.83
82,12th Hampden,52500.23
83,2nd Hampshire,20887.66
84,3rd Bristol,12511.68
85,5th Essex,32500.0
86,28th Middlesex,19000.0
87,10th Bristol,140562.85
88,6th Bristol,15391.88
89,7th Bristol,14891.88
90,8th Bristol,35515.91
91,3rd Worcester,11485.5
92,1st Bristol,26416.67
93,6th Middlesex,15666.67
94,13th Middlesex,165221.1
95,10th Norfolk,45962.06
96,9th Worcester,23000.0
97,4th Berkshire,64542.4
98,4th Essex,72000.0
99,1st Berkshire,11000.0
100,5th Plymouth,100262.28
101,1st Hampshire,9500.0
102,3rd Essex,5375.0
103,14th Essex,44268.89
104,15th Essex,17765.89
105,3rd Norfolk,62896.6
106,1st Worcester,50050.58
107,8th Middlesex,184130.49
108,5th Hampden,8000.0
109,10th Worcester,77076.31
110,16th Essex,7003.0
111,17th Worcester,36854.43
112,4th Worcester,21000.0
113,15th Middlesex,163439.15
114,9th Middlesex,84625.0
115,18th Middlesex,23594.38
116,8th Essex,230651.77
117,9th Essex,95216.76
118,10th Essex,47651.76
119,11th Essex,58651.76
120,20th Middlesex,125325.0
121,32nd Middlesex,105782.04
122,33rd Middlesex,9833.33
123,35th Middlesex,29791.43
124,8th Norfolk,84754.49
125,4th Middlesex,30221.1
126,4th Plymouth,63000.0
127,9th Norfolk,59625.0
128,34th Middlesex,52883.76
129,5th Middlesex,68750.0
130,7th Norfolk,116750.55
131,13th Bristol,11124.02
132,10th Middlesex,231570.68
133,11th Middlesex,125799.98
134,12th Middlesex,125799.98
135,4th Bristol,20500.0
136,12th Norfolk,92371.2
137,12th Essex,20800.0
138,3rd Berkshire,9250.0
139,1st Plymouth,16166.67
140,1st Norfolk,52587.61
141,2nd Norfolk,43837.06
142,30th Middlesex,42764.15
143,19th Suffolk,56613.47
144,7th Essex,29700.0
145,11th Worcester,77666.67
146,5th Bristol,20821.44
147,27th Middlesex,32925.67
148,10th Hampden,23426.58
149,11th Hampden,23426.58
150,31st Middlesex,387911.36
151,19th Middlesex,84594.13
152,14th Norfolk,520380.0
153,14th Worcester,35387.43
154,4th Hampden,18104.48
155,4th Norfolk,16809.54
156,13th Worcester,32854.43
157,15th Worcester,32854.43
158,16th Worcester,32854.43
