city_town,Amount,house_district
natick,1392.85,['5th Middlesex']
needham,5945.0,['13th Norfolk']
new bedford,17105.78,"['8th Bristol', '9th Bristol', '10th Bristol', '11th Bristol', '13th Bristol']"
new braintree,785.3,['5th Worcester']
newbury,1200.0,['2nd Essex']
newburyport,20523.02,['1st Essex']
newton,24439.65,"['10th Middlesex', '11th Middlesex', '12th Middlesex']"
norfolk,1450.0,['9th Norfolk']
north adams,3600.0,['1st Berkshire']
north andover,8371.64,"['14th Essex', '18th Essex']"
north reading,2882.83,['20th Middlesex']
northampton,6986.5,['1st Hampshire']
northborough,750.0,"['4th Middlesex', '12th Worcester']"
northbridge,5800.0,['9th Worcester']
norton,2345.7,"['1st Bristol', '4th Bristol']"
norwell,4363.6900000000005,['5th Plymouth']
norwood,3003.0,['12th Norfolk']
oak bluffs,964.0,"['Barnstable, Dukes and Nantucket']"
orange,2092.88,['2nd Franklin']
orleans,1200.0,['4th Barnstable']
oxford,2057.0,"['7th Worcester', '18th Worcester']"
paxton,3450.0,['1st Worcester']
peabody,7152.54,"['12th Essex', '13th Essex']"
pembroke,12435.0,['6th Plymouth']
pepperell,2350.0,['1st Middlesex']
petersham,1807.42,['2nd Franklin']
pittsfield,12414.87,"['2nd Berkshire', '3rd Berkshire']"
plainville,950.0,['9th Norfolk']
plymouth,7497.53,"['5th Barnstable', '1st Plymouth', '12th Plymouth']"
princeton,4500.0,['1st Worcester']
provincetown,2500.0,['4th Barnstable']
quincy,26966.47,"['1st Norfolk', '2nd Norfolk', '3rd Norfolk', '13th Suffolk']"
randolph,2042.0,"['1st Norfolk', '5th Norfolk', '7th Norfolk']"
raynham,2100.0,['8th Plymouth']
reading,2550.0,"['20th Middlesex', '30th Middlesex']"
rehoboth,1550.0,['4th Bristol']
revere,8075.0,"['16th Suffolk', '19th Suffolk']"
rochester,1500.0,['10th Bristol']
rockland,2011.63,['5th Plymouth']
rockport,3922.71,['5th Essex']
rowley,1564.31,"['2nd Essex', '4th Essex']"
salem,11362.5,['7th Essex']
sandwich,2811.0,['5th Barnstable']
saugus,5475.0,"['9th Essex', '16th Suffolk']"
scituate,2790.66,"['3rd Plymouth', '4th Plymouth']"
seekonk,3290.0,['4th Bristol']
sharon,900.0,['8th Norfolk']
shirley,1477.5700000000002,['37th Middlesex']
shrewsbury,10096.769999999999,['11th Worcester']
shutesbury,600.0,['1st Franklin']
somerset,8975.0,['5th Bristol']
somerville,11214.83,"['26th Middlesex', '27th Middlesex', '34th Middlesex']"
south hadley,9736.89,['2nd Hampshire']
southborough,7949.0,['8th Middlesex']
southbridge,1350.0,['6th Worcester']
southwick,1700.0,['3rd Hampden']
spencer,800.0,"['5th Worcester', '6th Worcester']"
springfield,34973.39,"['6th Hampden', '7th Hampden', '9th Hampden', '10th Hampden', '11th Hampden', '12th Hampden']"
stoneham,2549.86,['31st Middlesex']
stoughton,15990.919999999998,"['6th Norfolk', '8th Norfolk']"
sturbridge,800.0,['1st Hampden']
sudbury,3650.0,['13th Middlesex']
sutton,11222.189999999999,['18th Worcester']
swampscott,7350.0,['8th Essex']
swansea,4025.0,"['4th Bristol', '5th Bristol']"
taunton,11649.67,"['3rd Bristol', '5th Bristol', '12th Bristol']"
tewksbury,1625.0,['19th Middlesex']
topsfield,1980.48,['4th Essex']
townsend,750.0,['1st Middlesex']
truro,3070.0,['4th Barnstable']
upton,1500.0,['9th Worcester']
uxbridge,1333.13,['8th Worcester']
wakefield,2564.81,"['9th Essex', '32nd Middlesex']"
wales,750.0,['1st Hampden']
walpole,5107.0599999999995,"['8th Norfolk', '9th Norfolk', '11th Norfolk', '12th Norfolk']"
waltham,8885.869999999999,"['9th Middlesex', '10th Middlesex']"
wareham,2030.0,['2nd Plymouth']
watertown,3689.29,"['10th Middlesex', '29th Middlesex']"
wayland,7800.0,"['13th Middlesex', '14th Norfolk']"
webster,4700.0,['18th Worcester']
wellesley,7958.51,['14th Norfolk']
wellfleet,700.0,['4th Barnstable']
wenham,1500.0,['4th Essex']
west newbury,750.0,['2nd Essex']
west springfield,5295.0,['6th Hampden']
westborough,6300.0,"['4th Middlesex', '8th Middlesex', '11th Worcester']"
westfield,13364.0,['4th Hampden']
westford,1250.0,['1st Middlesex']
weston,5922.28,['14th Norfolk']
westport,6925.0,['8th Bristol']
westwood,4500.0,['11th Norfolk']
weymouth,9117.32,"['3rd Norfolk', '4th Norfolk']"
wilbraham,6712.0,['12th Hampden']
wilmington,4118.55,"['19th Middlesex', '21st Middlesex']"
winchester,9586.5,['31st Middlesex']
winthrop,6992.66,['19th Suffolk']
woburn,8907.97,"['15th Middlesex', '30th Middlesex']"
worcester,47091.24,"['13th Worcester', '14th Worcester', '15th Worcester', '16th Worcester', '17th Worcester']"
wrentham,2652.14,['9th Norfolk']
