,District,Amount
0,Norfolk & Plymouth,309890.67
1,Middlesex & Worcester,269017.13
2,Second Bristol & Plymouth,258532.24
3,Second Hampden & Hampshire,52236.81
4,First Essex,107819.71
5,"Hampshire, Franklin & Worcester",39162.66
6,Second Essex & Middlesex,172566.25
7,Fourth Middlesex,218622.3
8,"Worcester, Hampden, Hampshire & Middlesex",89512.11
9,Second Middlesex & Norfolk,249109.32
10,Bristol & Norfolk,166878.07
11,"Norfolk, Bristol & Middlesex",403599.38
12,Second Worcester,211416.08
13,"Norfolk, Bristol & Plymouth",554707.46
14,Cape & Islands,248178.39
15,Third Middlesex,954040.12
16,First Hampden & Hampshire,201946.19
17,Worcester & Norfolk,139514.0
18,Second Suffolk & Middlesex,892461.19
19,First Plymouth & Bristol,83766.22
20,Worcester & Middlesex,59503.5
21,Second Essex,166315.0
22,Middlesex & Suffolk,920754.79
23,Norfolk & Suffolk,1084254.88
24,First Suffolk,680538.79
25,Second Suffolk,680538.79
26,First Suffolk & Middlesex,964981.73
27,Plymouth & Barnstable,111334.16
28,First Essex & Middlesex,333936.87
29,First Worcester,124710.66
30,Second Plymouth & Bristol,93930.0
31,First Middlesex & Norfolk,785539.95
32,Second Middlesex,436767.28
33,"Berkshire, Hampshire, Franklin & Hampden",102478.4
34,Hampden,129599.7
35,Plymouth & Norfolk,425704.09
36,First Middlesex,123783.13
37,First Bristol & Plymouth,81485.41
38,Third Essex,483607.06
39,Fifth Middlesex,523675.07
