city_town,Amount,house_district
andover,104652.12999999999,"['17th Essex', '18th Essex']"
arlington,1000.0,"['23rd Middlesex', '24th Middlesex']"
ashland,1000.0,['7th Middlesex']
attleboro,2605.31,"['2nd Bristol', '14th Bristol']"
auburn,1200.0,['7th Worcester']
avon,5000.0,['6th Norfolk']
barnstable,14440.0,"['2nd Barnstable', '5th Barnstable']"
barre,10714.0,['5th Worcester']
belchertown,10000.0,"['2nd Franklin', '7th Hampden']"
belmont,11700.0,['24th Middlesex']
bernardston,2464.49,['2nd Berkshire']
beverly,12850.0,['6th Essex']
billerica,1572.0,['22nd Middlesex']
boston,1022235.4900000001,"['1st Suffolk', '2nd Suffolk', '3rd Suffolk', '4th Suffolk', '5th Suffolk', '6th Suffolk', '7th Suffolk', '8th Suffolk', '9th Suffolk', '10th Suffolk', '11th Suffolk', '12th Suffolk', '13th Suffolk', '14th Suffolk', '15th Suffolk', '17th Suffolk', '18th Suffolk']"
boxborough,1350.0,['37th Middlesex']
boylston,5022.68,['12th Worcester']
braintree,3614.45,['5th Norfolk']
brewster,1240.0,"['1st Barnstable', '4th Barnstable']"
bridgewater,1800.0,['8th Plymouth']
brockton,3289.65,"['9th Plymouth', '10th Plymouth', '11th Plymouth']"
brookline,40250.0,"['15th Norfolk', '10th Suffolk', '15th Suffolk', '18th Suffolk']"
burlington,4163.34,['21st Middlesex']
cambridge,109548.63,"['24th Middlesex', '25th Middlesex', '26th Middlesex', '29th Middlesex', '8th Suffolk']"
canton,16000.0,['6th Norfolk']
carver,557.4,['2nd Plymouth']
chatham,5175.4400000000005,['4th Barnstable']
chelmsford,15719.65,"['1st Middlesex', '14th Middlesex', '16th Middlesex', '17th Middlesex']"
chicopee,2590.0,"['6th Hampden', '7th Hampden', '8th Hampden', '9th Hampden']"
clinton,1000.0,['12th Worcester']
cohasset,7066.35,['3rd Plymouth']
concord,37204.74,['14th Middlesex']
danvers,4500.0,['13th Essex']
dartmouth,24881.85,['9th Bristol']
dedham,17918.76,['11th Norfolk']
dennis,520.0,['1st Barnstable']
dover,6978.15,['13th Norfolk']
duxbury,26844.18,"['6th Plymouth', '12th Plymouth']"
easthampton,7735.0,['2nd Hampshire']
everett,4669.0,['28th Middlesex']
fairhaven,6024.2,['10th Bristol']
fall river,53794.64,"['6th Bristol', '7th Bristol', '8th Bristol']"
falmouth,7458.9,"['3rd Barnstable', 'Barnstable, Dukes and Nantucket']"
fitchburg,10000.0,['3rd Worcester']
framingham,27515.760000000002,"['6th Middlesex', '7th Middlesex', '13th Middlesex']"
franklin,5576.1,['10th Norfolk']
gloucester,3750.0,['5th Essex']
grafton,3500.5,['9th Worcester']
granby,3709.33,"['2nd Hampshire', '3rd Hampshire']"
great barrington,2000.0,['4th Berkshire']
greenfield,27986.480000000003,['2nd Berkshire']
groton,1100.0,['1st Middlesex']
harvard,20000.0,['37th Middlesex']
harwich,25000.0,['4th Barnstable']
haverhill,2567.27,"['2nd Essex', '3rd Essex', '14th Essex', '15th Essex']"
hingham,12781.73,['3rd Plymouth']
holbrook,2080.0,"['3rd Norfolk', '5th Norfolk']"
holden,23810.79,['1st Worcester']
holliston,1000.0,['8th Middlesex']
holyoke,7207.61,['5th Hampden']
hopkinton,41985.009999999995,['8th Middlesex']
hull,544.62,['3rd Plymouth']
lakeville,18242.44,['12th Bristol']
lawrence,9891.0,"['14th Essex', '16th Essex', '17th Essex']"
leominster,3500.0,['4th Worcester']
lexington,67000.0,['15th Middlesex']
littleton,8298.92,['1st Middlesex']
longmeadow,77405.0,['2nd Hampden']
lowell,30339.050000000003,"['16th Middlesex', '17th Middlesex', '18th Middlesex']"
ludlow,9180.67,['7th Hampden']
lunenburg,1100.0,['3rd Worcester']
malden,23650.0,"['32nd Middlesex', '33rd Middlesex', '35th Middlesex']"
marblehead,5000.0,['8th Essex']
marlborough,21259.6,"['4th Middlesex', '13th Middlesex']"
marshfield,13750.0,['4th Plymouth']
medford,30374.159999999996,"['23rd Middlesex', '34th Middlesex', '35th Middlesex']"
medway,20488.57,"['10th Norfolk', '10th Worcester']"
methuen,59751.3,"['14th Essex', '15th Essex', '17th Essex']"
milford,2441.51,['10th Worcester']
millbury,2000.0,['7th Worcester']
milton,83332.53,"['7th Norfolk', '12th Suffolk']"
nantucket,5000.0,"['Barnstable, Dukes and Nantucket']"
needham,13714.829999999998,['13th Norfolk']
new bedford,54559.43,"['8th Bristol', '9th Bristol', '10th Bristol', '11th Bristol', '13th Bristol']"
newburyport,2868.66,['1st Essex']
newton,400065.02,"['10th Middlesex', '11th Middlesex', '12th Middlesex']"
norfolk,20729.49,['9th Norfolk']
north adams,5363.81,['1st Berkshire']
north andover,4657.76,"['14th Essex', '18th Essex']"
north reading,2500.0,['20th Middlesex']
northampton,3348.1099999999997,['1st Hampshire']
