city_town,Amount,house_district
abington,4500.0,['7th Plymouth']
acton,7573.47,"['14th Middlesex', '37th Middlesex']"
acushnet,5000.0,['11th Bristol']
amesbury,11300.0,['1st Essex']
amherst,37860.21000000001,['3rd Hampshire']
andover,354818.1,"['17th Essex', '18th Essex']"
arlington,23650.0,"['23rd Middlesex', '24th Middlesex']"
ashland,3100.0,['7th Middlesex']
athol,30800.0,['2nd Franklin']
attleboro,63385.01,"['2nd Bristol', '14th Bristol']"
auburn,5784.95,['7th Worcester']
avon,16000.0,['6th Norfolk']
barnstable,21503.11,"['2nd Barnstable', '5th Barnstable']"
barre,14800.0,['5th Worcester']
bedford,13500.0,['21st Middlesex']
bellingham,3500.0,['8th Worcester']
belmont,74059.09,['24th Middlesex']
berkley,5000.0,['12th Bristol']
beverly,20047.0,['6th Essex']
billerica,13362.0,['22nd Middlesex']
blackstone,28300.0,['8th Worcester']
boston,18261135.39,"['1st Suffolk', '2nd Suffolk', '3rd Suffolk', '4th Suffolk', '5th Suffolk', '6th Suffolk', '7th Suffolk', '8th Suffolk', '9th Suffolk', '10th Suffolk', '11th Suffolk', '12th Suffolk', '13th Suffolk', '14th Suffolk', '15th Suffolk', '17th Suffolk', '18th Suffolk']"
boxborough,1000.0,['37th Middlesex']
boxford,109500.0,"['2nd Essex', '18th Essex']"
boylston,27000.0,['12th Worcester']
braintree,74750.0,['5th Norfolk']
brewster,5182.88,"['1st Barnstable', '4th Barnstable']"
bridgewater,5724.21,['8th Plymouth']
brockton,28534.12,"['9th Plymouth', '10th Plymouth', '11th Plymouth']"
brookline,1810400.31,"['15th Norfolk', '10th Suffolk', '15th Suffolk', '18th Suffolk']"
burlington,1090299.92,['21st Middlesex']
cambridge,625951.1699999999,"['24th Middlesex', '25th Middlesex', '26th Middlesex', '29th Middlesex', '8th Suffolk']"
canton,768691.4600000001,['6th Norfolk']
carlisle,10500.0,['14th Middlesex']
carver,5000.0,['2nd Plymouth']
charlton,5727.42,['7th Worcester']
chatham,2000.0,['4th Barnstable']
chelmsford,4365.55,"['1st Middlesex', '14th Middlesex', '16th Middlesex', '17th Middlesex']"
chelsea,27505.19,"['2nd Suffolk', '16th Suffolk']"
chicopee,2000.0,"['6th Hampden', '7th Hampden', '8th Hampden', '9th Hampden']"
chilmark,6000.0,"['Barnstable, Dukes and Nantucket']"
clinton,10000.0,['12th Worcester']
cohasset,12160.0,['3rd Plymouth']
concord,84000.0,['14th Middlesex']
danvers,24700.0,['13th Essex']
dartmouth,33232.21000000001,['9th Bristol']
dedham,41330.5,['11th Norfolk']
deerfield,59071.69,['1st Franklin']
dennis,36123.97,['1st Barnstable']
dighton,58300.0,['5th Bristol']
dover,49500.0,['13th Norfolk']
dracut,11926.0,['36th Middlesex']
dudley,35180.81,['6th Worcester']
duxbury,4595.0,"['6th Plymouth', '12th Plymouth']"
east bridgewater,10550.73,"['7th Plymouth', '10th Plymouth']"
east longmeadow,59500.0,"['2nd Hampden', '12th Hampden']"
eastham,1000.0,['4th Barnstable']
easthampton,4805.17,['2nd Hampshire']
essex,9000.0,['5th Essex']
everett,12350.0,['28th Middlesex']
fairhaven,2867.0299999999997,['10th Bristol']
fall river,75629.19,"['6th Bristol', '7th Bristol', '8th Bristol']"
falmouth,8450.0,"['3rd Barnstable', 'Barnstable, Dukes and Nantucket']"
fitchburg,15250.0,['3rd Worcester']
foxborough,2550.0,['1st Bristol']
framingham,331446.52,"['6th Middlesex', '7th Middlesex', '13th Middlesex']"
franklin,20058.92,['10th Norfolk']
gardner,9674.89,['2nd Worcester']
georgetown,18375.0,['2nd Essex']
gloucester,35215.0,['5th Essex']
grafton,2000.0,['9th Worcester']
great barrington,1000.0,['4th Berkshire']
greenfield,8501.54,['2nd Berkshire']
groveland,6350.4400000000005,['2nd Essex']
halifax,7500.0,['12th Plymouth']
hampden,2000.0,['2nd Hampden']
hanover,2500.0,['5th Plymouth']
harvard,22000.0,['37th Middlesex']
harwich,16635.0,['4th Barnstable']
haverhill,46900.0,"['2nd Essex', '3rd Essex', '14th Essex', '15th Essex']"
hingham,54000.0,['3rd Plymouth']
holbrook,4375.0,"['3rd Norfolk', '5th Norfolk']"
holden,3975.0,['1st Worcester']
holliston,61581.83,['8th Middlesex']
holyoke,4800.0,['5th Hampden']
hopkinton,782772.22,['8th Middlesex']
hubbardston,14673.29,['5th Worcester']
hudson,3890.0,['3rd Middlesex']
hull,1000.0,['3rd Plymouth']
ipswich,5000.0,['4th Essex']
