,District,Amount
0,14th Middlesex,16943.44
1,37th Middlesex,4023.97
2,3rd Hampden,2343.0
3,3rd Hampshire,9598.4
4,17th Essex,17263.37
5,18th Essex,4013.01
6,23rd Middlesex,50921.27
7,24th Middlesex,111919.54
8,7th Middlesex,10333.33
9,2nd Bristol,5684.85
10,14th Bristol,7224.85
11,7th Worcester,5301.66
12,6th Norfolk,750012.33
13,1st Middlesex,32725.49
14,2nd Barnstable,9176.72
15,5th Barnstable,79069.74
16,21st Middlesex,62697.82
17,2nd Franklin,2000.0
18,7th Hampden,31992.74
19,6th Essex,3000.0
20,1st Suffolk,143171.25
21,2nd Suffolk,147231.6
22,3rd Suffolk,143171.25
23,4th Suffolk,143171.25
24,5th Suffolk,143171.25
25,6th Suffolk,143171.25
26,7th Suffolk,143171.25
27,8th Suffolk,186080.35
28,9th Suffolk,143171.25
29,10th Suffolk,190212.28
30,11th Suffolk,143171.25
31,12th Suffolk,158364.45
32,13th Suffolk,156632.25
33,14th Suffolk,143171.25
34,15th Suffolk,190212.28
35,17th Suffolk,143171.25
36,18th Suffolk,190212.28
37,3rd Barnstable,1205.0
38,12th Worcester,36209.91
39,5th Norfolk,35713.7
40,1st Barnstable,1375.0
41,4th Barnstable,157412.0
42,8th Plymouth,1900.0
43,9th Plymouth,10723.63
44,10th Plymouth,11223.63
45,11th Plymouth,10723.63
46,15th Norfolk,47041.03
47,25th Middlesex,42909.1
48,26th Middlesex,44692.43
49,29th Middlesex,58759.1
50,2nd Plymouth,1352.56
51,16th Middlesex,14176.03
52,17th Middlesex,14176.03
53,16th Suffolk,4410.35
54,6th Hampden,40250.24
55,8th Hampden,6707.25
56,9th Hampden,25870.24
57,3rd Plymouth,12977.15
58,13th Essex,25833.54
59,9th Bristol,39677.93
60,11th Norfolk,61997.93
61,5th Bristol,6150.0
62,13th Norfolk,68949.25
63,36th Middlesex,830.0
64,6th Worcester,7500.0
65,6th Plymouth,2544.97
66,12th Plymouth,15211.64
67,7th Plymouth,3121.42
68,2nd Hampden,38273.82
69,12th Hampden,56686.82
70,2nd Hampshire,12675.0
71,28th Middlesex,60810.04
72,10th Bristol,24327.77
73,6th Bristol,16594.45
74,7th Bristol,16594.45
75,8th Bristol,36923.75
76,"Barnstable, Dukes and Nantucket",875.0
77,3rd Worcester,2700.0
78,1st Bristol,64062.53
79,6th Middlesex,333.33
80,13th Middlesex,29220.51
81,10th Norfolk,20883.57
82,2nd Worcester,2600.0
83,5th Essex,9150.0
84,9th Worcester,7750.0
85,4th Berkshire,9978.0
86,5th Plymouth,2500.0
87,2nd Essex,12111.88
88,3rd Essex,1100.0
89,14th Essex,15350.35
90,15th Essex,4341.73
91,8th Middlesex,815804.15
92,5th Hampden,36630.36
93,16th Essex,10508.63
94,17th Worcester,17913.72
95,4th Worcester,29959.87
96,15th Middlesex,29827.47
97,9th Middlesex,92310.16
98,18th Middlesex,13808.49
99,8th Essex,32458.96
100,9th Essex,12808.96
101,10th Essex,12808.96
102,11th Essex,13448.96
103,20th Middlesex,11455.0
104,32nd Middlesex,18484.27
105,33rd Middlesex,18484.27
106,35th Middlesex,68280.54
107,4th Middlesex,28387.17
108,4th Plymouth,10500.0
109,9th Norfolk,7809.0
110,34th Middlesex,51579.6
111,10th Worcester,26573.57
112,7th Norfolk,16065.94
113,5th Middlesex,8000.0
114,11th Bristol,17029.3
115,13th Bristol,17029.3
116,1st Essex,4047.52
117,10th Middlesex,204458.18
118,11th Middlesex,136508.18
119,12th Middlesex,136508.18
120,1st Berkshire,3000.0
121,1st Hampshire,3491.08
122,4th Bristol,5562.53
123,12th Norfolk,1795.11
124,1st Hampden,1400.0
125,12th Essex,22733.54
126,2nd Berkshire,28760.37
127,3rd Berkshire,28760.37
128,1st Plymouth,12666.67
129,1st Norfolk,14333.75
130,2nd Norfolk,13461.0
131,3rd Norfolk,136231.15
132,30th Middlesex,15085.48
133,19th Suffolk,4450.0
134,7th Essex,27344.14
135,8th Norfolk,14962.81
136,11th Worcester,160453.88
137,27th Middlesex,1783.33
138,10th Hampden,19162.99
139,11th Hampden,19162.99
140,31st Middlesex,98675.0
141,18th Worcester,32113.82
142,3rd Bristol,400.0
143,12th Bristol,400.0
144,19th Middlesex,58839.79
145,4th Essex,10000.0
146,8th Worcester,3924.0
147,14th Norfolk,265666.94
148,14th Worcester,21164.72
149,4th Hampden,2500.0
150,4th Norfolk,122770.15
151,1st Franklin,1000.0
152,13th Worcester,16913.72
153,15th Worcester,16913.72
154,16th Worcester,16913.72
