,District,Amount
0,7th Plymouth,13374.75
1,14th Middlesex,191249.48
2,37th Middlesex,45850.01
3,1st Berkshire,74069.51
4,3rd Hampden,55213.71
5,1st Essex,230044.4
6,3rd Hampshire,8450.0
7,17th Essex,113699.81
8,18th Essex,113723.5
9,23rd Middlesex,25370.52
10,24th Middlesex,215281.24
11,2nd Worcester,17283.06
12,7th Middlesex,14666.67
13,2nd Franklin,40157.81
14,2nd Bristol,13750.18
15,14th Bristol,25135.69
16,7th Worcester,102014.0
17,6th Norfolk,377352.18
18,1st Middlesex,46183.49
19,2nd Barnstable,26273.64
20,5th Barnstable,55157.77
21,5th Worcester,3086.5
22,4th Berkshire,139069.9
23,21st Middlesex,124021.82
24,6th Essex,73520.93
25,22nd Middlesex,12572.0
26,3rd Middlesex,30300.0
27,1st Suffolk,728888.13
28,2nd Suffolk,739635.85
29,3rd Suffolk,728888.13
30,4th Suffolk,728888.13
31,5th Suffolk,728888.13
32,6th Suffolk,728888.13
33,7th Suffolk,728888.13
34,8th Suffolk,818920.6
35,9th Suffolk,728888.13
36,10th Suffolk,796554.38
37,11th Suffolk,728888.13
38,12th Suffolk,859451.86
39,13th Suffolk,889100.19
40,14th Suffolk,728888.13
41,15th Suffolk,796554.38
42,17th Suffolk,728888.13
43,18th Suffolk,796554.38
44,2nd Essex,7862.66
45,12th Worcester,12450.0
46,5th Norfolk,117821.37
47,1st Barnstable,44015.2
48,4th Barnstable,326044.86
49,8th Plymouth,24230.28
50,9th Plymouth,125141.0
51,10th Plymouth,127141.0
52,11th Plymouth,131761.0
53,15th Norfolk,67666.25
54,25th Middlesex,90032.47
55,26th Middlesex,184626.3
56,29th Middlesex,186406.73
57,2nd Plymouth,7387.73
58,2nd Berkshire,104895.26
59,16th Middlesex,49032.31
60,17th Middlesex,49032.31
61,16th Suffolk,38781.32
62,6th Hampden,616529.87
63,7th Hampden,47679.95
64,8th Hampden,10205.0
65,9th Hampden,36365.93
66,3rd Plymouth,120557.89
67,1st Franklin,14518.43
68,13th Essex,140379.77
69,9th Bristol,53306.36
70,11th Norfolk,149459.0
71,18th Worcester,25663.32
72,13th Norfolk,186672.66
73,36th Middlesex,5200.0
74,6th Worcester,9734.97
75,6th Plymouth,23064.35
76,12th Plymouth,130597.69
77,2nd Hampden,123581.11
78,12th Hampden,106410.93
79,2nd Hampshire,23780.0
80,3rd Bristol,53588.59
81,"Barnstable, Dukes and Nantucket",24130.57
82,5th Essex,46777.0
83,28th Middlesex,64201.07
84,10th Bristol,39770.14
85,6th Bristol,46901.37
86,7th Bristol,46901.37
87,8th Bristol,106657.72
88,3rd Barnstable,8872.64
89,3rd Worcester,5719.0
90,1st Bristol,48575.39
91,6th Middlesex,10666.67
92,13th Middlesex,89009.32
93,10th Norfolk,24960.3
94,9th Worcester,8960.08
95,4th Essex,14250.0
96,5th Plymouth,38676.55
97,3rd Essex,400.0
98,14th Essex,12574.81
99,15th Essex,3677.77
100,1st Worcester,110687.48
101,8th Middlesex,147986.37
102,5th Hampden,10845.33
103,10th Worcester,27432.4
104,12th Bristol,50668.59
105,16th Essex,3297.79
106,17th Worcester,282494.32
107,4th Worcester,12000.0
108,15th Middlesex,288377.57
109,9th Middlesex,175234.45
110,18th Middlesex,24882.83
111,8th Essex,78029.73
112,9th Essex,43135.75
113,10th Essex,4427.36
114,11th Essex,5927.36
115,20th Middlesex,37450.0
116,32nd Middlesex,109773.08
117,33rd Middlesex,41073.3
118,35th Middlesex,56097.04
119,8th Norfolk,474297.55
120,4th Middlesex,35942.65
121,4th Plymouth,97326.38
122,9th Norfolk,55096.5
123,34th Middlesex,109617.57
124,7th Norfolk,157686.63
125,5th Middlesex,82292.35
126,11th Bristol,11506.36
127,13th Bristol,11506.36
128,10th Middlesex,415536.48
129,11th Middlesex,173427.78
130,12th Middlesex,173427.78
131,1st Hampshire,13547.18
132,4th Bristol,21967.0
133,12th Norfolk,550916.12
134,1st Hampden,37981.5
135,12th Essex,21245.97
136,3rd Berkshire,47095.71
137,1st Plymouth,25073.33
138,1st Norfolk,187334.96
139,2nd Norfolk,160212.06
140,3rd Norfolk,165689.08
141,30th Middlesex,143327.57
142,19th Suffolk,97325.0
143,7th Essex,84662.78
144,11th Worcester,504990.26
145,5th Bristol,60268.59
146,27th Middlesex,94593.83
147,10th Hampden,26160.93
148,11th Hampden,26160.93
149,31st Middlesex,231766.37
150,19th Middlesex,39021.82
151,8th Worcester,41442.32
152,14th Norfolk,377359.9
153,14th Worcester,293760.32
154,4th Hampden,63907.16
155,4th Norfolk,5477.02
156,13th Worcester,275994.32
157,15th Worcester,275994.32
158,16th Worcester,275994.32
