city_town,Amount,senate_district
abington,12625.93,['Norfolk & Plymouth']
acton,12325.59,['Middlesex & Worcester']
acushnet,1000.0,['Second Bristol & Plymouth']
agawam,11778.79,['Second Hampden & Hampshire']
amesbury,20150.0,['First Essex']
amherst,35670.0,"['Hampshire, Franklin & Worcester']"
andover,162492.87,['Second Essex & Middlesex']
arlington,38670.14,['Fourth Middlesex']
ashburnham,2000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
ashfield,2000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
ashland,38974.369999999995,['Second Middlesex & Norfolk']
athol,1000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
attleboro,5000.0,"['Bristol & Norfolk', 'Norfolk, Bristol & Middlesex']"
auburn,13250.0,['Second Worcester']
avon,6500.0,"['Norfolk, Bristol & Plymouth']"
ayer,1000.0,['Middlesex & Worcester']
barnstable,2900.0,['Cape & Isl&s']
becket,1000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
bedford,328308.27,['Third Middlesex']
belchertown,9000.0,['First Hampden & Hampshire']
bellingham,5000.0,['Worcester & Norfolk']
belmont,135500.0,['Second Suffolk & Middlesex']
berkley,2000.0,['First Plymouth & Bristol']
beverly,148475.52000000002,['Second Essex']
billerica,25351.0,['Fourth Middlesex']
bolton,2000.0,['Worcester & Middlesex']
boston,15167483.66000001,"['Middlesex & Suffolk', 'Norfolk & Suffolk', 'First Suffolk', 'Second Suffolk', 'First Suffolk & Middlesex', 'Second Suffolk & Middlesex']"
bourne,2075.0,['Plymouth & Barnstable']
boxborough,3000.0,['Middlesex & Worcester']
boxford,29000.0,['First Essex & Middlesex']
boylston,7750.0,['First Worcester']
braintree,921463.09,"['Norfolk, Bristol & Plymouth', 'Norfolk & Plymouth']"
brewster,21295.63,['Cape & Isl&s']
bridgewater,10450.0,['First Plymouth & Bristol']
brockton,28943.870000000003,['Second Plymouth & Bristol']
brookline,855250.0,['First Middlesex & Norfolk']
buckland,3000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
burlington,204179.7,['Fourth Middlesex']
cambridge,2092276.21,"['Second Middlesex', 'Middlesex & Suffolk', 'First Suffolk & Middlesex']"
canton,76142.0,"['Norfolk, Bristol & Plymouth']"
carlisle,6350.0,['Third Middlesex']
carver,58550.0,['First Plymouth & Bristol']
charlton,6000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
chatham,9000.0,['Cape & Isl&s']
chelmsford,5569.5,['Third Middlesex']
chelsea,16000.0,['Middlesex & Suffolk']
chicopee,7533.75,"['Hampden', 'First Hampden & Hampshire', 'Second Hampden & Hampshire']"
clinton,7000.0,"['First Worcester', 'Worcester & Middlesex']"
cohasset,34592.44,['Plymouth & Norfolk']
concord,88021.31,['Third Middlesex']
conway,1000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
danvers,22500.0,['Second Essex']
dartmouth,2625.0,['Second Bristol & Plymouth']
dedham,95698.1,['Norfolk & Suffolk']
deerfield,1000.0,"['Hampshire, Franklin & Worcester']"
dennis,13000.0,['Cape & Isl&s']
dighton,6500.0,['First Plymouth & Bristol']
douglas,3000.0,['Worcester & Norfolk']
dover,769500.0,['Norfolk & Suffolk']
dracut,11700.0,['Second Essex & Middlesex']
dudley,11500.0,['Worcester & Norfolk']
dunstable,4000.0,['First Middlesex']
duxbury,65336.74,['Plymouth & Norfolk']
east bridgewater,11500.0,"['Norfolk, Bristol & Plymouth', 'Second Plymouth & Bristol']"
east longmeadow,45647.5,['First Hampden & Hampshire']
easton,4600.0,"['Norfolk, Bristol & Plymouth', 'Second Plymouth & Bristol']"
edgartown,41333.990000000005,['Cape & Isl&s']
