city_town,Amount,house_district
abington,2700.0,['7th Plymouth']
acton,54500.0,"['14th Middlesex', '37th Middlesex']"
adams,2061.8,['1st Berkshire']
agawam,3000.0,['3rd Hampden']
amesbury,4147.7,['1st Essex']
amherst,10000.0,['3rd Hampshire']
andover,76839.34,"['17th Essex', '18th Essex']"
arlington,33100.0,"['23rd Middlesex', '24th Middlesex']"
ashland,8600.0,['7th Middlesex']
athol,13701.25,['2nd Franklin']
attleboro,9761.669999999998,"['2nd Bristol', '14th Bristol']"
auburn,1300.0,['7th Worcester']
barnstable,5165.0,"['2nd Barnstable', '5th Barnstable']"
bedford,15600.0,['21st Middlesex']
belchertown,3000.0,"['2nd Franklin', '7th Hampden']"
bellingham,1780.0,['8th Worcester']
belmont,642684.52,['24th Middlesex']
bernardston,3000.0,['2nd Berkshire']
beverly,15600.0,['6th Essex']
billerica,572.0,['22nd Middlesex']
blackstone,12000.0,['8th Worcester']
bolton,1020.05,['3rd Middlesex']
boston,1553480.9500000002,"['1st Suffolk', '2nd Suffolk', '3rd Suffolk', '4th Suffolk', '5th Suffolk', '6th Suffolk', '7th Suffolk', '8th Suffolk', '9th Suffolk', '10th Suffolk', '11th Suffolk', '12th Suffolk', '13th Suffolk', '14th Suffolk', '15th Suffolk', '17th Suffolk', '18th Suffolk']"
bourne,4695.0,"['3rd Barnstable', '5th Barnstable']"
braintree,732548.77,['5th Norfolk']
brewster,675.0,"['1st Barnstable', '4th Barnstable']"
bridgewater,4300.0,['8th Plymouth']
brockton,15525.859999999999,"['9th Plymouth', '10th Plymouth', '11th Plymouth']"
brookline,24376.0,"['15th Norfolk', '10th Suffolk', '15th Suffolk', '18th Suffolk']"
burlington,17630.43,['21st Middlesex']
cambridge,93055.29000000001,"['24th Middlesex', '25th Middlesex', '26th Middlesex', '29th Middlesex', '8th Suffolk']"
canton,11650.0,['6th Norfolk']
carlisle,1000.0,['14th Middlesex']
charlton,24000.0,['7th Worcester']
chatham,1004.0,['4th Barnstable']
chelmsford,1170.0,"['1st Middlesex', '14th Middlesex', '16th Middlesex', '17th Middlesex']"
chicopee,22983.34,"['6th Hampden', '7th Hampden', '8th Hampden', '9th Hampden']"
cohasset,16675.0,['3rd Plymouth']
concord,66194.23999999999,['14th Middlesex']
danvers,6530.0,['13th Essex']
dartmouth,97187.94,['9th Bristol']
dedham,35046.25,['11th Norfolk']
deerfield,60000.0,['1st Franklin']
dennis,4233.0,['1st Barnstable']
dover,16656.35,['13th Norfolk']
dracut,1100.0,['36th Middlesex']
dudley,13010.0,['6th Worcester']
duxbury,10665.32,"['6th Plymouth', '12th Plymouth']"
easthampton,11680.0,['2nd Hampshire']
easton,6000.0,"['3rd Bristol', '11th Plymouth']"
everett,13258.93,['28th Middlesex']
fairhaven,8485.39,['10th Bristol']
fall river,74433.28,"['6th Bristol', '7th Bristol', '8th Bristol']"
falmouth,8566.85,"['3rd Barnstable', 'Barnstable, Dukes and Nantucket']"
fitchburg,3455.0,['3rd Worcester']
foxborough,1000.0,['1st Bristol']
framingham,7500.0,"['6th Middlesex', '7th Middlesex', '13th Middlesex']"
franklin,45852.92,['10th Norfolk']
gardner,17925.35,['2nd Worcester']
gloucester,18750.0,['5th Essex']
grafton,4500.0,['9th Worcester']
greenfield,9872.78,['2nd Berkshire']
hanson,1400.0,['6th Plymouth']
harvard,10000.0,['37th Middlesex']
hatfield,1000.0,['1st Hampshire']
haverhill,45638.01,"['2nd Essex', '3rd Essex', '14th Essex', '15th Essex']"
hingham,6500.0,['3rd Plymouth']
hinsdale,800.0,['2nd Berkshire']
holden,800.0,['1st Worcester']
holliston,19200.0,['8th Middlesex']
holyoke,13712.1,['5th Hampden']
hopkinton,52020.18,['8th Middlesex']
hull,2151.12,['3rd Plymouth']
kingston,1000.0,['12th Plymouth']
lawrence,40152.65,"['14th Essex', '16th Essex', '17th Essex']"
leominster,22168.65,['4th Worcester']
lexington,173541.85,['15th Middlesex']
lincoln,55000.0,['9th Middlesex']
longmeadow,38358.05,['2nd Hampden']
lowell,7502.54,"['16th Middlesex', '17th Middlesex', '18th Middlesex']"
ludlow,62202.17999999999,['7th Hampden']
lunenburg,1500.0,['3rd Worcester']
lynn,4948.28,"['8th Essex', '9th Essex', '10th Essex', '11th Essex']"
lynnfield,10000.0,['20th Middlesex']
malden,5000.0,"['32nd Middlesex', '33rd Middlesex', '35th Middlesex']"
mansfield,1500.0,"['1st Bristol', '14th Bristol', '8th Norfolk']"
marblehead,10000.0,['8th Essex']
marlborough,81142.84,"['4th Middlesex', '13th Middlesex']"
marshfield,4900.0,['4th Plymouth']
mashpee,1531.25,['3rd Barnstable']
medfield,573.84,"['9th Norfolk', '13th Norfolk']"
medford,30010.590000000004,"['23rd Middlesex', '34th Middlesex', '35th Middlesex']"
