city_town,Amount,senate_district
abington,16556.92,['Norfolk & Plymouth']
acton,9297.56,['Middlesex & Worcester']
acushnet,4525.0,['Second Bristol & Plymouth']
amesbury,4950.0,['First Essex']
amherst,52815.25,"['Hampshire, Franklin & Worcester']"
andover,82097.91,['Second Essex & Middlesex']
arlington,44213.44,['Fourth Middlesex']
ashburnham,3600.0,"['Worcester, Hampden, Hampshire & Middlesex']"
ashland,7891.13,['Second Middlesex & Norfolk']
athol,2000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
attleboro,4883.0,"['Bristol & Norfolk', 'Norfolk, Bristol & Middlesex']"
auburn,2700.0,['Second Worcester']
avon,15000.0,"['Norfolk, Bristol & Plymouth']"
barnstable,8000.0,['Cape & Isl&s']
barre,1000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
bedford,8750.0,['Third Middlesex']
belchertown,3985.6,['First Hampden & Hampshire']
bellingham,3597.7200000000003,['Worcester & Norfolk']
belmont,89939.2,['Second Suffolk & Middlesex']
berkley,5000.0,['First Plymouth & Bristol']
berlin,5000.0,['Worcester & Middlesex']
bernardston,551.05,"['Hampshire, Franklin & Worcester']"
beverly,62087.54,['Second Essex']
billerica,3700.0,['Fourth Middlesex']
boston,2865803.6400000006,"['Middlesex & Suffolk', 'Norfolk & Suffolk', 'First Suffolk', 'Second Suffolk', 'First Suffolk & Middlesex', 'Second Suffolk & Middlesex']"
boxborough,2000.0,['Middlesex & Worcester']
boxford,21500.0,['First Essex & Middlesex']
boylston,6000.0,['First Worcester']
braintree,72174.85,"['Norfolk, Bristol & Plymouth', 'Norfolk & Plymouth']"
brewster,28400.0,['Cape & Isl&s']
bridgewater,9500.0,['First Plymouth & Bristol']
brimfield,2000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
brockton,187435.46000000002,['Second Plymouth & Bristol']
brookline,188311.61,['First Middlesex & Norfolk']
burlington,5000.0,['Fourth Middlesex']
cambridge,245234.86000000002,"['Second Middlesex', 'Middlesex & Suffolk', 'First Suffolk & Middlesex']"
canton,44923.880000000005,"['Norfolk, Bristol & Plymouth']"
carlisle,9000.0,['Third Middlesex']
carver,4000.0,['First Plymouth & Bristol']
charlton,2750.0,"['Worcester, Hampden, Hampshire & Middlesex']"
chatham,2000.0,['Cape & Isl&s']
chelmsford,9000.0,['Third Middlesex']
chelsea,5647.58,['Middlesex & Suffolk']
cheshire,1000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
chicopee,10500.0,"['Hampden', 'First Hampden & Hampshire', 'Second Hampden & Hampshire']"
chilmark,2000.0,['Cape & Isl&s']
clinton,2000.0,"['First Worcester', 'Worcester & Middlesex']"
cohasset,33975.0,['Plymouth & Norfolk']
concord,80000.0,['Third Middlesex']
conway,2000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
dalton,5000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
danvers,29650.0,['Second Essex']
dartmouth,14100.0,['Second Bristol & Plymouth']
dedham,94088.45,['Norfolk & Suffolk']
