city_town,Amount,house_district
acton,1223.12,"['14th Middlesex', '37th Middlesex']"
agawam,600.0,['3rd Hampden']
amherst,9598.4,['3rd Hampshire']
andover,7026.03,"['17th Essex', '18th Essex']"
arlington,2250.0,"['23rd Middlesex', '24th Middlesex']"
ashland,10000.0,['7th Middlesex']
attleboro,11369.71,"['2nd Bristol', '14th Bristol']"
auburn,3100.0,['7th Worcester']
avon,5000.0,['6th Norfolk']
ayer,4614.82,"['1st Middlesex', '37th Middlesex']"
barnstable,18353.44,"['2nd Barnstable', '5th Barnstable']"
bedford,2500.0,['21st Middlesex']
belchertown,4000.0,"['2nd Franklin', '7th Hampden']"
belmont,67885.44,['24th Middlesex']
beverly,3000.0,['6th Essex']
boston,2433911.2700000005,"['1st Suffolk', '2nd Suffolk', '3rd Suffolk', '4th Suffolk', '5th Suffolk', '6th Suffolk', '7th Suffolk', '8th Suffolk', '9th Suffolk', '10th Suffolk', '11th Suffolk', '12th Suffolk', '13th Suffolk', '14th Suffolk', '15th Suffolk', '17th Suffolk', '18th Suffolk']"
bourne,660.0,"['3rd Barnstable', '5th Barnstable']"
boylston,30000.0,['12th Worcester']
braintree,34840.95,['5th Norfolk']
brewster,2750.0,"['1st Barnstable', '4th Barnstable']"
bridgewater,1900.0,['8th Plymouth']
brockton,32170.899999999998,"['9th Plymouth', '10th Plymouth', '11th Plymouth']"
brookline,188164.1,"['15th Norfolk', '10th Suffolk', '15th Suffolk', '18th Suffolk']"
burlington,3980.43,['21st Middlesex']
cambridge,214545.48999999996,"['24th Middlesex', '25th Middlesex', '26th Middlesex', '29th Middlesex', '8th Suffolk']"
canton,736148.4099999999,['6th Norfolk']
carlisle,1000.0,['14th Middlesex']
carver,1352.56,['2nd Plymouth']
charlton,700.0,['7th Worcester']
chatham,4537.0,['4th Barnstable']
chelmsford,1470.1799999999998,"['1st Middlesex', '14th Middlesex', '16th Middlesex', '17th Middlesex']"
chelsea,8120.7,"['2nd Suffolk', '16th Suffolk']"
chicopee,26829.0,"['6th Hampden', '7th Hampden', '8th Hampden', '9th Hampden']"
clinton,6209.91,['12th Worcester']
cohasset,11477.15,['3rd Plymouth']
concord,14964.34,['14th Middlesex']
danvers,3100.0,['13th Essex']
dartmouth,22648.63,['9th Bristol']
dedham,57747.93000000001,['11th Norfolk']
dighton,5000.0,['5th Bristol']
dover,26500.0,['13th Norfolk']
dracut,830.0,['36th Middlesex']
dudley,7500.0,['6th Worcester']
duxbury,5089.9400000000005,"['6th Plymouth', '12th Plymouth']"
east bridgewater,1000.0,"['7th Plymouth', '10th Plymouth']"
east longmeadow,75047.65,"['2nd Hampden', '12th Hampden']"
easthampton,11675.0,['2nd Hampshire']
everett,60810.03999999999,['28th Middlesex']
fairhaven,2298.4700000000003,['10th Bristol']
fall river,49783.35,"['6th Bristol', '7th Bristol', '8th Bristol']"
falmouth,1750.0,"['3rd Barnstable', 'Barnstable, Dukes and Nantucket']"
fitchburg,1700.0,['3rd Worcester']
foxborough,58500.0,['1st Bristol']
framingham,1000.0,"['6th Middlesex', '7th Middlesex', '13th Middlesex']"
franklin,4310.0,['10th Norfolk']
gardner,2600.0,['2nd Worcester']
gloucester,8500.0,['5th Essex']
grafton,1750.0,['9th Worcester']
great barrington,1500.0,['4th Berkshire']
groton,19050.53,['1st Middlesex']
hanover,2500.0,['5th Plymouth']
harwich,150000.0,['4th Barnstable']
haverhill,4400.0,"['2nd Essex', '3rd Essex', '14th Essex', '15th Essex']"
hingham,1000.0,['3rd Plymouth']
holliston,31000.0,['8th Middlesex']
holyoke,36630.36,['5th Hampden']
hopkinton,782304.1499999999,['8th Middlesex']
lawrence,31525.88,"['14th Essex', '16th Essex', '17th Essex']"
leicester,1000.0,['17th Worcester']
leominster,29959.87,['4th Worcester']
lexington,16447.0,['15th Middlesex']
lincoln,40210.16,['9th Middlesex']
longmeadow,750.0,['2nd Hampden']
lowell,41425.47,"['16th Middlesex', '17th Middlesex', '18th Middlesex']"
ludlow,4122.5,['7th Hampden']
lunenburg,1000.0,['3rd Worcester']
lynn,51235.83,"['8th Essex', '9th Essex', '10th Essex', '11th Essex']"
lynnfield,6000.0,['20th Middlesex']
malden,55452.82000000001,"['32nd Middlesex', '33rd Middlesex', '35th Middlesex']"
marblehead,14000.0,['8th Essex']
marion,5000.0,['10th Bristol']
marlborough,51774.35,"['4th Middlesex', '13th Middlesex']"
marshfield,10000.0,['4th Plymouth']
medfield,5000.0,"['9th Norfolk', '13th Norfolk']"
medford,149388.81,"['23rd Middlesex', '34th Middlesex', '35th Middlesex']"
medway,33147.130000000005,"['10th Norfolk', '10th Worcester']"
methuen,9725.18,"['14th Essex', '15th Essex', '17th Essex']"
milford,10000.0,['10th Worcester']
millbury,1501.66,['7th Worcester']
milton,30386.39,"['7th Norfolk', '12th Suffolk']"
nahant,640.0,['11th Essex']
natick,2000.0,['5th Middlesex']
needham,39949.25,['13th Norfolk']
new bedford,85146.51,"['8th Bristol', '9th Bristol', '10th Bristol', '11th Bristol', '13th Bristol']"
newbury,1011.88,['2nd Essex']
newburyport,4047.52,['1st Essex']
newton,409524.53,"['10th Middlesex', '11th Middlesex', '12th Middlesex']"
norfolk,534.0,['9th Norfolk']
north adams,3000.0,['1st Berkshire']
north andover,1000.0,"['14th Essex', '18th Essex']"
north attleborough,1540.0,['14th Bristol']
north reading,3750.0,['20th Middlesex']
northampton,3491.08,['1st Hampshire']
northbridge,6000.0,['9th Worcester']
norton,11125.06,"['1st Bristol', '4th Bristol']"
norwood,1545.1100000000001,['12th Norfolk']
palmer,800.0,['1st Hampden']
peabody,45467.09,"['12th Essex', '13th Essex']"
pepperell,10000.0,['1st Middlesex']
pittsfield,57520.73,"['2nd Berkshire', '3rd Berkshire']"
plainville,525.0,['9th Norfolk']
plymouth,38000.0,"['5th Barnstable', '1st Plymouth', '12th Plymouth']"
provincetown,1500.0,['4th Barnstable']
quincy,53844.0,"['1st Norfolk', '2nd Norfolk', '3rd Norfolk', '13th Suffolk']"
randolph,2618.25,"['1st Norfolk', '5th Norfolk', '7th Norfolk']"
reading,3410.0,"['20th Middlesex', '30th Middlesex']"
revere,700.0,"['16th Suffolk', '19th Suffolk']"
richmond,1918.0,['4th Berkshire']
rockport,650.0,['5th Essex']
salem,27344.140000000003,['7th Essex']
sandwich,56896.35,['5th Barnstable']
scituate,1000.0,"['3rd Plymouth', '4th Plymouth']"
sharon,5848.89,['8th Norfolk']
sheffield,1000.0,['4th Berkshire']
sherborn,6000.0,['5th Middlesex']
shirley,1105.0,['37th Middlesex']
shrewsbury,157953.88,['11th Worcester']
somerset,750.0,['5th Bristol']
somerville,5350.0,"['26th Middlesex', '27th Middlesex', '34th Middlesex']"
south hadley,1000.0,['2nd Hampshire']
southwick,1743.0,['3rd Hampden']
springfield,114977.96999999999,"['6th Hampden', '7th Hampden', '9th Hampden', '10th Hampden', '11th Hampden', '12th Hampden']"
stockbridge,560.0,['4th Berkshire']
stoneham,4000.0,['31st Middlesex']
stoughton,17727.84,"['6th Norfolk', '8th Norfolk']"
sturbridge,600.0,['1st Hampden']
sutton,22613.82,['18th Worcester']
swampscott,5650.0,['8th Essex']
taunton,1200.0,"['3rd Bristol', '5th Bristol', '12th Bristol']"
tewksbury,2622.4,['19th Middlesex']
topsfield,10000.0,['4th Essex']
uxbridge,3924.0,['8th Worcester']
walpole,1000.0,"['8th Norfolk', '9th Norfolk', '11th Norfolk', '12th Norfolk']"
waltham,104200.0,"['9th Middlesex', '10th Middlesex']"
washington,5000.0,['4th Berkshire']
watertown,31700.0,"['10th Middlesex', '29th Middlesex']"
wayland,6000.0,"['13th Middlesex', '14th Norfolk']"
webster,9500.0,['18th Worcester']
wellesley,226166.94,['14th Norfolk']
west boylston,4251.0,['14th Worcester']
west newbury,10000.0,['2nd Essex']
west springfield,14380.0,['6th Hampden']
westborough,7500.0,"['4th Middlesex', '8th Middlesex', '11th Worcester']"
westfield,2500.0,['4th Hampden']
westford,1000.0,['1st Middlesex']
weston,36500.0,['14th Norfolk']
westport,3300.0,['8th Bristol']
westwood,4000.0,['11th Norfolk']
weymouth,245540.3,"['3rd Norfolk', '4th Norfolk']"
whately,1000.0,['1st Franklin']
whitman,2621.42,['7th Plymouth']
wilmington,112434.79000000001,"['19th Middlesex', '21st Middlesex']"
winchester,94675.0,['31st Middlesex']
winthrop,4100.0,['19th Suffolk']
woburn,26760.949999999997,"['15th Middlesex', '30th Middlesex']"
worcester,84568.58,"['13th Worcester', '14th Worcester', '15th Worcester', '16th Worcester', '17th Worcester']"
wrentham,4000.0,['9th Norfolk']
