,year,district,name,sex,party,vote_count,vote_percent
2,2016,"Berkshire, Hampshire and Franklin",Adam G. Hinds,m,Democratic,"53,216",70.1
3,2016,Bristol and Norfolk,James E. Timilty,m,Democratic,"66,611",99.3
4,2016,1st Bristol and Plymouth,Michael J. Rodrigues,m,Democratic,"54,618",99.4
5,2016,2nd Bristol and Plymouth,Mark C. Montigny,m,Democratic,"53,882",99.0
6,2016,Cape and Islands,Julian Andre Cyr,m,Democratic,"59,974",56.9
7,2016,1st Essex,Kathleen A. O'Connor Ives,f,Democratic,"65,131",99.1
8,2016,2nd Essex,Joan B. Lovely,f,Democratic,"67,120",98.9
9,2016,3rd Essex,Thomas M. McGee,m,Democratic,"58,844",99.1
10,2016,1st Essex and Middlesex,Bruce E. Tarr,m,Republican,"77,851",99.2
11,2016,2nd Essex and Middlesex,Barbara A. L'Italien,f,Democratic,"45,218",63.4
12,2016,Hampden,James T. Welch,m,Democratic,"45,061",98.3
13,2016,1st Hampden and Hampshire,Eric P. Lesser,m,Democratic,"44,602",55.8
14,2016,2nd Hampden and Hampshire,"Donald F. Humason, Jr",m,Republican,"43,097",59.5
15,2016,"Hampshire, Franklin and Worcester",Stanley C. Rosenberg,m,Democratic,"62,286",81.6
16,2016,1st Middlesex,Eileen M. Donoghue,f,Democratic,"56,759",98.6
17,2016,2nd Middlesex,Patricia D. Jehlen,f,Democratic,"75,777",98.5
18,2016,3rd Middlesex,Michael J. Barrett,m,Democratic,"64,554",98.7
19,2016,4th Middlesex,Kenneth J. Donnelly,m,Democratic,"68,540",99.0
20,2016,5th Middlesex,Jason M. Lewis,m,Democratic,"52,954",68.9
21,2016,1st Middlesex and Norfolk,Cynthia Stone Creem,f,Democratic,"62,668",99.0
22,2016,2nd Middlesex and Norfolk,Karen E. Spilka,f,Democratic,"61,230",98.5
23,2016,Middlesex and Worcester,James B. Eldridge,m,Democratic,"55,698",64.2
24,2016,Middlesex and Suffolk,Sal N. DiDomenico,m,Democratic,"53,022",98.9
25,2016,"Norfolk, Bristol and Middlesex",Richard J. Ross,m,Republican,"49,776",60.0
26,2016,"Norfolk, Bristol and Plymouth","Walter F. Timilty, Jr.",m,Democratic,"56,466",73.7
27,2016,Norfolk and Plymouth,John F. Keenan,m,Democratic,"50,148",71.0
28,2016,Norfolk and Suffolk,Michael F. Rush,m,Democratic,"66,792",98.7
29,2016,Plymouth and Barnstable,Vinny M. deMacedo,m,Republican,"69,474",99.3
30,2016,Plymouth and Norfolk,Patrick M. O'Connor,m,Republican,"52,440",56.5
31,2016,Plymouth and Norfolk,Patrick M. O'Connor,m,Republican,"9,047",52.6
32,2016,1st Plymouth and Bristol,Marc R. Pacheco,m,Democratic,"52,915",65.3
33,2016,2nd Plymouth and Bristol,Michael D. Brady,m,Democratic,"56,156",99.4
34,2016,1st Suffolk,Linda Dorcena Forry,f,Democratic,"59,874",98.4
35,2016,2nd Suffolk,Sonia Rosa Chang-Diaz,f,Democratic,"58,705",98.8
36,2016,1st Suffolk and Middlesex,Joseph A. Boncore,m,Democratic,"50,978",98.2
37,2016,1st Suffolk and Middlesex,Joseph A. Boncore,m,Democratic,"2,429",89.4
38,2016,2nd Suffolk and Middlesex,William N. Brownsberger,m,Democratic,"56,011",98.6
39,2016,Worcester and Middlesex,Jennifer L. Flanagan,f,Democratic,"59,860",99.1
40,2016,Worcester and Norfolk,Ryan C. Fattman,m,Republican,"64,665",98.4
41,2016,"Worcester, Hampden, Hampshire and Middlesex",Anne M. Gobi,f,Democratic,"44,021",54.4
42,2016,1st Worcester,Harriette L. Chandler,f,Democratic,"56,545",98.1
43,2016,2nd Worcester,Michael O. Moore,m,Democratic,"55,093",74.0
87,2016,"Berkshire, Hampshire and Franklin",Adam G. Hinds,m,Democratic,"53,216",70.1
88,2016,Bristol and Norfolk,James E. Timilty,m,Democratic,"66,611",99.3
89,2016,1st Bristol and Plymouth,Michael J. Rodrigues,m,Democratic,"54,618",99.4
90,2016,2nd Bristol and Plymouth,Mark C. Montigny,m,Democratic,"53,882",99.0
91,2016,Cape and Islands,Julian Andre Cyr,m,Democratic,"59,974",56.9
92,2016,1st Essex,Kathleen A. O'Connor Ives,f,Democratic,"65,131",99.1
93,2016,2nd Essex,Joan B. Lovely,f,Democratic,"67,120",98.9
94,2016,3rd Essex,Thomas M. McGee,m,Democratic,"58,844",99.1
95,2016,1st Essex and Middlesex,Bruce E. Tarr,m,Republican,"77,851",99.2
96,2016,2nd Essex and Middlesex,Barbara A. L'Italien,f,Democratic,"45,218",63.4
97,2016,Hampden,James T. Welch,m,Democratic,"45,061",98.3
98,2016,1st Hampden and Hampshire,Eric P. Lesser,m,Democratic,"44,602",55.8
99,2016,2nd Hampden and Hampshire,"Donald F. Humason, Jr",m,Republican,"43,097",59.5
100,2016,"Hampshire, Franklin and Worcester",Stanley C. Rosenberg,m,Democratic,"62,286",81.6
101,2016,1st Middlesex,Eileen M. Donoghue,f,Democratic,"56,759",98.6
102,2016,2nd Middlesex,Patricia D. Jehlen,f,Democratic,"75,777",98.5
103,2016,3rd Middlesex,Michael J. Barrett,m,Democratic,"64,554",98.7
104,2016,4th Middlesex,Kenneth J. Donnelly,m,Democratic,"68,540",99.0
105,2016,5th Middlesex,Jason M. Lewis,m,Democratic,"52,954",68.9
106,2016,1st Middlesex and Norfolk,Cynthia Stone Creem,f,Democratic,"62,668",99.0
107,2016,2nd Middlesex and Norfolk,Karen E. Spilka,f,Democratic,"61,230",98.5
108,2016,Middlesex and Worcester,James B. Eldridge,m,Democratic,"55,698",64.2
109,2016,Middlesex and Suffolk,Sal N. DiDomenico,m,Democratic,"53,022",98.9
110,2016,"Norfolk, Bristol and Middlesex",Richard J. Ross,m,Republican,"49,776",60.0
111,2016,"Norfolk, Bristol and Plymouth","Walter F. Timilty, Jr.",m,Democratic,"56,466",73.7
112,2016,Norfolk and Plymouth,John F. Keenan,m,Democratic,"50,148",71.0
113,2016,Norfolk and Suffolk,Michael F. Rush,m,Democratic,"66,792",98.7
114,2016,Plymouth and Barnstable,Vinny M. deMacedo,m,Republican,"69,474",99.3
115,2016,Plymouth and Norfolk,Patrick M. O'Connor,m,Republican,"52,440",56.5
116,2016,Plymouth and Norfolk,Patrick M. O'Connor,m,Republican,"9,047",52.6
117,2016,1st Plymouth and Bristol,Marc R. Pacheco,m,Democratic,"52,915",65.3
118,2016,2nd Plymouth and Bristol,Michael D. Brady,m,Democratic,"56,156",99.4
119,2016,1st Suffolk,Linda Dorcena Forry,f,Democratic,"59,874",98.4
120,2016,2nd Suffolk,Sonia Rosa Chang-Diaz,f,Democratic,"58,705",98.8
121,2016,1st Suffolk and Middlesex,Joseph A. Boncore,m,Democratic,"50,978",98.2
122,2016,1st Suffolk and Middlesex,Joseph A. Boncore,m,Democratic,"2,429",89.4
123,2016,2nd Suffolk and Middlesex,William N. Brownsberger,m,Democratic,"56,011",98.6
124,2016,Worcester and Middlesex,Jennifer L. Flanagan,f,Democratic,"59,860",99.1
125,2016,Worcester and Norfolk,Ryan C. Fattman,m,Republican,"64,665",98.4
126,2016,"Worcester, Hampden, Hampshire and Middlesex",Anne M. Gobi,f,Democratic,"44,021",54.4
127,2016,1st Worcester,Harriette L. Chandler,f,Democratic,"56,545",98.1
128,2016,2nd Worcester,Michael O. Moore,m,Democratic,"55,093",74.0
