,year,district,name,sex,party,vote_count,vote_percent
334,2013,6th Bristol,Carole A. Fiola,f,Democratic,"2,908",52.9
335,2013,12th Essex,Leah Cole,f,Republican,"1,878",35.1
336,2013,28th Middlesex,Wayne A. Matewsky,m,Democratic,"1,256",34.0
337,2013,8th Suffolk,Jay D. Livingstone,m,Democratic,"5,771",94.8
338,2013,12th Suffolk,Dan Cullinane,m,Democratic,"1,685",74.7
339,2013,16th Worcester,Daniel M. Donahue,m,Democratic,"1,614",63.6
