index,District,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Estimate; SEX AND AGE - Male,Percent; SEX AND AGE - Male,Estimate; SEX AND AGE - Female,Percent; SEX AND AGE - Female,Estimate; SEX AND AGE - Under 5 years,Percent; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 9 years,Percent; SEX AND AGE - 5 to 9 years,Estimate; SEX AND AGE - 10 to 14 years,Percent; SEX AND AGE - 10 to 14 years,Estimate; SEX AND AGE - 15 to 19 years,Percent; SEX AND AGE - 15 to 19 years,Estimate; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Percent; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over,Percent; SEX AND AGE - 85 years and over,Estimate; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 21 years and over,Percent; SEX AND AGE - 21 years and over,Estimate; SEX AND AGE - 62 years and over,Percent; SEX AND AGE - 62 years and over,Estimate; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 18 years and over.1,Percent; SEX AND AGE - 18 years and over.1,Estimate; SEX AND AGE - Male.1,Percent; SEX AND AGE - Male.1,Estimate; SEX AND AGE - Female.1,Percent; SEX AND AGE - Female.1,Estimate; SEX AND AGE - 65 years and over.1,Percent; SEX AND AGE - 65 years and over.1,Estimate; SEX AND AGE - Male.2,Percent; SEX AND AGE - Male.2,Estimate; SEX AND AGE - Female.2,Percent; SEX AND AGE - Female.2,Estimate; RACE - Total population,Percent; RACE - Total population,Estimate; RACE - One race,Percent; RACE - One race,Estimate; RACE - Two or more races,Percent; RACE - Two or more races,Estimate; RACE - One race.1,Percent; RACE - One race.1,Estimate; RACE - One race - White,Percent; RACE - One race - White,Estimate; RACE - One race - Black or African American,Percent; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - Asian,Percent; RACE - One race - Asian,Estimate; RACE - One race - Asian - Asian Indian,Percent; RACE - One race - Asian - Asian Indian,Estimate; RACE - One race - Asian - Chinese,Percent; RACE - One race - Asian - Chinese,Estimate; RACE - One race - Asian - Filipino,Percent; RACE - One race - Asian - Filipino,Estimate; RACE - One race - Asian - Japanese,Percent; RACE - One race - Asian - Japanese,Estimate; RACE - One race - Asian - Korean,Percent; RACE - One race - Asian - Korean,Estimate; RACE - One race - Asian - Vietnamese,Percent; RACE - One race - Asian - Vietnamese,Estimate; RACE - One race - Asian - Other Asian,Percent; RACE - One race - Asian - Other Asian,Estimate; RACE - One race - Some other race,Percent; RACE - One race - Some other race,Estimate; RACE - Two or more races.1,Percent; RACE - Two or more races.1,Estimate; RACE - Two or more races - White and Black or African American,Percent; RACE - Two or more races - White and Black or African American
62,43,169396.0,169396.0,84058.0,49.6,85338.0,50.4,10499.0,6.2,6808.0,4.0,6610.0,3.9,11202.0,6.6,20573.0,12.1,41439.0,24.5,23066.0,13.6,17765.0,10.5,7815.0,4.6,6732.0,4.0,8345.0,4.9,5545.0,3.3,2997.0,1.8,31.1,141211.0,83.4,129118.0,76.2,21086.0,12.4,16887.0,10.0,141211.0,141211.0,69451.0,49.2,71760.0,50.8,16887.0,16887.0,7023.0,41.6,9864.0,58.4,169396.0,169396.0,151675.0,89.5,17721.0,10.5,151675.0,89.5,111789.0,66.0,17255.0,10.2,209.0,0.1,14219.0,8.4,2748.0,1.6,6261.0,3.7,362.0,0.2,610.0,0.4,1360.0,0.8,1674.0,1.0,1204.0,0.7,8124.0,4.8,17721.0,10.5,14097.0,8.3
63,17,171591.5,171591.5,86014.0,50.15,85577.5,49.85,9850.0,5.75,11940.5,6.95,11793.5,6.85,11553.0,6.75,7236.0,4.2,17801.5,10.35,27923.0,16.25,30610.5,17.85,11662.0,6.8,9659.0,5.6,10899.0,6.35,7521.0,4.4,3142.5,1.85,40.85,129667.0,75.6,124787.0,72.7,27180.5,15.85,21562.5,12.55,129667.0,129667.0,64724.0,49.95,64943.0,50.05,21562.5,21562.5,9335.5,43.3,12227.0,56.7,171591.5,171591.5,165767.5,96.6,5824.0,3.4,165767.5,96.6,145030.0,84.5,3787.0,2.2,313.0,0.2,13960.5,8.15,5812.5,3.4,4664.5,2.7,380.0,0.2,388.0,0.25,1007.5,0.6,976.5,0.6,731.5,0.45,2677.0,1.55,5824.0,3.4,2920.5,1.7
64,18,165778.0,165778.0,82303.0,49.6,83475.0,50.4,10115.0,6.1,7497.0,4.5,7755.0,4.7,10250.0,6.2,16944.0,10.2,35663.0,21.5,23821.0,14.4,20207.0,12.2,8608.0,5.2,7117.0,4.3,8864.0,5.3,6247.0,3.8,2690.0,1.6,32.9,135828.0,81.9,126405.0,76.2,22019.0,13.3,17801.0,10.7,135828.0,135828.0,66606.0,49.0,69222.0,51.0,17801.0,17801.0,7217.0,40.5,10584.0,59.5,165778.0,165778.0,150471.0,90.8,15307.0,9.2,150471.0,90.8,115955.0,69.9,13565.0,8.2,162.0,0.1,11577.0,7.0,1875.0,1.1,4636.0,2.8,452.0,0.3,298.0,0.2,1031.0,0.6,1718.0,1.0,1567.0,0.9,9111.0,5.5,15307.0,9.2,12116.0,7.3
65,19,159748.5,159748.5,76367.0,47.8,83381.5,52.2,8170.5,5.1,8123.0,5.05,8439.0,5.3,8918.0,5.6,9838.5,6.15,26173.5,16.4,22411.0,14.0,24154.0,15.15,10401.0,6.5,9183.5,5.75,12331.0,7.7,7934.5,4.95,3671.0,2.3,39.45,129677.0,81.2,124364.0,77.85,28813.0,18.05,23936.5,15.0,129677.0,129677.0,61611.0,47.55,68066.0,52.45,23936.5,23936.5,9787.0,40.9,14149.5,59.1,159748.5,159748.5,157282.0,98.5,2466.5,1.5,157282.0,98.5,123459.0,77.3,7284.5,4.55,233.0,0.15,24685.5,15.45,3043.5,1.9,15846.5,9.9,897.0,0.6,330.0,0.2,307.5,0.2,3225.5,2.0,1035.5,0.65,1620.0,1.0,2466.5,1.5,422.0,0.25
66,44,158466.0,158466.0,76586.0,48.3,81880.0,51.7,9836.0,6.2,9220.0,5.8,10462.0,6.6,8856.0,5.6,8405.0,5.3,19148.0,12.1,21777.0,13.7,26479.0,16.7,10662.0,6.7,8012.0,5.1,11609.0,7.3,9273.0,5.9,4727.0,3.0,41.5,122846.0,77.5,118500.0,74.8,30026.0,18.9,25609.0,16.2,122846.0,122846.0,58242.0,47.4,64604.0,52.6,25609.0,25609.0,10632.0,41.5,14977.0,58.5,158466.0,158466.0,154328.0,97.4,4138.0,2.6,154328.0,97.4,125295.0,79.1,16227.0,10.2,459.0,0.3,7058.0,4.5,1634.0,1.0,3174.0,2.0,546.0,0.3,96.0,0.1,524.0,0.3,385.0,0.2,699.0,0.4,5284.0,3.3,4138.0,2.6,1048.0,0.7
67,20,165081.0,165081.0,80990.0,49.05,84091.0,50.95,9999.5,6.05,12047.5,7.3,12450.0,7.55,13082.0,7.9,9249.5,5.6,13384.5,8.1,24970.0,15.1,28387.0,17.2,11784.0,7.15,8941.0,5.4,10969.5,6.65,6636.5,4.0,3180.0,1.95,40.5,123079.0,74.55,115367.5,69.85,25900.5,15.7,20786.0,12.55,123079.0,123079.0,58690.0,47.7,64389.0,52.3,20786.0,20786.0,9022.0,43.4,11764.0,56.6,165081.0,165081.0,162695.0,98.55,2386.0,1.45,162695.0,98.55,150091.0,90.9,2887.0,1.75,168.0,0.1,8140.0,4.95,1762.0,1.05,3836.5,2.35,243.5,0.15,74.5,0.0,832.5,0.55,452.0,0.3,939.0,0.6,1383.0,0.85,2386.0,1.45,434.0,0.25
68,21,156950.5,156950.5,74604.5,47.5,82346.0,52.5,9301.5,5.95,9848.5,6.25,10042.0,6.4,10593.5,6.75,8576.0,5.45,15568.0,9.9,23747.0,15.1,25470.0,16.2,11119.5,7.05,9447.0,6.0,11680.0,7.45,7951.0,5.1,3606.5,2.3,41.4,121081.5,77.15,114778.5,73.15,28621.0,18.2,23237.5,14.8,121081.5,121081.5,55859.0,46.1,65222.5,53.9,23237.5,23237.5,9375.0,40.35,13862.5,59.65,156950.5,156950.5,154970.5,98.75,1980.0,1.25,154970.5,98.75,120489.5,76.75,23318.5,14.85,337.5,0.2,9013.5,5.7,1170.0,0.75,3321.0,2.1,618.5,0.4,128.5,0.05,511.0,0.35,2343.5,1.5,921.0,0.6,1811.5,1.15,1980.0,1.25,561.0,0.35
69,22,165612.0,165612.0,80979.0,48.9,84633.0,51.1,8699.0,5.25,9976.0,6.05,10824.0,6.55,10633.5,6.4,8400.0,5.05,14726.5,8.9,22232.5,13.4,27886.5,16.8,12472.5,7.55,11162.0,6.75,15242.5,9.2,9628.5,5.8,3728.5,2.25,43.9,129369.5,78.1,123669.0,74.7,35144.0,21.25,28599.5,17.3,129369.5,129369.5,62731.0,48.5,66638.5,51.5,28599.5,28599.5,12606.5,44.1,15993.0,55.9,165612.0,165612.0,162863.0,98.3,2749.0,1.7,162863.0,98.3,156370.5,94.4,2688.0,1.65,317.0,0.2,1926.5,1.15,267.5,0.15,548.0,0.35,146.5,0.1,86.5,0.1,328.0,0.2,341.5,0.2,208.5,0.1,1537.5,0.95,2749.0,1.7,687.5,0.45
70,23,162487.0,162487.0,77964.5,48.0,84522.5,52.0,9240.5,5.65,11249.5,6.9,12287.5,7.6,9811.0,6.05,6391.5,3.95,14022.5,8.65,22660.5,13.95,27917.5,17.2,12876.0,7.95,10692.0,6.6,12890.0,7.9,9077.5,5.6,3371.0,2.05,43.25,122771.5,75.55,118750.0,73.05,31442.5,19.35,25338.5,15.6,122771.5,122771.5,57235.5,46.65,65536.0,53.35,25338.5,25338.5,10405.5,41.05,14933.0,58.95,162487.0,162487.0,160562.5,98.8,1924.5,1.2,160562.5,98.8,153219.0,94.3,2656.0,1.6,210.5,0.1,3475.5,2.15,602.0,0.4,1272.5,0.8,307.5,0.2,91.0,0.1,235.5,0.15,719.5,0.45,247.5,0.2,1001.5,0.6,1924.5,1.2,296.5,0.2
71,24,161193.0,161193.0,76977.0,47.75,84216.0,52.25,8873.5,5.5,9437.5,5.85,10097.0,6.25,11002.0,6.8,11365.0,7.05,20108.5,12.5,21015.5,13.0,23651.5,14.65,10476.5,6.5,9252.5,5.7,12468.5,7.75,8556.5,5.3,4888.5,3.05,40.0,126525.5,78.5,119488.0,74.15,31277.0,19.4,25913.5,16.1,126525.5,126525.5,59667.0,47.2,66858.5,52.8,25913.5,25913.5,10442.0,40.3,15471.5,59.7,161193.0,161193.0,155991.0,96.8,5202.0,3.2,155991.0,96.8,137275.0,85.2,8737.5,5.4,404.0,0.25,1947.5,1.2,146.0,0.1,663.0,0.4,234.0,0.15,33.0,0.0,203.0,0.1,493.0,0.3,175.5,0.1,7597.5,4.7,5202.0,3.2,1730.0,1.1
