,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L400US25060,25060,1st Barnstable District ,19275,510,1286,272,1083,247,1103,248,958,190,802,186,798,193,926,181,1036,238,979,174,1493,266,2067,293,2353,285,1549,252,1011,199,1039,205,792,199
1,620L400US25061,25061,2nd Barnstable District ,18147,624,1129,244,1116,235,925,185,1012,210,742,219,830,213,686,160,832,199,712,160,1721,283,2242,269,2091,335,1379,228,1126,198,783,171,821,183
2,620L400US25062,25062,3rd Barnstable District ,17979,500,682,176,833,215,808,170,991,184,677,173,765,156,636,160,1201,269,694,162,1220,195,1925,237,2827,346,1940,235,1025,207,962,189,793,147
4,620L400US25064,25064,"Barnstable, Dukes & Nantucket District ",16189,662,750,187,789,180,763,192,551,159,644,155,800,213,457,150,578,142,624,167,1122,273,1371,203,2240,313,1783,283,1428,234,1114,207,1175,193
8,620L400US25068,25068,4th Berkshire District ,16384,390,869,179,696,150,806,165,689,146,927,195,784,163,693,163,675,169,731,169,1452,242,1584,209,2065,253,1631,216,868,160,866,124,1048,165
9,620L400US25069,25069,1st Bristol District ,14025,365,357,108,343,122,374,120,504,156,346,126,459,146,465,143,407,117,435,134,952,207,1259,248,1920,278,1872,289,1207,214,1624,239,1501,247
10,620L400US25070,25070,2nd Bristol District ,15145,367,539,170,1120,249,801,177,594,157,373,124,548,176,708,217,510,141,797,233,1211,271,1586,296,1898,310,1764,300,995,203,1127,221,574,155
11,620L400US25071,25071,3rd Bristol District ,16576,421,1015,227,1259,242,817,182,787,169,720,193,879,237,828,185,974,201,856,219,1449,247,1513,262,1896,282,1647,267,643,133,803,170,490,142
12,620L400US25072,25072,4th Bristol District ,14111,337,379,131,323,117,361,109,491,161,445,118,373,131,456,136,413,122,540,151,875,194,1511,301,2086,287,1677,276,1767,313,1305,219,1109,188
20,620L400US25080,25080,12th Bristol District ,13802,449,601,169,376,152,326,100,401,139,457,167,433,146,504,170,294,118,573,173,864,192,1489,270,2481,388,1585,278,1320,247,1141,231,957,216
22,620L400US25082,25082,14th Bristol District ,14547,414,344,105,360,127,459,139,491,158,508,159,463,141,570,148,638,162,373,127,1116,250,1309,214,2326,313,1283,249,1348,255,1649,264,1310,206
23,620L400US25083,25083,1st Essex District ,17504,394,722,178,606,125,530,143,648,164,608,152,561,147,458,141,695,209,745,185,931,206,1881,296,2507,311,1631,238,1435,229,1714,284,1832,258
24,620L400US25084,25084,2nd Essex District ,16019,363,322,104,366,117,446,139,470,158,385,127,448,134,614,169,385,128,371,142,1126,241,1253,204,2041,295,2139,314,1521,221,2084,300,2048,238
26,620L400US25086,25086,4th Essex District ,16366,305,436,163,673,195,556,136,520,124,427,127,511,129,603,142,438,125,309,126,869,190,1380,302,2008,288,1426,238,1495,245,1824,325,2891,337
27,620L400US25087,25087,5th Essex District ,16801,354,954,180,716,151,852,155,809,160,657,171,614,132,848,194,683,145,448,100,1394,238,1582,236,2125,260,1652,241,1103,229,1235,188,1129,168
31,620L400US25091,25091,9th Essex District ,16249,434,674,203,705,198,422,167,366,105,844,240,400,130,400,102,519,177,410,118,834,197,1875,297,2404,277,2187,267,1418,246,1632,214,1159,215
35,620L400US25095,25095,13th Essex District ,16044,401,512,182,570,164,545,154,533,173,663,186,489,142,617,187,451,183,396,133,1108,270,1640,283,2068,252,1786,246,1715,248,1633,252,1318,225
36,620L400US25096,25096,14th Essex District ,16213,407,750,218,713,192,557,196,618,180,537,158,931,224,889,223,832,227,407,113,1126,238,1628,272,2224,301,1377,263,1074,217,1387,252,1163,217
42,620L400US25102,25102,1st Hampden District ,16560,407,768,227,892,231,750,185,933,228,777,178,965,211,692,175,809,194,601,148,1421,244,1374,241,2129,308,1462,236,1075,225,1067,202,845,170
44,620L400US25104,25104,3rd Hampden District ,15670,309,732,172,576,155,824,225,772,199,565,132,622,159,540,151,551,145,473,142,1216,226,1677,288,2384,292,1769,251,1200,227,1124,234,645,138
45,620L400US25105,25105,4th Hampden District ,14909,445,628,194,899,208,861,207,752,208,705,163,634,153,713,204,465,144,411,146,1280,261,1306,200,2244,337,1663,265,880,182,867,189,601,115
46,620L400US25106,25106,5th Hampden District ,15599,423,2256,339,1849,262,1176,226,857,207,793,182,790,170,697,166,556,187,736,195,1015,205,1235,217,1483,279,873,193,460,145,484,154,339,118
49,620L400US25109,25109,8th Hampden District ,16746,442,1019,199,976,190,1249,251,754,194,792,202,1096,246,917,203,927,213,971,235,1445,191,1754,272,2209,255,1515,270,672,176,297,93,153,87
54,620L400US25114,25114,18th Essex District ,14454,356,276,111,192,84,261,100,203,86,286,97,188,90,276,105,234,82,196,81,589,165,836,135,1545,242,1493,223,1435,219,2746,290,3698,265
55,620L400US25115,25115,1st Hampshire District ,16529,357,965,209,1110,227,550,140,798,211,565,136,791,175,540,152,886,193,681,185,1243,193,1547,197,2238,266,1635,273,1028,161,1040,142,912,134
56,620L400US25116,25116,2nd Hampshire District ,17583,400,832,207,949,209,735,181,676,202,724,173,810,188,692,187,775,221,645,173,1412,266,2010,280,2948,315,1755,239,1077,200,889,205,654,131
58,620L400US25118,25118,1st Middlesex District ,15263,298,464,142,446,138,468,137,389,109,382,120,448,127,448,136,351,111,370,129,914,189,1647,230,2144,224,1903,238,1587,233,1828,251,1474,182
62,620L400US25122,25122,5th Middlesex District ,17216,362,487,149,466,150,463,165,410,116,445,127,596,142,655,186,414,154,494,152,1058,223,1282,227,1526,240,2205,265,1487,219,2367,290,2861,265
70,620L400US25130,25130,13th Middlesex District ,15755,387,452,130,339,102,477,158,438,125,350,128,216,97,440,168,487,133,312,131,671,180,1161,243,1630,239,1321,226,1171,186,2251,277,4039,297
76,620L400US25136,25136,19th Middlesex District ,14557,354,311,120,405,133,579,171,392,117,317,104,483,130,355,112,438,124,373,108,729,150,1362,253,2291,295,2029,269,1592,274,1706,270,1195,205
77,620L400US25137,25137,20th Middlesex District ,15189,403,292,124,290,113,320,114,355,115,271,121,425,178,215,106,337,120,263,107,900,217,882,173,1997,329,1916,269,1659,267,2430,291,2637,351
78,620L400US25138,25138,21st Middlesex District ,15656,361,351,119,369,121,281,135,497,151,391,124,385,122,404,122,366,125,378,121,1204,257,1036,226,2016,280,1783,273,1630,249,2149,289,2416,294
79,620L400US25139,25139,22nd Middlesex District ,14435,446,259,108,313,138,362,122,396,134,485,153,481,153,378,114,424,144,286,123,1060,248,1163,238,2156,321,2323,275,1700,229,1676,278,973,182
95,620L400US25155,25155,18th Worcester District ,15556,434,635,174,748,188,760,192,628,156,674,180,781,217,500,152,496,147,518,149,1169,199,1475,224,1924,269,1669,237,1168,242,1518,246,893,232
99,620L400US25159,25159,3rd Norfolk District ,17590,425,924,224,935,215,761,182,791,201,867,246,958,238,473,153,680,213,490,134,1309,226,1867,304,2345,292,1908,321,1152,219,1293,249,837,221
100,620L400US25160,25160,4th Norfolk District ,18053,429,657,180,720,199,577,181,544,160,815,234,1036,239,678,166,815,209,930,227,1161,221,1841,313,2642,353,1882,338,1426,234,1339,284,990,163
105,620L400US25165,25165,9th Norfolk District ,14562,325,456,135,350,113,379,123,394,148,328,136,163,60,361,123,315,107,428,136,766,197,1091,210,1672,253,1583,267,1458,264,2206,246,2612,225
106,620L400US25166,25166,10th Norfolk District ,14635,338,392,142,431,141,366,165,440,190,254,119,297,118,406,129,420,156,448,179,469,152,1332,204,1935,334,1664,244,1641,236,1961,273,2179,241
109,620L400US25169,25169,13th Norfolk District ,14555,287,534,165,292,108,217,82,193,93,213,77,155,75,297,99,214,103,323,107,556,139,926,198,1514,246,1387,224,1143,192,1831,253,4760,314
110,620L400US25170,25170,14th Norfolk District ,13770,337,321,83,166,66,267,78,578,182,170,70,92,49,141,63,193,72,131,47,360,90,640,140,1069,203,923,151,1068,188,1814,245,5837,304
112,620L400US25172,25172,1st Plymouth District ,16174,388,570,163,600,177,575,164,447,147,384,117,695,195,668,179,515,142,543,150,1241,241,1518,272,2250,293,1736,282,1407,296,1640,255,1385,253
113,620L400US25173,25173,2nd Plymouth District ,16082,449,929,244,635,198,446,144,678,197,523,171,630,178,824,215,487,149,498,146,1365,260,1783,326,2930,418,1478,267,1228,260,962,176,686,201
114,620L400US25174,25174,3rd Plymouth District ,15454,395,419,134,400,140,529,175,605,154,432,130,490,143,529,123,443,143,375,107,987,194,921,193,1840,262,1575,265,1274,181,1526,204,3109,299
115,620L400US25175,25175,4th Plymouth District ,15324,388,550,179,367,148,435,147,468,145,411,138,543,199,544,151,407,154,367,119,827,211,1518,225,1592,257,1887,269,1412,191,1773,284,2223,245
116,620L400US25176,25176,5th Plymouth District ,14885,333,289,105,319,105,505,160,463,163,514,161,785,188,610,164,460,147,355,125,778,176,1357,250,2239,300,1562,268,1218,207,1620,273,1811,247
117,620L400US25177,25177,6th Plymouth District ,14104,307,253,94,275,106,368,127,410,116,310,126,360,112,384,107,406,148,282,97,747,151,1157,193,2011,275,1842,239,1543,238,1828,231,1928,253
118,620L400US25178,25178,7th Plymouth District ,15026,295,414,104,530,143,351,111,491,147,524,141,428,125,307,96,645,136,569,144,1336,291,1369,249,2611,304,2024,270,1268,227,1410,208,749,166
119,620L400US25179,25179,8th Plymouth District ,12545,371,286,108,401,153,485,164,345,113,585,170,407,121,300,129,459,138,325,103,663,183,1268,294,1828,284,1444,237,1516,226,1289,221,944,213
123,620L400US25183,25183,12th Plymouth District ,15436,379,583,150,429,151,595,182,786,191,578,183,519,145,544,165,658,192,635,156,931,179,1219,214,2159,265,2105,310,1327,202,1420,228,948,169
143,620L400US25203,25203,1st Worcester District ,14504,324,284,92,297,135,359,153,327,118,347,119,383,139,343,106,475,129,378,138,759,147,1452,276,2034,228,1972,251,1543,190,1925,244,1626,187
147,620L400US25207,25207,5th Worcester District ,16138,357,732,222,662,141,925,195,773,150,728,170,667,150,578,144,506,141,675,151,1380,218,1546,203,2590,266,1872,270,1084,175,905,159,515,140
148,620L400US25208,25208,6th Worcester District ,15541,516,862,182,694,168,1073,203,732,209,685,168,1024,195,638,137,728,199,553,144,950,202,1357,245,2268,299,1561,249,973,175,959,199,484,122
149,620L400US25209,25209,7th Worcester District ,15134,363,411,117,675,162,494,151,410,124,808,211,709,184,650,152,432,150,466,141,1208,221,1591,221,2364,269,1835,218,1231,194,1141,200,709,151
150,620L400US25210,25210,8th Worcester District ,15421,312,348,115,352,128,457,122,500,171,446,147,635,191,421,154,447,120,370,143,1043,234,1867,279,2432,321,2142,295,1365,244,1530,272,1066,195
151,620L400US25211,25211,9th Worcester District ,15326,413,510,152,579,191,500,171,607,158,550,191,510,160,347,101,475,138,665,192,1097,226,1309,273,1888,278,1613,216,1437,256,1688,228,1551,239
152,620L400US25212,25212,10th Worcester District ,15878,412,611,162,600,165,468,163,387,121,686,168,558,168,350,109,548,166,687,196,1191,291,1447,243,1906,304,1913,299,1162,214,1776,230,1588,222
153,620L400US25213,25213,11th Worcester District ,15311,352,371,109,305,138,319,107,310,144,358,143,455,137,356,132,569,146,416,129,887,191,1028,194,2062,262,1923,294,1478,224,2274,269,2200,239
159,620L400US25219,25219,17th Worcester District ,14222,377,1396,260,1109,210,820,206,851,222,576,170,546,153,555,162,506,167,565,149,1215,228,1713,309,1743,227,967,205,709,181,660,151,291,105
