city_town,Amount,senate_district
abington,19000.0,['Norfolk & Plymouth']
acton,41749.06,['Middlesex & Worcester']
acushnet,2500.0,['Second Bristol & Plymouth']
agawam,2850.0,['Second Hampden & Hampshire']
amesbury,7500.0,['First Essex']
amherst,6600.0,"['Hampshire, Franklin & Worcester']"
andover,117582.25,['Second Essex & Middlesex']
arlington,55172.0,['Fourth Middlesex']
ashburnham,12492.11,"['Worcester, Hampden, Hampshire & Middlesex']"
ashby,500.0,"['Worcester, Hampden, Hampshire & Middlesex']"
ashland,10300.0,['Second Middlesex & Norfolk']
athol,5520.0,"['Worcester, Hampden, Hampshire & Middlesex']"
attleboro,5756.13,"['Bristol & Norfolk', 'Norfolk, Bristol & Middlesex']"
auburn,22280.0,['Second Worcester']
avon,48500.0,"['Norfolk, Bristol & Plymouth']"
ayer,2500.0,['Middlesex & Worcester']
barnstable,10000.0,['Cape & Isl&s']
barre,4000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
bedford,14775.0,['Third Middlesex']
belchertown,2500.0,['First Hampden & Hampshire']
bellingham,6500.0,['Worcester & Norfolk']
belmont,106631.0,['Second Suffolk & Middlesex']
berkley,2000.0,['First Plymouth & Bristol']
berlin,2000.0,['Worcester & Middlesex']
bernardston,1500.0,"['Hampshire, Franklin & Worcester']"
beverly,52025.0,['Second Essex']
billerica,12572.0,['Fourth Middlesex']
blackstone,500.0,['Worcester & Norfolk']
bolton,2500.0,['Worcester & Middlesex']
boston,4083232.7200000007,"['Middlesex & Suffolk', 'Norfolk & Suffolk', 'First Suffolk', 'Second Suffolk', 'First Suffolk & Middlesex', 'Second Suffolk & Middlesex']"
bourne,1000.0,['Plymouth & Barnstable']
boxborough,4500.0,['Middlesex & Worcester']
boxford,31000.0,['First Essex & Middlesex']
boylston,10500.0,['First Worcester']
braintree,197560.34,"['Norfolk, Bristol & Plymouth', 'Norfolk & Plymouth']"
brewster,5525.0,['Cape & Isl&s']
bridgewater,12500.0,['First Plymouth & Bristol']
brimfield,500.0,"['Worcester, Hampden, Hampshire & Middlesex']"
brockton,31855.0,['Second Plymouth & Bristol']
brookfield,500.0,"['Worcester, Hampden, Hampshire & Middlesex']"
brookline,313950.0,['First Middlesex & Norfolk']
burlington,37000.0,['Fourth Middlesex']
cambridge,636648.01,"['Second Middlesex', 'Middlesex & Suffolk', 'First Suffolk & Middlesex']"
canton,89500.0,"['Norfolk, Bristol & Plymouth']"
carlisle,11000.0,['Third Middlesex']
carver,4000.0,['First Plymouth & Bristol']
charlton,6500.0,"['Worcester, Hampden, Hampshire & Middlesex']"
chatham,4166.0,['Cape & Isl&s']
chelmsford,310515.12,['Third Middlesex']
chelsea,9000.0,['Middlesex & Suffolk']
chester,500.0,"['Berkshire, Hampshire, Franklin & Hampden']"
chicopee,13930.0,"['Hampden', 'First Hampden & Hampshire', 'Second Hampden & Hampshire']"
chilmark,4500.0,['Cape & Isl&s']
clinton,5000.0,"['First Worcester', 'Worcester & Middlesex']"
cohasset,38500.0,['Plymouth & Norfolk']
colrain,500.0,"['Hampshire, Franklin & Worcester']"
concord,120000.0,['Third Middlesex']
conway,1500.0,"['Berkshire, Hampshire, Franklin & Hampden']"
dalton,2000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
danvers,29990.0,['Second Essex']
dartmouth,82223.29,['Second Bristol & Plymouth']
dedham,105246.25,['Norfolk & Suffolk']
deerfield,500.0,"['Hampshire, Franklin & Worcester']"
dennis,16500.0,['Cape & Isl&s']
douglas,4500.0,['Worcester & Norfolk']
dover,84885.2,['Norfolk & Suffolk']
dracut,13475.0,['Second Essex & Middlesex']
dudley,3500.0,['Worcester & Norfolk']
dunstable,5500.0,['First Middlesex']
duxbury,75085.0,['Plymouth & Norfolk']
east bridgewater,11000.0,"['Norfolk, Bristol & Plymouth', 'Second Plymouth & Bristol']"
east brookfield,500.0,"['Worcester, Hampden, Hampshire & Middlesex']"
east longmeadow,12147.3,['First Hampden & Hampshire']
eastham,1000.0,['Cape & Isl&s']
easthampton,11075.0,['Second Hampden & Hampshire']
easton,5500.0,"['Norfolk, Bristol & Plymouth', 'Second Plymouth & Bristol']"
edgartown,1000.0,['Cape & Isl&s']
essex,8500.0,['First Essex & Middlesex']
everett,19000.0,['Middlesex & Suffolk']
fairhaven,111188.83,['Second Bristol & Plymouth']
fall river,44675.65,['First Bristol & Plymouth']
falmouth,8000.0,['Plymouth & Barnstable']
fitchburg,4000.0,['Worcester & Middlesex']
foxborough,14500.0,['Bristol & Norfolk']
framingham,47000.0,['Second Middlesex & Norfolk']
franklin,31885.75,"['Second Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
freetown,500.0,['First Bristol & Plymouth']
gardner,1000.0,['Worcester & Middlesex']
georgetown,6748.610000000001,['First Essex & Middlesex']
gloucester,19500.0,['First Essex & Middlesex']
goshen,500.0,"['Berkshire, Hampshire, Franklin & Hampden']"
grafton,9000.0,['Second Worcester']
granby,5500.0,['First Hampden & Hampshire']
great barrington,17500.0,"['Berkshire, Hampshire, Franklin & Hampden']"
greenfield,1500.0,"['Hampshire, Franklin & Worcester']"
groton,13000.0,['First Middlesex']
groveland,1500.0,['First Essex & Middlesex']
hadley,1000.0,"['Hampshire, Franklin & Worcester']"
halifax,1500.0,['Second Plymouth & Bristol']
hamilton,20500.0,['First Essex & Middlesex']
hampden,6000.0,['First Hampden & Hampshire']
hancock,500.0,"['Berkshire, Hampshire, Franklin & Hampden']"
hanover,34000.0,['Second Plymouth & Bristol']
hanson,3000.0,['Second Plymouth & Bristol']
harvard,34500.0,['Middlesex & Worcester']
harwich,3500.0,['Cape & Isl&s']
hatfield,2000.0,"['Hampshire, Franklin & Worcester']"
haverhill,21500.0,['First Essex']
heath,2500.0,"['Berkshire, Hampshire, Franklin & Hampden']"
hingham,130000.0,['Plymouth & Norfolk']
holbrook,4500.0,['Norfolk & Plymouth']
holden,17041.58,['First Worcester']
