city_town,Amount,house_district
abington,10000.0,['7th Plymouth']
acton,34000.0,"['14th Middlesex', '37th Middlesex']"
adams,15300.1,['1st Berkshire']
agawam,52973.71,['3rd Hampden']
amesbury,2000.0,['1st Essex']
amherst,6200.0,['3rd Hampshire']
andover,214248.5,"['17th Essex', '18th Essex']"
arlington,20693.559999999998,"['23rd Middlesex', '24th Middlesex']"
ashburnham,9192.68,['2nd Worcester']
ashland,4000.0,['7th Middlesex']
athol,22490.0,['2nd Franklin']
attleboro,27500.36,"['2nd Bristol', '14th Bristol']"
auburn,90425.0,['7th Worcester']
avon,158152.0,['6th Norfolk']
ayer,10468.01,"['1st Middlesex', '37th Middlesex']"
barnstable,17900.870000000003,"['2nd Barnstable', '5th Barnstable']"
barre,1200.0,['5th Worcester']
becket,10000.0,['4th Berkshire']
bedford,23000.0,['21st Middlesex']
belmont,114901.99,['24th Middlesex']
beverly,73520.93000000001,['6th Essex']
billerica,12572.0,['22nd Middlesex']
blandford,1000.0,['4th Berkshire']
bolton,15300.0,['3rd Middlesex']
boston,12391098.290000003,"['1st Suffolk', '2nd Suffolk', '3rd Suffolk', '4th Suffolk', '5th Suffolk', '6th Suffolk', '7th Suffolk', '8th Suffolk', '9th Suffolk', '10th Suffolk', '11th Suffolk', '12th Suffolk', '13th Suffolk', '14th Suffolk', '15th Suffolk', '17th Suffolk', '18th Suffolk']"
boxborough,3000.0,['37th Middlesex']
boxford,2000.0,"['2nd Essex', '18th Essex']"
boylston,3500.0,['12th Worcester']
braintree,90698.47,['5th Norfolk']
brewster,4744.0,"['1st Barnstable', '4th Barnstable']"
bridgewater,23630.28,['8th Plymouth']
brockton,375423.0,"['9th Plymouth', '10th Plymouth', '11th Plymouth']"
brookline,270665.0,"['15th Norfolk', '10th Suffolk', '15th Suffolk', '18th Suffolk']"
burlington,65000.0,['21st Middlesex']
cambridge,450162.35,"['24th Middlesex', '25th Middlesex', '26th Middlesex', '29th Middlesex', '8th Suffolk']"
canton,199049.0,['6th Norfolk']
carlisle,5500.0,['14th Middlesex']
carver,1000.0,['2nd Plymouth']
charlemont,2000.0,['2nd Berkshire']
charlton,4000.0,['7th Worcester']
chatham,4000.0,['4th Barnstable']
chelmsford,96597.92,"['1st Middlesex', '14th Middlesex', '16th Middlesex', '17th Middlesex']"
chelsea,21495.43,"['2nd Suffolk', '16th Suffolk']"
chicopee,40820.0,"['6th Hampden', '7th Hampden', '8th Hampden', '9th Hampden']"
cohasset,33964.0,['3rd Plymouth']
concord,144600.0,['14th Middlesex']
conway,1000.0,['1st Franklin']
dalton,28310.0,['2nd Berkshire']
danvers,117883.8,['13th Essex']
dartmouth,41800.0,['9th Bristol']
dedham,97059.0,['11th Norfolk']
dennis,24320.0,['1st Barnstable']
douglas,1000.0,['18th Worcester']
dover,68885.0,['13th Norfolk']
dracut,5200.0,['36th Middlesex']
dudley,2000.0,['6th Worcester']
dunstable,4800.0,['1st Middlesex']
duxbury,35128.69,"['6th Plymouth', '12th Plymouth']"
east bridgewater,2000.0,"['7th Plymouth', '10th Plymouth']"
east longmeadow,108500.0,"['2nd Hampden', '12th Hampden']"
eastham,550.0,['4th Barnstable']
easthampton,10530.0,['2nd Hampshire']
easton,13240.0,"['3rd Bristol', '11th Plymouth']"
edgartown,9870.0,"['Barnstable, Dukes and Nantucket']"
essex,12500.0,['5th Essex']
everett,64201.07,['28th Middlesex']
fairhaven,5023.8,['10th Bristol']
fall river,140704.09999999998,"['6th Bristol', '7th Bristol', '8th Bristol']"
falmouth,13745.27,"['3rd Barnstable', 'Barnstable, Dukes and Nantucket']"
fitchburg,1000.0,['3rd Worcester']
foxborough,36189.88,['1st Bristol']
framingham,32000.0,"['6th Middlesex', '7th Middlesex', '13th Middlesex']"
franklin,11972.9,['10th Norfolk']
gardner,6840.38,['2nd Worcester']
georgetown,3462.66,['2nd Essex']
gloucester,27752.0,['5th Essex']
grafton,2500.0,['9th Worcester']
granby,4500.0,"['2nd Hampshire', '3rd Hampshire']"
great barrington,104491.9,['4th Berkshire']
greenfield,27489.55,['2nd Berkshire']
groton,4500.0,['1st Middlesex']
hadley,2000.0,['2nd Hampshire']
halifax,2000.0,['12th Plymouth']
hamilton,6000.0,['4th Essex']
hanover,11162.75,['5th Plymouth']
hanson,3500.0,['6th Plymouth']
harvard,19500.0,['37th Middlesex']
