city_town,Amount,house_district
abington,19000.0,['7th Plymouth']
acton,41749.06,"['14th Middlesex', '37th Middlesex']"
acushnet,2500.0,['11th Bristol']
agawam,2850.0,['3rd Hampden']
amesbury,7500.0,['1st Essex']
amherst,6600.0,['3rd Hampshire']
andover,117582.25,"['17th Essex', '18th Essex']"
arlington,55172.0,"['23rd Middlesex', '24th Middlesex']"
ashburnham,12492.11,['2nd Worcester']
ashby,500.0,['1st Middlesex']
ashland,10300.0,['7th Middlesex']
athol,5520.0,['2nd Franklin']
attleboro,5756.13,"['2nd Bristol', '14th Bristol']"
auburn,22280.0,['7th Worcester']
avon,48500.0,['6th Norfolk']
ayer,2500.0,"['1st Middlesex', '37th Middlesex']"
barnstable,10000.0,"['2nd Barnstable', '5th Barnstable']"
barre,4000.0,['5th Worcester']
bedford,14775.0,['21st Middlesex']
belchertown,2500.0,"['2nd Franklin', '7th Hampden']"
bellingham,6500.0,['8th Worcester']
belmont,106631.0,['24th Middlesex']
berkley,2000.0,['12th Bristol']
berlin,2000.0,['12th Worcester']
bernardston,1500.0,['2nd Berkshire']
beverly,52025.0,['6th Essex']
billerica,12572.0,['22nd Middlesex']
blackstone,500.0,['8th Worcester']
bolton,2500.0,['3rd Middlesex']
boston,4083232.7200000007,"['1st Suffolk', '2nd Suffolk', '3rd Suffolk', '4th Suffolk', '5th Suffolk', '6th Suffolk', '7th Suffolk', '8th Suffolk', '9th Suffolk', '10th Suffolk', '11th Suffolk', '12th Suffolk', '13th Suffolk', '14th Suffolk', '15th Suffolk', '17th Suffolk', '18th Suffolk']"
bourne,1000.0,"['3rd Barnstable', '5th Barnstable']"
boxborough,4500.0,['37th Middlesex']
boxford,31000.0,"['2nd Essex', '18th Essex']"
boylston,10500.0,['12th Worcester']
braintree,197560.34,['5th Norfolk']
brewster,5525.0,"['1st Barnstable', '4th Barnstable']"
bridgewater,12500.0,['8th Plymouth']
brimfield,500.0,['1st Hampden']
brockton,31855.0,"['9th Plymouth', '10th Plymouth', '11th Plymouth']"
brookfield,500.0,['5th Worcester']
brookline,313950.0,"['15th Norfolk', '10th Suffolk', '15th Suffolk', '18th Suffolk']"
burlington,37000.0,['21st Middlesex']
cambridge,636648.01,"['24th Middlesex', '25th Middlesex', '26th Middlesex', '29th Middlesex', '8th Suffolk']"
canton,89500.0,['6th Norfolk']
carlisle,11000.0,['14th Middlesex']
carver,4000.0,['2nd Plymouth']
charlton,6500.0,['7th Worcester']
chatham,4166.0,['4th Barnstable']
