city_town,Amount,senate_district
webster,9500.0,['Worcester & Norfolk']
wellesley,226166.94,"['First Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
west boylston,4251.0,['First Worcester']
west newbury,10000.0,['First Essex & Middlesex']
west springfield,14380.0,['Hampden']
westborough,7500.0,['Middlesex & Worcester']
westfield,2500.0,['Second Hampden & Hampshire']
westford,1000.0,['First Middlesex']
weston,36500.0,['Third Middlesex']
westport,3300.0,['First Bristol & Plymouth']
westwood,4000.0,['Norfolk & Suffolk']
weymouth,245540.3,['Plymouth & Norfolk']
whately,1000.0,"['Hampshire, Franklin & Worcester']"
whitman,2621.42,['Second Plymouth & Bristol']
wilmington,112434.79000000001,['First Essex & Middlesex']
winchester,94675.0,"['Second Middlesex', 'Fifth Middlesex']"
winthrop,4100.0,['First Suffolk & Middlesex']
woburn,26760.949999999997,['Fourth Middlesex']
worcester,84568.58,"['First Worcester', 'Second Worcester']"
wrentham,4000.0,"['Norfolk, Bristol & Middlesex']"
