city_town,Amount,senate_district
abington,2700.0,['Norfolk & Plymouth']
acton,54500.0,['Middlesex & Worcester']
adams,2061.8,"['Berkshire, Hampshire, Franklin & Hampden']"
agawam,3000.0,['Second Hampden & Hampshire']
amesbury,4147.7,['First Essex']
amherst,10000.0,"['Hampshire, Franklin & Worcester']"
andover,76839.34,['Second Essex & Middlesex']
arlington,33100.0,['Fourth Middlesex']
ashland,8600.0,['Second Middlesex & Norfolk']
athol,13701.25,"['Worcester, Hampden, Hampshire & Middlesex']"
attleboro,9761.669999999998,"['Bristol & Norfolk', 'Norfolk, Bristol & Middlesex']"
auburn,1300.0,['Second Worcester']
barnstable,5165.0,['Cape & Isl&s']
bedford,15600.0,['Third Middlesex']
belchertown,3000.0,['First Hampden & Hampshire']
bellingham,1780.0,['Worcester & Norfolk']
belmont,642684.52,['Second Suffolk & Middlesex']
bernardston,3000.0,"['Hampshire, Franklin & Worcester']"
beverly,15600.0,['Second Essex']
billerica,572.0,['Fourth Middlesex']
blackstone,12000.0,['Worcester & Norfolk']
bolton,1020.05,['Worcester & Middlesex']
boston,1553480.9500000002,"['Middlesex & Suffolk', 'Norfolk & Suffolk', 'First Suffolk', 'Second Suffolk', 'First Suffolk & Middlesex', 'Second Suffolk & Middlesex']"
bourne,4695.0,['Plymouth & Barnstable']
braintree,732548.77,"['Norfolk, Bristol & Plymouth', 'Norfolk & Plymouth']"
brewster,675.0,['Cape & Isl&s']
bridgewater,4300.0,['First Plymouth & Bristol']
brockton,15525.859999999999,['Second Plymouth & Bristol']
brookline,24376.0,['First Middlesex & Norfolk']
burlington,17630.43,['Fourth Middlesex']
cambridge,93055.29000000001,"['Second Middlesex', 'Middlesex & Suffolk', 'First Suffolk & Middlesex']"
canton,11650.0,"['Norfolk, Bristol & Plymouth']"
carlisle,1000.0,['Third Middlesex']
charlton,24000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
chatham,1004.0,['Cape & Isl&s']
chelmsford,1170.0,['Third Middlesex']
chicopee,22983.34,"['Hampden', 'First Hampden & Hampshire', 'Second Hampden & Hampshire']"
cohasset,16675.0,['Plymouth & Norfolk']
concord,66194.23999999999,['Third Middlesex']
danvers,6530.0,['Second Essex']
dartmouth,97187.94,['Second Bristol & Plymouth']
dedham,35046.25,['Norfolk & Suffolk']
deerfield,60000.0,"['Hampshire, Franklin & Worcester']"
dennis,4233.0,['Cape & Isl&s']
dover,16656.35,['Norfolk & Suffolk']
dracut,1100.0,['Second Essex & Middlesex']
dudley,13010.0,['Worcester & Norfolk']
duxbury,10665.32,['Plymouth & Norfolk']
easthampton,11680.0,['Second Hampden & Hampshire']
easton,6000.0,"['Norfolk, Bristol & Plymouth', 'Second Plymouth & Bristol']"
everett,13258.93,['Middlesex & Suffolk']
