city_town,Amount,senate_district
swampscott,12077.36,['Third Essex']
taunton,56019.81,['First Plymouth & Bristol']
uxbridge,17319.4,['Worcester & Norfolk']
wakefield,10000.0,['Fifth Middlesex']
waltham,17055.5,['Third Middlesex']
wareham,7187.73,['First Plymouth & Bristol']
washington,5665.42,"['Berkshire, Hampshire, Franklin & Hampden']"
watertown,56319.130000000005,['Second Suffolk & Middlesex']
wayland,1000.0,"['Norfolk, Bristol & Middlesex']"
wellesley,17074.66,"['First Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
west boylston,4758.0,['First Worcester']
west springfield,3508.3900000000003,['Hampden']
westford,1000.0,['First Middlesex']
weston,10000.0,['Third Middlesex']
westport,3300.0,['First Bristol & Plymouth']
westwood,800.0,['Norfolk & Suffolk']
weymouth,18355.52,['Plymouth & Norfolk']
whitman,8450.98,['Second Plymouth & Bristol']
williamstown,2000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
wilmington,78202.53,['First Essex & Middlesex']
winchester,20663.52,"['Second Middlesex', 'Fifth Middlesex']"
winthrop,13014.82,['First Suffolk & Middlesex']
woburn,24310.66,['Fourth Middlesex']
worcester,129081.29000000001,"['First Worcester', 'Second Worcester']"
