"Berkshire, Hampshire, Franklin & Hampden",452767.93000000005
Bristol & Norfolk,506572.10000000003
Cape & Islands,672720.45
Fifth Middlesex,857139.02
First Bristol & Plymouth,288239.51
First Essex,354896.66000000003
First Essex & Middlesex,497069.42
First Hampden & Hampshire,508680.79
First Middlesex,213731.61
First Middlesex & Norfolk,1638343.23
First Plymouth & Bristol,268929.99
First Suffolk,2745721.84
First Suffolk & Middlesex,3277868.9
First Worcester,923442.4600000001
Fourth Middlesex,670518.0
Hampden,801853.11
"Hampshire, Franklin & Worcester",115936.92
Middlesex & Suffolk,3221688.46
Middlesex & Worcester,462086.45
Norfolk & Plymouth,1030101.95
Norfolk & Suffolk,3973091.88
"Norfolk, Bristol & Middlesex",719377.47
"Norfolk, Bristol & Plymouth",1569306.6400000001
Plymouth & Barnstable,309193.44
Plymouth & Norfolk,693171.0700000001
Second Bristol & Plymouth,372887.82
Second Essex,486874.45
Second Essex & Middlesex,404908.13
Second Hampden & Hampshire,207339.68
Second Middlesex,1024295.98
Second Middlesex & Norfolk,460353.12
Second Plymouth & Bristol,496010.5
Second Suffolk,2745721.84
Second Suffolk & Middlesex,3265294.7399999998
Second Worcester,1503236.1800000002
Third Essex,648836.1
Third Middlesex,1852731.94
Worcester & Middlesex,108862.88
Worcester & Norfolk,232643.15
"Worcester, Hampden, Hampshire & Middlesex",196556.77000000002
