,District,Amount
0,Second Essex & Middlesex,114543.13
1,Fourth Middlesex,64546.0
2,Second Middlesex & Norfolk,94777.39
3,Bristol & Norfolk,13802.66
4,"Norfolk, Bristol & Middlesex",46214.94
5,Second Worcester,80041.14
6,"Norfolk, Bristol & Plymouth",143999.64
7,Cape & Islands,52215.44
8,"Worcester, Hampden, Hampshire & Middlesex",18214.0
9,First Hampden & Hampshire,125453.72
10,Second Suffolk & Middlesex,238391.71
11,"Hampshire, Franklin & Worcester",37223.57
12,Second Essex,46002.55
13,Middlesex & Suffolk,211557.79
14,Norfolk & Suffolk,203788.13
15,First Suffolk,170372.58
16,Second Suffolk,170372.58
17,First Suffolk & Middlesex,281543.86
18,Middlesex & Worcester,59287.57
19,First Worcester,104327.11
20,Norfolk & Plymouth,58076.31
21,First Plymouth & Bristol,65564.94
22,Second Plymouth & Bristol,11740.63
23,First Middlesex & Norfolk,448852.35
24,Second Middlesex,79545.02
25,Third Middlesex,114729.89
26,Hampden,28667.11
27,Second Hampden & Hampshire,16510.94
28,Worcester & Middlesex,15100.0
29,Plymouth & Norfolk,81784.36
30,Second Bristol & Plymouth,85465.48
31,First Bristol & Plymouth,75337.08
32,Plymouth & Barnstable,13754.4
33,First Essex & Middlesex,87356.41
34,"Berkshire, Hampshire, Franklin & Hampden",69328.63
35,First Middlesex,32439.05
36,First Essex,67516.11
37,Fifth Middlesex,49859.04
38,Third Essex,17077.36
39,Worcester & Norfolk,28610.91
