,District,Amount
0,Norfolk & Plymouth,720211.28
1,Middlesex & Worcester,193069.32
2,"Berkshire, Hampshire, Franklin & Hampden",350289.53
3,Second Hampden & Hampshire,155102.87
4,First Essex,247076.95
5,"Hampshire, Franklin & Worcester",76774.26
6,Second Essex & Middlesex,232341.88
7,Fourth Middlesex,451895.7
8,"Worcester, Hampden, Hampshire & Middlesex",107044.66
9,Second Middlesex & Norfolk,211243.8
10,Bristol & Norfolk,339694.03
11,"Norfolk, Bristol & Middlesex",315778.09
12,Second Worcester,1291820.1
13,"Norfolk, Bristol & Plymouth",1014599.18
14,Cape & Islands,424542.06
15,Third Middlesex,898691.82
16,Second Suffolk & Middlesex,2372833.55
17,Second Essex,320559.45
18,Worcester & Middlesex,49359.38
19,Middlesex & Suffolk,2300933.67
20,Norfolk & Suffolk,2888837.0
21,First Suffolk,2065183.05
22,Second Suffolk,2065183.05
23,First Suffolk & Middlesex,2312887.17
24,First Essex & Middlesex,163132.55
25,First Worcester,798731.8
26,First Plymouth & Bristol,185163.77
27,Second Plymouth & Bristol,402080.5
28,First Middlesex & Norfolk,852803.28
29,Second Middlesex,587528.7
30,Hampden,672253.41
31,First Hampden & Hampshire,306734.6
32,Plymouth & Norfolk,267466.98
33,Second Bristol & Plymouth,114355.58
34,Worcester & Norfolk,93129.15
35,First Middlesex,89948.48
36,First Bristol & Plymouth,206754.1
37,Plymouth & Barnstable,197859.28
38,Third Essex,165229.04
39,Fifth Middlesex,333463.95
