,year,district,name,sex,party,vote_count,vote_percent
2,2016,1st Barnstable,Timothy R. Whelan,m,Republican,"19,640",99.1
3,2016,2nd Barnstable,"William L. Crocker, Jr.",m,Republican,"11,879",54.7
4,2016,3rd Barnstable,David T. Vieira,m,Republican,"12,739",52.9
5,2016,4th Barnstable,Sarah K. Peake,f,Democratic,"22,948",99.4
6,2016,5th Barnstable,Randy Hunt,m,Republican,"18,096",99.2
7,2016,"Barnstable, Dukes and Nantucket",Dylan A. Fernandes,m,Democratic,"13,030",51.7
8,2016,1st Berkshire,Gailanne M. Cariddi,f,Democratic,"15,675",99.4
9,2016,2nd Berkshire,Paul W. Mark,m,Democratic,"17,631",99.6
10,2016,3rd Berkshire,Tricia Farley-Bouvier,f,Democratic,"11,827",66.3
11,2016,4th Berkshire,"William ""Smitty"" Pignatelli",m,Democratic,"19,356",99.7
12,2016,1st Bristol,Fred Jay Barrows,m,Republican,"12,561",60.0
13,2016,2nd Bristol,Paul R. Heroux,m,Democratic,"15,301",99.6
14,2016,3rd Bristol,Shaunna L. O'Connell,f,Republican,"10,520",58.6
15,2016,4th Bristol,Steven S. Howitt,m,Republican,"13,253",62.2
16,2016,5th Bristol,Patricia A. Haddad,f,Democratic,"16,907",99.1
17,2016,6th Bristol,Carole A. Fiola,f,Democratic,"12,457",99.3
18,2016,7th Bristol,Alan Silvia,m,Democratic,"9,594",99.6
19,2016,8th Bristol,"Paul Schmid, III",m,Democratic,"14,788",99.4
20,2016,9th Bristol,Christopher M. Markey,m,Democratic,"15,010",99.4
21,2016,10th Bristol,William M. Straus,m,Democratic,"16,429",99.0
22,2016,11th Bristol,Robert M. Koczera,m,Democratic,"11,907",99.1
23,2016,12th Bristol,Keiko M. Orrall,f,Republican,"15,855",98.8
24,2016,13th Bristol,Antonio d. F. Cabral,m,Democratic,"12,021",99.1
25,2016,14th Bristol,Elizabeth A. Poirier,f,Republican,"13,865",70.4
26,2016,1st Essex,James M. Kelcourse,m,Republican,"13,272",54.0
27,2016,2nd Essex,Leonard Mirra,m,Republican,"19,363",99.0
28,2016,3rd Essex,Brian S. Dempsey,m,Democratic,"15,136",98.7
29,2016,4th Essex,Bradford R. Hill,m,Republican,"21,813",99.6
30,2016,5th Essex,Ann-Margaret Ferrante,f,Democratic,"18,239",98.5
31,2016,6th Essex,Jerald A. Parisella,m,Democratic,"15,012",74.8
32,2016,7th Essex,Paul F. Tucker,m,Democratic,"18,208",99.6
33,2016,8th Essex,Lori A. Ehrlich,f,Democratic,"18,365",99.3
