,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1,610U200US25021,25021,First Bristol & Plymouth ,65703,805,5607,562,5115,586,3782,456,3762,375,3272,448,3293,368,3306,391,2673,387,2126,320,5044,511,6304,528,8360,531,5561,439,3082,291,2553,362,1863,252
3,610U200US25023,25023,Cape & Islands ,71596,1250,3997,524,3275,435,3210,391,3199,391,3376,450,3413,385,3131,415,3719,407,3164,368,5843,543,7386,573,10292,658,6554,435,3526,410,3797,337,3714,305
4,610U200US25024,25024,First Essex ,66783,647,3231,342,3240,303,2662,328,2789,293,2281,308,2914,411,2621,372,2298,323,2644,370,4723,477,6394,509,9696,545,7087,497,4892,404,5200,443,4111,372
5,610U200US25025,25025,Second Essex ,66179,760,3563,468,3653,385,2500,298,2733,327,2959,399,2520,338,2422,300,2427,287,2483,350,5054,472,6812,570,9238,651,6420,531,4695,470,4812,438,3888,344
7,610U200US25027,25027,First Essex & Middlesex ,62268,821,2071,291,2017,344,1972,301,1794,276,1811,305,2304,328,1661,241,1841,270,1787,278,3904,412,5240,425,8598,535,7460,511,5719,506,6710,482,7379,523
8,610U200US25028,25028,Second Essex & Middlesex ,60820,887,5084,485,3622,481,3630,423,2742,385,2996,398,2577,436,1762,309,2365,370,2302,375,4064,419,5287,487,7307,573,5336,484,3557,373,4336,407,3853,360
11,610U200US25031,25031,Second Hampden & Hampshire ,62528,755,5225,457,4413,510,4152,437,3464,401,2893,345,2977,366,2890,440,2953,388,2676,305,4964,448,5953,500,8320,519,5053,357,2883,352,2186,259,1526,260
13,610U200US25033,25033,First Middlesex ,59366,765,3757,504,3317,379,2553,340,2485,373,2058,321,2332,322,1845,329,2336,356,2297,374,4728,511,6166,547,8125,521,5102,481,3565,357,4954,425,3746,318
16,610U200US25036,25036,Fourth Middlesex ,62515,715,1912,305,1646,257,1654,293,1866,293,1480,273,1824,265,2225,395,1796,236,1897,270,3759,417,5706,496,9559,628,8530,650,5796,409,6402,559,6463,512
22,610U200US25042,25042,Middlesex & Worcester ,65094,709,2168,366,2155,335,1848,277,2025,287,2068,329,1654,290,2092,299,2390,388,1960,320,3441,382,5535,495,8248,547,7499,556,5912,470,7167,464,8932,508
