GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
620L200US25080,25080,"Twelfth Bristol District (2010), Massachusetts",15078,469,1326,233,1005,190,857,213,880,238,685,141,695,181,702,179,467,140,859,192,1380,280,1413,241,1925,303,1347,248,673,184,567,160,297,104
620L200US25081,25081,"Thirteenth Bristol District (2010), Massachusetts",17144,457,2617,295,1847,264,1632,270,1162,222,604,135,812,203,855,196,782,158,762,200,1196,236,1437,255,1872,247,656,134,413,131,328,124,169,66
620L200US25082,25082,"Fourteenth Bristol District (2010), Massachusetts",16450,418,463,156,721,194,472,165,537,186,608,180,590,183,600,185,576,141,810,232,1277,249,1625,308,2595,293,2155,299,1227,234,1453,229,741,185
620L200US25083,25083,"First Essex District (2010), Massachusetts",17523,313,856,179,834,202,638,143,585,144,574,165,633,167,712,191,601,158,635,169,1217,179,1830,265,2348,280,1889,271,1436,229,1471,248,1264,197
620L200US25084,25084,"Second Essex District (2010), Massachusetts",15101,328,331,119,512,149,490,164,306,109,328,105,512,130,474,126,491,159,463,163,1027,208,1484,273,2085,286,2131,291,1546,243,1425,237,1496,237
620L200US25085,25085,"Third Essex District (2010), Massachusetts",16133,393,1246,243,1012,214,788,179,909,206,563,181,767,180,680,171,732,150,508,149,1308,231,1489,282,2478,321,1502,267,1008,207,724,193,419,156
620L200US25086,25086,"Fourth Essex District (2010), Massachusetts",14472,437,571,157,484,129,478,121,405,131,379,120,638,193,459,162,318,100,272,114,839,169,1086,207,1599,254,2025,279,1070,167,1681,243,2168,239
620L200US25087,25087,"Fifth Essex District (2010), Massachusetts",16588,388,832,213,820,191,771,199,755,166,626,173,1075,255,548,160,593,122,608,175,1235,208,1687,255,2296,269,1696,240,1059,209,985,195,1002,182
620L200US25088,25088,"Sixth Essex District (2010), Massachusetts",15469,481,1061,233,827,197,473,149,575,146,497,156,648,193,317,125,548,151,668,190,1373,260,1519,283,1840,290,1531,270,1218,199,1329,224,1045,208
620L200US25089,25089,"Seventh Essex District (2010), Massachusetts",17534,576,1192,209,1250,207,714,205,922,208,817,225,871,196,699,180,591,183,695,184,1415,222,1803,254,2510,316,1519,241,1191,219,786,177,559,129
