GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
610U400US25030,25030,"Norfolk & Suffolk District (2014), Massachusetts",61826,600,2696,338,2419,322,2445,337,1817,355,1715,284,2115,330,1675,238,2230,347,1979,291,3268,415,5150,463,7745,528,6710,514,4785,403,6595,462,8482,519
610U400US25031,25031,"Bristol & Norfolk District (2014), Massachusetts",56139,626,1538,247,1687,278,1893,305,1818,269,1559,212,1598,282,1780,255,1628,240,1810,333,3469,430,4947,403,8020,621,6368,511,5188,460,5736,447,7100,426
610U400US25032,25032,"Norfolk, Bristol & Plymouth District (2014); Massachusetts",57957,756,1949,332,2172,311,2137,392,2099,270,1761,343,1563,260,1875,257,1909,273,1631,257,4170,484,4889,459,7127,604,6781,512,5032,428,5938,430,6924,498
610U400US25033,25033,"Norfolk & Plymouth District (2014), Massachusetts",65418,749,3444,376,2815,385,2363,323,2635,344,2807,415,2974,396,2350,311,2419,366,2141,344,5285,518,6611,543,9374,585,7351,564,4415,406,4918,380,3516,435
610U400US25034,25034,"Plymouth & Norfolk District (2014), Massachusetts",63728,742,1985,302,1892,306,2087,330,2092,285,2161,327,2602,340,2021,280,2030,333,2006,247,3655,358,5593,540,7766,529,7033,582,5613,438,6346,431,8846,426
610U400US25035,25035,"Second Plymouth & Bristol District (2014), Massachusetts",56089,779,3314,383,3020,394,2649,354,2723,342,2160,344,2546,355,2101,315,2246,307,1982,297,4035,428,5202,450,8647,482,5476,428,3652,341,3997,348,2339,285
610U400US25036,25036,"First Plymouth & Bristol District (2014), Massachusetts",62764,853,3124,420,3104,352,2313,329,2480,321,2399,356,2590,394,2493,342,2496,338,2538,351,4653,446,6243,534,9604,741,6610,506,4871,449,4152,416,3094,377
610U400US25037,25037,"First Bristol & Plymouth District (2014), Massachusetts",66273,792,5371,588,5426,523,4412,514,3383,408,3319,432,3616,385,2883,350,2588,322,2451,357,4426,374,5992,572,8088,509,5750,529,3475,344,2994,309,2099,273
610U400US25038,25038,"Second Bristol & Plymouth District (2014), Massachusetts",63301,714,5409,480,5341,428,4504,449,3540,322,3447,356,2925,352,3022,337,2591,301,2589,302,4880,450,5917,447,7144,463,4465,390,3312,306,2855,303,1360,215
610U400US25039,25039,"Plymouth & Barnstable District (2014), Massachusetts",62098,797,2239,313,2288,350,2303,312,2591,345,2146,331,2318,329,2217,310,2534,390,2170,277,4469,423,5691,441,8671,557,7510,499,5185,532,5499,472,4267,403
610U400US25040,25040,"Cape & Islands District (2014), Massachusetts",74796,1111,3862,412,4033,443,3487,362,3635,357,3000,367,3548,398,2944,395,3714,423,3087,326,5839,546,8330,568,9912,539,6693,461,4621,396,4227,399,3864,404
